Year,City,Total,Total Occupied,Renter Occupied
2012,Alameda,30582,13736,16846
2012,Alhambra,29217,11761,17456
2012,Anaheim,98156,44315,53841
2012,Antioch,33563,20789,12774
2012,Apple Valley,22603,13651,8952
2012,Arden-Arcade,39940,17633,22307
2012,Bakersfield,111053,63168,47885
2012,Baldwin Park,17397,10013,7384
2012,Bellflower,23680,8185,15495
2012,Berkeley,45674,19348,26326
2012,Buena Park,23548,13894,9654
2012,Burbank,40484,17498,22986
2012,Camarillo,,,
2012,Carlsbad,,,
2012,Carson,24646,18381,6265
2012,Chico,,,
2012,Chino,22287,14838,7449
2012,Chino Hills,,,
2012,Chula Vista,75942,45161,30781
2012,Citrus Heights,33628,18198,15430
2012,Clovis,33177,19125,14052
2012,Compton,22834,12881,9953
2012,Concord,44634,25235,19399
2012,Corona,44677,29587,15090
2012,Costa Mesa,41997,15542,26455
2012,Daly City,29976,16209,13767
2012,Davis,24361,10376,13985
2012,Downey,33310,16281,17029
2012,East Los Angeles,30707,9607,21100
2012,El Cajon,33891,12557,21334
2012,Elk Grove,47747,33880,13867
2012,El Monte,29423,11951,17472
2012,Escondido,44909,21119,23790
2012,Fairfield,34238,19694,14544
2012,Florence-Graham,13733,4564,9169
2012,Folsom,,,
2012,Fontana,48641,32298,16343
2012,Fremont,69398,43989,25409
2012,Fresno,162149,74075,88074
2012,Fullerton,44685,24152,20533
2012,Garden Grove,48514,25686,22828
2012,Glendale,68952,25820,43132
2012,Hawthorne,28649,7138,21511
2012,Hayward,45451,23844,21607
2012,Hemet,28354,15256,13098
2012,Hesperia,27082,15378,11704
2012,Huntington Beach,70689,40518,30171
2012,Indio,22504,13580,8924
2012,Inglewood,36292,11527,24765
2012,Irvine,82613,37707,44906
2012,Jurupa Valley,23813,14787,9026
2012,Lake Forest,26688,19201,7487
2012,Lakewood,27003,19148,7855
2012,Lancaster,46483,27997,18486
2012,Livermore,29482,20346,9136
2012,Long Beach,164220,64711,99509
2012,Los Angeles,1332587,489794,842793
2012,Lynwood,14759,6685,8074
2012,Manteca,23010,12770,10240
2012,Menifee,27132,20385,6747
2012,Merced,25497,12125,13372
2012,Milpitas,19646,12798,6848
2012,Mission Viejo,,,
2012,Modesto,69451,36473,32978
2012,Moreno Valley,53127,30016,23111
2012,Mountain View,32271,11593,20678
2012,Murrieta,,,
2012,Napa,28062,15416,12646
2012,Newport Beach,,,
2012,Norwalk,27258,18388,8870
2012,Oakland,156482,61480,95002
2012,Oceanside,58115,35376,22739
2012,Ontario,44699,23800,20899
2012,Orange,42515,25284,17231
2012,Oxnard,50282,27837,22445
2012,Palmdale,40878,24300,16578
2012,Palo Alto,26610,15165,11445
2012,Pasadena,55992,23127,32865
2012,Perris,15834,8081,7753
2012,Pittsburg,19746,10849,8897
2012,Pleasanton,,,
2012,Pomona,38417,21097,17320
2012,Rancho Cordova,24202,14101,10101
2012,Rancho Cucamonga,52957,34023,18934
2012,Redding,35360,18437,16923
2012,Redlands,,,
2012,Redondo Beach,,,
2012,Redwood City,28871,14103,14768
2012,Rialto,23880,14684,9196
2012,Richmond,38952,18580,20372
2012,Riverside,91813,50599,41214
2012,Roseville,,,
2012,Sacramento,177325,84468,92857
2012,Salinas,39429,16072,23357
2012,San Bernardino,56187,27669,28518
2012,San Buenaventura (Ventura),40725,22103,18622
2012,San Diego,473842,221253,252589
2012,San Francisco,346842,124739,222103
2012,San Jose,310126,174216,135910
2012,San Leandro,29828,15651,14177
2012,San Marcos,30911,18700,12211
2012,San Mateo,37129,18503,18626
2012,San Ramon,,,
2012,Santa Ana,71272,31761,39511
2012,Santa Barbara,34234,13680,20554
2012,Santa Clara,42493,19866,22627
2012,Santa Clarita,58774,40095,18679
2012,Santa Maria,26420,12781,13639
2012,Santa Monica,43729,12994,30735
2012,Santa Rosa,62825,33576,29249
2012,Simi Valley,42642,30747,11895
2012,South Gate,23460,11510,11950
2012,South San Francisco,21417,11828,9589
2012,Stockton,90754,44585,46169
2012,Sunnyvale,54075,24562,29513
2012,Temecula,29877,19354,10523
2012,Thousand Oaks,44979,32666,12313
2012,Torrance,56709,32290,24419
2012,Tracy,23332,15270,8062
2012,Turlock,23922,12537,11385
2012,Tustin,25315,12453,12862
2012,Union City,20137,13293,6844
2012,Upland,26452,14029,12423
2012,Vacaville,31090,18547,12543
2012,Vallejo,39666,21898,17768
2012,Victorville,31479,19562,11917
2012,Visalia,41717,23721,17996
2012,Vista,31892,14778,17114
2012,Walnut Creek,,,
2012,West Covina,29980,18782,11198
2012,Westminster,26057,14267,11790
2012,Whittier,28237,16164,12073
2012,Yorba Linda,,,
2012,Yuba City,21338,11749,9589
