Year,City,Total,Total Occupied,Renter Occupied
2013,Alameda,29846,13328,16518
2013,Alhambra,30595,12040,18555
2013,Anaheim,99302,46912,52390
2013,Antioch,34223,20086,14137
2013,Apple Valley,,,
2013,Arden-Arcade,40190,17034,23156
2013,Bakersfield,111136,57750,53386
2013,Baldwin Park,17758,10679,7079
2013,Bellflower,22988,10637,12351
2013,Berkeley,46030,18913,27117
2013,Buena Park,23151,11923,11228
2013,Burbank,42757,16505,26252
2013,Camarillo,,,
2013,Carlsbad,,,
2013,Carmichael,26047,13365,12682
2013,Carson,25239,19075,6164
2013,Chico,35302,15363,19939
2013,Chino,19107,13955,5152
2013,Chino Hills,23398,17666,5732
2013,Chula Vista,76687,44919,31768
2013,Citrus Heights,,,
2013,Clovis,32778,19740,13038
2013,Compton,22811,12031,10780
2013,Concord,45531,27781,17750
2013,Corona,48285,31035,17250
2013,Costa Mesa,40177,15937,24240
2013,Daly City,32096,18293,13803
2013,Davis,,,
2013,Downey,31998,16946,15052
2013,East Los Angeles,32464,10415,22049
2013,El Cajon,32581,12258,20323
2013,Elk Grove,48838,34726,14112
2013,El Monte,31419,11514,19905
2013,Escondido,44668,21411,23257
2013,Fairfield,34112,17433,16679
2013,Folsom,,,
2013,Fontana,46968,30755,16213
2013,Fremont,74204,45501,28703
2013,Fresno,161474,74135,87339
2013,Fullerton,44304,22887,21417
2013,Garden Grove,46034,25896,20138
2013,Glendale,70660,24129,46531
2013,Hawthorne,29038,7892,21146
2013,Hayward,46879,23596,23283
2013,Hemet,30364,17628,12736
2013,Hesperia,25290,14896,10394
2013,Huntington Beach,74461,42075,32386
2013,Indio,26368,16256,10112
2013,Inglewood,36681,13108,23573
2013,Irvine,84808,42335,42473
2013,Jurupa Valley,24998,15378,9620
2013,Lake Forest,26534,18119,8415
2013,Lakewood,25341,17132,8209
2013,Lancaster,50583,27847,22736
2013,Livermore,29509,20506,9003
2013,Long Beach,165125,66960,98165
2013,Los Angeles,1320167,473615,846552
2013,Lynwood,15031,6289,8742
2013,Manteca,21845,13016,8829
2013,Menifee,27774,19737,8037
2013,Merced,24848,9460,15388
2013,Milpitas,20668,13130,7538
2013,Mission Viejo,34809,28634,6175
2013,Modesto,69496,36802,32694
2013,Moreno Valley,50253,29920,20333
2013,Mountain View,32824,14348,18476
2013,Murrieta,,,
2013,Napa,27476,14710,12766
2013,Newport Beach,,,
2013,Norwalk,27085,16657,10428
2013,Oakland,154214,62058,92156
2013,Oceanside,63130,32875,30255
2013,Ontario,47233,25486,21747
2013,Orange,41979,23293,18686
2013,Oxnard,50820,26918,23902
2013,Palmdale,44467,29108,15359
2013,Palo Alto,,,
2013,Pasadena,54352,24013,30339
2013,Perris,16881,10439,6442
2013,Pittsburg,21368,10397,10971
2013,Pleasanton,,,
2013,Pomona,39470,20512,18958
2013,Rancho Cordova,24032,12681,11351
2013,Rancho Cucamonga,54674,33249,21425
2013,Redding,35087,18191,16896
2013,Redlands,23956,13817,10139
2013,Redondo Beach,,,
2013,Redwood City,28091,14352,13739
2013,Rialto,25482,15531,9951
2013,Richmond,36004,18095,17909
2013,Riverside,89596,47916,41680
2013,Roseville,45988,28126,17862
2013,Sacramento,175350,80708,94642
2013,Salinas,40369,17361,23008
2013,San Bernardino,56274,26254,30020
2013,San Buenaventura (Ventura),41793,21920,19873
2013,San Clemente,,,
2013,San Diego,480730,223667,257063
2013,San Francisco,354651,127211,227440
2013,San Jose,314210,175835,138375
2013,San Leandro,32580,17626,14954
2013,San Marcos,29636,17379,12257
2013,San Mateo,38499,21109,17390
2013,San Ramon,25017,17813,7204
2013,Santa Ana,76284,32054,44230
2013,Santa Barbara,34423,12743,21680
2013,Santa Clara,43279,18936,24343
2013,Santa Clarita,59940,41134,18806
2013,Santa Maria,27198,14078,13120
2013,Santa Monica,48280,11278,37002
2013,Santa Rosa,64997,33497,31500
2013,Simi Valley,42958,31236,11722
2013,South Gate,23076,11755,11321
2013,South San Francisco,19958,12341,7617
2013,South Whittier,15763,9523,6240
2013,Stockton,90883,42961,47922
2013,Sunnyvale,56034,26264,29770
2013,Temecula,31802,20091,11711
2013,Thousand Oaks,46716,32439,14277
2013,Torrance,56789,30749,26040
2013,Tracy,25150,14861,10289
2013,Turlock,23333,11482,11851
2013,Tustin,25415,12357,13058
2013,Union City,20006,12237,7769
2013,Upland,27452,15681,11771
2013,Vacaville,,,
2013,Vallejo,41895,24766,17129
2013,Victorville,31317,17518,13799
2013,Visalia,42999,22702,20297
2013,Vista,33065,15993,17072
2013,Walnut Creek,,,
2013,West Covina,30801,19648,11153
2013,Westminster,27154,14512,12642
2013,Whittier,27299,16173,11126
2013,Yorba Linda,,,
2013,Yuba City,20950,11244,9706
