Year,City,Total,Total Occupied,Renter Occupied
2014,Alameda,30574,14488,16086
2014,Alhambra,27880,11089,16791
2014,Anaheim,99402,46722,52680
2014,Antioch,34536,20583,13953
2014,Apple Valley,23822,15229,8593
2014,Arden-Arcade,40282,18806,21476
2014,Bakersfield,114774,64655,50119
2014,Baldwin Park,19153,10291,8862
2014,Bellflower,23975,9622,14353
2014,Berkeley,43322,17663,25659
2014,Buena Park,24001,12837,11164
2014,Burbank,42396,17000,25396
2014,Camarillo,,,
2014,Carlsbad,,,
2014,Carmichael,27254,14924,12330
2014,Carson,25325,18453,6872
2014,Chico,,,
2014,Chino,18218,11883,6335
2014,Chino Hills,21940,16280,5660
2014,Chula Vista,78058,44241,33817
2014,Citrus Heights,33709,18830,14879
2014,Clovis,34358,19226,15132
2014,Compton,23763,13818,9945
2014,Concord,45111,25567,19544
2014,Corona,50041,32391,17650
2014,Costa Mesa,38510,14843,23667
2014,Daly City,29834,15184,14650
2014,Davis,25702,10839,14863
2014,Downey,34629,16739,17890
2014,East Los Angeles,31598,11632,19966
2014,El Cajon,31028,11036,19992
2014,Elk Grove,50142,34219,15923
2014,El Monte,30516,12715,17801
2014,Escondido,44612,20879,23733
2014,Fairfield,35360,20150,15210
2014,Folsom,,,
2014,Fontana,51347,30408,20939
2014,Fremont,73007,44177,28830
2014,Fresno,163875,74570,89305
2014,Fullerton,44648,21325,23323
2014,Garden Grove,46959,26351,20608
2014,Glendale,72163,24607,47556
2014,Hawthorne,31391,6692,24699
2014,Hayward,49031,25597,23434
2014,Hemet,31058,16746,14312
2014,Hesperia,26853,17650,9203
2014,Huntington Beach,76357,45417,30940
2014,Indio,27184,17879,9305
2014,Inglewood,36439,12379,24060
2014,Irvine,90513,43772,46741
2014,Jurupa Valley,23734,15551,8183
2014,Laguna Niguel,,,
2014,Lake Forest,25428,18149,7279
2014,Lakewood,25755,18528,7227
2014,Lancaster,47527,26711,20816
2014,Livermore,30976,20580,10396
2014,Long Beach,161870,63817,98053
2014,Los Angeles,1343084,492658,850426
2014,Lynwood,15577,5521,10056
2014,Manteca,23295,14242,9053
2014,Menifee,27000,20051,6949
2014,Merced,26930,10458,16472
2014,Milpitas,21145,13707,7438
2014,Mission Viejo,32761,25716,7045
2014,Modesto,71759,39213,32546
2014,Moreno Valley,50308,28900,21408
2014,Mountain View,33647,13412,20235
2014,Murrieta,32617,21553,11064
2014,Napa,29117,16738,12379
2014,Newport Beach,,,
2014,Norwalk,26336,17785,8551
2014,Oakland,156724,61633,95091
2014,Oceanside,62000,34958,27042
2014,Ontario,47375,25296,22079
2014,Orange,41868,23149,18719
2014,Oxnard,51646,28692,22954
2014,Palmdale,43658,29420,14238
2014,Palo Alto,,,
2014,Pasadena,53100,22126,30974
2014,Perris,16481,10402,6079
2014,Pittsburg,20071,12407,7664
2014,Pleasanton,26340,17746,8594
2014,Pomona,39439,19439,20000
2014,Rancho Cordova,24395,13104,11291
2014,Rancho Cucamonga,58305,35221,23084
2014,Redding,33424,16776,16648
2014,Redlands,21806,11844,9962
2014,Redondo Beach,,,
2014,Redwood City,29245,14506,14739
2014,Rialto,25834,16003,9831
2014,Richmond,39235,17717,21518
2014,Riverside,90204,48317,41887
2014,Roseville,48152,31345,16807
2014,Sacramento,177553,80242,97311
2014,Salinas,39390,17654,21736
2014,San Bernardino,54615,25583,29032
2014,San Buenaventura (Ventura),42233,22504,19729
2014,San Clemente,,,
2014,San Diego,493446,228695,264751
2014,San Francisco,353406,132837,220569
2014,San Jose,312227,178786,133441
2014,San Leandro,33134,17078,16056
2014,San Marcos,28337,16972,11365
2014,San Mateo,39763,21904,17859
2014,San Ramon,24199,16676,7523
2014,Santa Ana,78068,35350,42718
2014,Santa Barbara,35786,14126,21660
2014,Santa Clara,44068,18249,25819
2014,Santa Clarita,58505,38906,19599
2014,Santa Maria,26846,13024,13822
2014,Santa Monica,46474,13102,33372
2014,Santa Rosa,65282,34829,30453
2014,Simi Valley,42595,29725,12870
2014,South Gate,23254,9880,13374
2014,South San Francisco,22319,13495,8824
2014,Stockton,95166,42962,52204
2014,Sunnyvale,54473,25441,29032
2014,Temecula,33643,22755,10888
2014,Thousand Oaks,45863,32716,13147
2014,Torrance,53971,28761,25210
2014,Tracy,23424,14160,9264
2014,Turlock,24667,12278,12389
2014,Tustin,26426,13142,13284
2014,Union City,20605,13030,7575
2014,Upland,28151,14972,13179
2014,Vacaville,32430,19320,13110
2014,Vallejo,41802,21668,20134
2014,Victorville,31716,17133,14583
2014,Visalia,41367,25495,15872
2014,Vista,29165,13943,15222
2014,Walnut Creek,,,
2014,West Covina,30607,20612,9995
2014,Westminster,28260,14199,14061
2014,Whittier,26240,15243,10997
2014,Yorba Linda,,,
2014,Yuba City,22264,12558,9706
