Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0636770,2015,"Irvine city, California",2406,1.4,3235,1.9,13948,8.3,22918,13.7,9379,5.6,66222,39.5,49569,29.6
1600000US0637692,2015,"Jurupa Valley city, California",12090,19.6,7191,11.6,17295,28,13364,21.6,3988,6.5,5748,9.3,2102,3.4
1600000US0639248,2015,"Laguna Niguel city, California",735,1.5,1076,2.2,6446,13.4,9743,20.2,5129,10.7,15173,31.5,9852,20.5
1600000US0639496,2015,"Lake Forest city, California",2601,4.5,1937,3.3,8832,15.1,12267,21,5739,9.8,16630,28.5,10419,17.8
1600000US0639892,2015,"Lakewood city, California",2866,5.1,2885,5.1,13690,24.1,13697,24.1,6225,11,12012,21.2,5377,9.5
1600000US0640130,2015,"Lancaster city, California",6466,6.5,8426,8.5,29389,29.6,30797,31.1,8996,9.1,9832,9.9,5229,5.3
1600000US0641992,2015,"Livermore city, California",1689,2.8,2370,4,9697,16.2,13949,23.3,6766,11.3,16256,27.2,9013,15.1
1600000US0643000,2015,"Long Beach city, California",39518,12.5,27313,8.6,60531,19.2,70794,22.4,24764,7.8,59359,18.8,33785,10.7
1600000US0644000,2015,"Los Angeles city, California",372012,13.8,262965,9.8,543037,20.2,477244,17.8,155266,5.8,579600,21.6,297791,11.1
1600000US0644574,2015,"Lynwood city, California",9878,23.3,7890,18.6,11845,27.9,7143,16.8,2550,6,2356,5.6,769,1.8
1600000US0645484,2015,"Manteca city, California",3195,6.7,4916,10.3,16174,33.8,11040,23.1,5809,12.1,4973,10.4,1713,3.6
1600000US0646842,2015,"Menifee city, California",3442,6.1,4843,8.5,16216,28.6,17411,30.7,4845,8.5,5465,9.6,4453,7.9
1600000US0646898,2015,"Merced city, California",6047,13,5783,12.4,11458,24.6,10118,21.8,4004,8.6,5244,11.3,3839,8.3
1600000US0647766,2015,"Milpitas city, California",3301,6.1,2687,5,8687,16.2,9393,17.5,4332,8.1,16252,30.3,9053,16.9
1600000US0648256,2015,"Mission Viejo city, California",2448,3.5,2673,3.8,9374,13.4,16129,23.1,7427,10.6,20462,29.3,11253,16.1
1600000US0648354,2015,"Modesto city, California",14180,10.6,12269,9.1,35146,26.2,37848,28.2,10291,7.7,16439,12.2,8130,6.1
1600000US0649270,2015,"Moreno Valley city, California",16636,13.8,14799,12.2,34966,28.9,26474,21.9,9994,8.3,12392,10.2,5710,4.7
1600000US0649670,2015,"Mountain View city, California",1712,3.1,1586,2.8,7098,12.7,5355,9.6,3325,5.9,15738,28.1,21146,37.8
1600000US0650076,2015,"Murrieta city, California",2414,3.6,2951,4.3,16756,24.7,20823,30.7,5354,7.9,13245,19.5,6326,9.3
1600000US0650258,2015,"Napa city, California",7623,14,2117,3.9,9807,18.1,13654,25.1,4803,8.8,11384,21,4943,9.1
1600000US0651182,2015,"Newport Beach city, California",463,0.7,927,1.4,5367,8.2,13670,20.8,3119,4.7,25059,38.2,17062,26
1600000US0652526,2015,"Norwalk city, California",9489,13.8,7440,10.8,18863,27.3,15298,22.2,6099,8.8,9109,13.2,2697,3.9
1600000US0653000,2015,"Oakland city, California",34484,11.6,26540,8.9,46425,15.6,55641,18.6,15841,5.3,66787,22.4,52656,17.6
1600000US0653322,2015,"Oceanside city, California",8893,7.3,7078,5.8,26287,21.5,33969,27.7,11443,9.3,23297,19,11486,9.4
1600000US0653896,2015,"Ontario city, California",15798,15.4,12839,12.5,28333,27.6,23091,22.5,6555,6.4,11824,11.5,4157,4.1
1600000US0653980,2015,"Orange city, California",8138,8.7,5374,5.7,16921,18,22558,24.1,6990,7.5,23296,24.8,10483,11.2
1600000US0654652,2015,"Oxnard city, California",29996,24.1,12730,10.2,26561,21.3,25882,20.8,8662,6.9,14521,11.6,6334,5.1
1600000US0655156,2015,"Palmdale city, California",12731,13.3,9793,10.2,26512,27.7,25459,26.6,8449,8.8,9178,9.6,3552,3.7
1600000US0655282,2015,"Palo Alto city, California",665,1.4,1003,2.1,1479,3.2,4227,9,2049,4.4,13172,28.1,24275,51.8
1600000US0656000,2015,"Pasadena city, California",8816,8.6,4725,4.6,13869,13.5,16806,16.4,7499,7.3,26939,26.3,23809,23.2
1600000US0656700,2015,"Perris city, California",7024,17.8,7680,19.5,10989,27.9,8497,21.6,2517,6.4,2199,5.6,519,1.3
1600000US0657456,2015,"Pittsburg city, California",5180,11.6,4125,9.2,10643,23.8,12179,27.3,3603,8.1,6220,13.9,2704,6.1
1600000US0657792,2015,"Pleasanton city, California",1688,3.2,1307,2.5,5852,11,8899,16.8,2449,4.6,18233,34.4,14584,27.5
1600000US0658072,2015,"Pomona city, California",18302,19.4,11277,12,21525,22.8,17955,19.1,6635,7,13061,13.9,5479,5.8
1600000US0659444,2015,"Rancho Cordova city, California",2535,5.3,2189,4.6,11431,23.8,14456,30.1,4423,9.2,9883,20.6,3062,6.4
1600000US0659451,2015,"Rancho Cucamonga city, California",3071,2.8,5014,4.5,23896,21.6,33815,30.6,9962,9,21542,19.5,13149,11.9
1600000US0659920,2015,"Redding city, California",1312,2.1,3351,5.3,13397,21.3,18770,29.8,8432,13.4,11705,18.6,5965,9.5
1600000US0659962,2015,"Redlands city, California",1317,2.8,3521,7.6,9046,19.4,10694,22.9,4673,10,9509,20.4,7874,16.9
1600000US0660018,2015,"Redondo Beach city, California",790,1.5,955,1.8,5348,10.2,9039,17.2,4691,8.9,19568,37.2,12174,23.2
1600000US0660102,2015,"Redwood City city, California",6275,10.5,3238,5.4,9747,16.2,8986,15,3917,6.5,14677,24.5,13169,21.9
1600000US0660466,2015,"Rialto city, California",12168,19.1,9454,14.9,19712,31,11886,18.7,4449,7,4604,7.2,1369,2.2
1600000US0660620,2015,"Richmond city, California",7829,10.3,7043,9.3,17650,23.3,16295,21.5,7241,9.6,12616,16.7,7035,9.3
1600000US0662000,2015,"Riverside city, California",18557,9.4,22281,11.2,50255,25.3,47750,24.1,15351,7.7,26714,13.5,17347,8.7
1600000US0662938,2015,"Roseville city, California",2426,2.8,4173,4.7,15495,17.6,22048,25,11157,12.7,22970,26.1,9799,11.1
1600000US0664000,2015,"Sacramento city, California",27774,8.6,25996,8,70635,21.9,71877,22.2,29064,9,64091,19.8,33772,10.4
1600000US0664224,2015,"Salinas city, California",28593,31.1,11479,12.5,17753,19.3,15412,16.7,6705,7.3,8883,9.7,3190,3.5
1600000US0665000,2015,"San Bernardino city, California",17160,14.1,20909,17.2,34381,28.3,27694,22.8,6318,5.2,9771,8.1,5041,4.2
1600000US0665042,2015,"San Buenaventura (Ventura) city, California",5363,7,5419,7,15311,19.9,20203,26.2,6556,8.5,15245,19.8,8908,11.6
1600000US0665084,2015,"San Clemente city, California",1315,2.8,1272,2.7,5260,11.1,10696,22.7,4095,8.7,16572,35.1,8006,17
1600000US0666000,2015,"San Diego city, California",62516,6.6,59119,6.2,149407,15.8,191071,20.2,64717,6.8,244058,25.8,175108,18.5
1600000US0667000,2015,"San Francisco city, California",56405,8.2,28375,4.1,87434,12.8,96288,14.1,38150,5.6,227064,33.2,150105,22
1600000US0668000,2015,"San Jose city, California",70391,10.1,45510,6.5,121953,17.5,122499,17.6,53037,7.6,167117,24,116806,16.8
1600000US0668084,2015,"San Leandro city, California",6085,9.3,5999,9.1,15122,23,14063,21.4,4983,7.6,14084,21.5,5298,8.1
1600000US0668196,2015,"San Marcos city, California",5449,9.4,3074,5.3,11719,20.2,14025,24.1,4531,7.8,12291,21.2,7018,12.1
1600000US0668252,2015,"San Mateo city, California",5518,7.4,3415,4.6,9567,12.9,12228,16.5,5267,7.1,22741,30.6,15479,20.9
1600000US0668378,2015,"San Ramon city, California",1311,2.7,605,1.2,4978,10.1,6660,13.5,2911,5.9,20234,40.9,12772,25.8
1600000US0669000,2015,"Santa Ana city, California",59682,29.4,33214,16.4,47818,23.6,29903,14.8,8823,4.4,16173,8,7117,3.5
1600000US0669070,2015,"Santa Barbara city, California",5091,8,4654,7.3,8293,13,11444,17.9,3529,5.5,18599,29.1,12363,19.3
1600000US0669084,2015,"Santa Clara city, California",4053,4.6,3539,4,12670,14.3,13587,15.3,5812,6.6,26563,30,22428,25.3
1600000US0669088,2015,"Santa Clarita city, California",6706,5.5,6150,5,26235,21.5,29753,24.4,12020,9.9,28760,23.6,12280,10.1
1600000US0669196,2015,"Santa Maria city, California",18283,31.1,7023,11.9,10990,18.7,11688,19.9,3574,6.1,5186,8.8,2077,3.5
1600000US0670000,2015,"Santa Monica city, California",1429,2,1251,1.7,7842,10.7,11516,15.8,3246,4.4,27878,38.2,19793,27.1
1600000US0670098,2015,"Santa Rosa city, California",8960,7.4,8695,7.1,24597,20.2,32442,26.6,10127,8.3,23746,19.5,13282,10.9
1600000US0672016,2015,"Simi Valley city, California",4652,5.5,3890,4.6,18444,21.7,19017,22.4,8628,10.2,20802,24.5,9502,11.2
1600000US0673080,2015,"South Gate city, California",16306,27.7,10436,17.8,14848,25.3,8160,13.9,3095,5.3,4552,7.7,1396,2.4
1600000US0673262,2015,"South San Francisco city, California",5670,11.9,4865,10.2,10068,21.1,9200,19.3,4334,9.1,10471,22,3028,6.4
1600000US0675000,2015,"Stockton city, California",27081,14.4,20824,11.1,47536,25.3,42235,22.4,16960,9,22942,12.2,10606,5.6
1600000US0677000,2015,"Sunnyvale city, California",4599,4.2,4357,4,12251,11.2,13238,12.1,6630,6,32783,29.9,35870,32.7
1600000US0678120,2015,"Temecula city, California",2555,3.6,3821,5.4,16021,22.7,20630,29.3,6490,9.2,11886,16.9,9119,12.9
1600000US0678582,2015,"Thousand Oaks city, California",3465,3.8,2572,2.9,13404,14.9,20087,22.3,6447,7.2,25369,28.2,18773,20.8
1600000US0680000,2015,"Torrance city, California",3026,2.9,2469,2.4,17509,17,23310,22.6,8598,8.3,32099,31.1,16139,15.6
1600000US0680238,2015,"Tracy city, California",4246,7.8,4114,7.6,11702,21.6,13482,24.9,5472,10.1,11213,20.7,3958,7.3
1600000US0680812,2015,"Turlock city, California",3200,6.8,4647,9.9,12625,27,10683,22.8,3186,6.8,7882,16.8,4599,9.8
1600000US0680854,2015,"Tustin city, California",3239,6.2,3797,7.3,9023,17.3,10301,19.8,4152,8,15448,29.7,6066,11.7
1600000US0681204,2015,"Union City city, California",1888,3.5,2093,3.9,14365,26.7,11097,20.7,3646,6.8,12823,23.9,7795,14.5
1600000US0681344,2015,"Upland city, California",2232,4.2,4116,7.7,11213,21.1,14971,28.1,4967,9.3,10292,19.3,5435,10.2
1600000US0681554,2015,"Vacaville city, California",2828,4.4,4065,6.3,17205,26.8,18309,28.5,8625,13.4,9199,14.3,3989,6.2
1600000US0681666,2015,"Vallejo city, California",4790,5.6,6704,7.9,21260,25,24106,28.3,7662,9,15983,18.8,4692,5.5
1600000US0682590,2015,"Victorville city, California",6141,8.5,9723,13.4,19516,26.9,19530,26.9,5941,8.2,6803,9.4,4927,6.8
1600000US0682954,2015,"Visalia city, California",9007,11.2,7057,8.8,17910,22.2,21982,27.3,7635,9.5,12303,15.3,4618,5.7
1600000US0682996,2015,"Vista city, California",8477,14.2,4496,7.5,14538,24.3,13660,22.8,5056,8.4,8427,14.1,5209,8.7
1600000US0683346,2015,"Walnut Creek city, California",129,0.2,842,1.6,4929,9.5,8240,15.9,3233,6.2,19375,37.3,15157,29.2
1600000US0684200,2015,"West Covina city, California",6137,8.1,5371,7.1,20344,26.7,17464,22.9,6570,8.6,15204,20,5057,6.6
1600000US0684550,2015,"Westminster city, California",9320,13.8,5510,8.1,14094,20.8,15522,22.9,6948,10.3,11851,17.5,4446,6.6
1600000US0685292,2015,"Whittier city, California",4883,8.3,4272,7.3,15453,26.3,15059,25.6,5807,9.9,8536,14.5,4826,8.2
1600000US0686832,2015,"Yorba Linda city, California",1128,2.4,1461,3.1,6317,13.2,10777,22.6,2820,5.9,16397,34.3,8881,18.6
1600000US0686972,2015,"Yuba City city, California",6680,15.5,4228,9.8,10123,23.6,10308,24,4303,10,5044,11.7,2287,5.3
