Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0653000,2019,"Oakland city, California",22728,7.21,21641,6.87,53150,16.86,46364,14.71,17222,5.46,87799,27.85,66316,21.04
1600000US0653322,2019,"Oceanside city, California",10948,8.95,7332,5.99,24167,19.75,31292,25.57,11780,9.63,23407,19.13,13442,10.98
1600000US0653896,2019,"Ontario city, California",14378,12.15,15735,13.29,29815,25.19,29145,24.62,8494,7.18,14973,12.65,5828,4.92
1600000US0653980,2019,"Orange city, California",6839,7.29,7748,8.26,15040,16.02,21373,22.77,5826,6.21,24739,26.36,12289,13.09
1600000US0654652,2019,"Oxnard city, California",27462,20.67,8393,6.32,40143,30.21,21852,16.45,8796,6.62,19004,14.30,7208,5.43
1600000US0655156,2019,"Palmdale city, California",11922,12.90,10484,11.34,27505,29.76,20232,21.89,7006,7.58,11979,12.96,3308,3.58
1600000US0655282,2019,"Palo Alto city, California",789,1.72,586,1.28,1396,3.05,3170,6.93,1088,2.38,14118,30.86,24595,53.77
1600000US0656000,2019,"Pasadena city, California",6771,6.22,4419,4.06,15602,14.33,14438,13.26,5774,5.30,33701,30.95,28194,25.89
1600000US0656700,2019,"Perris city, California",10761,22.67,3737,7.87,15418,32.48,9613,20.25,2736,5.76,4011,8.45,1200,2.53
1600000US0657456,2019,"Pittsburg city, California",6515,13.32,4888,9.99,13864,28.35,9193,18.80,3506,7.17,7407,15.14,3536,7.23
1600000US0657792,2019,"Pleasanton city, California",1434,2.48,995,1.72,5442,9.40,7272,12.56,4307,7.44,21175,36.58,17266,29.83
1600000US0658072,2019,"Pomona city, California",14745,15.16,12452,12.81,23700,24.37,22333,22.97,5939,6.11,13684,14.07,4386,4.51
1600000US0659444,2019,"Rancho Cordova city, California",1707,3.59,3939,8.27,10668,22.41,12581,26.43,4870,10.23,9615,20.20,4222,8.87
1600000US0659451,2019,"Rancho Cucamonga city, California",4699,3.84,5701,4.65,22399,18.28,32707,26.69,12730,10.39,27515,22.46,16774,13.69
