Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0600562,2018,"Alameda city, California",1877.00,3.25,2715.00,4.70,5544.00,9.60,10872.00,18.82,4265.00,7.38,18830.00,32.60,13653.00,23.64
1600000US0600884,2018,"Alhambra city, California",6752.00,10.61,5196.00,8.16,11665.00,18.33,11684.00,18.35,5442.00,8.55,16526.00,25.96,6391.00,10.04
1600000US0602000,2018,"Anaheim city, California",28827.00,12.53,20655.00,8.98,55163.00,23.99,48042.00,20.89,16932.00,7.36,42570.00,18.51,17787.00,7.73
1600000US0602252,2018,"Antioch city, California",4720.00,6.54,4772.00,6.61,18965.00,26.27,19796.00,27.42,7701.00,10.67,11337.00,15.70,4913.00,6.80
1600000US0602364,2018,"Apple Valley town, California",2962.00,6.18,5049.00,10.53,13802.00,28.78,13599.00,28.35,3812.00,7.95,5597.00,11.67,3141.00,6.55
1600000US0602553,2018,"Arden-Arcade CDP, California",2403.00,3.29,3482.00,4.76,16253.00,22.24,17693.00,24.21,7995.00,10.94,15498.00,21.21,9757.00,13.35
1600000US0603526,2018,"Bakersfield city, California",18085.00,7.75,27542.00,11.80,59124.00,25.33,58140.00,24.91,21384.00,9.16,31682.00,13.57,17474.00,7.49
1600000US0603666,2018,"Baldwin Park city, California",10384.00,20.63,6650.00,13.21,15232.00,30.26,8472.00,16.83,2802.00,5.57,5852.00,11.63,947.00,1.88
1600000US0604982,2018,"Bellflower city, California",5619.00,10.96,5331.00,10.40,12275.00,23.94,13752.00,26.82,5195.00,10.13,6236.00,12.16,2859.00,5.58
1600000US0606000,2018,"Berkeley city, California",1693.00,2.23,1939.00,2.56,6251.00,8.24,9388.00,12.37,2876.00,3.79,25261.00,33.30,28456.00,37.51
1600000US0608786,2018,"Buena Park city, California",3082.00,5.49,4750.00,8.46,11836.00,21.07,14544.00,25.89,6568.00,11.69,11243.00,20.01,4154.00,7.39
1600000US0608954,2018,"Burbank city, California",2528.00,3.30,3146.00,4.11,11519.00,15.03,18711.00,24.42,7595.00,9.91,22992.00,30.01,10125.00,13.22
1600000US0610046,2018,"Camarillo city, California",1328.00,2.84,1267.00,2.71,6629.00,14.20,11838.00,25.35,6498.00,13.92,12588.00,26.96,6544.00,14.02
1600000US0611194,2018,"Carlsbad city, California",1328.00,1.60,3678.00,4.42,9965.00,11.97,14669.00,17.63,7091.00,8.52,27055.00,32.51,19436.00,23.35
1600000US0611390,2018,"Carmichael CDP, California",1570.00,3.39,1530.00,3.30,11820.00,25.50,9772.00,21.08,5646.00,12.18,10199.00,22.00,5817.00,12.55
1600000US0611530,2018,"Carson city, California",5989.00,9.48,6343.00,10.05,14345.00,22.72,14292.00,22.63,4600.00,7.28,12040.00,19.07,5536.00,8.77
1600000US0611964,2018,"Castro Valley CDP, California",2371.00,5.37,1115.00,2.53,8329.00,18.87,8921.00,20.21,3448.00,7.81,12620.00,28.59,7333.00,16.61
1600000US0613014,2018,"Chico city, California",1870.00,3.41,1494.00,2.72,8636.00,15.74,15487.00,28.23,6577.00,11.99,13902.00,25.34,6891.00,12.56
1600000US0613210,2018,"Chino city, California",4463.00,6.93,6502.00,10.09,14400.00,22.35,13061.00,20.27,6878.00,10.67,13776.00,21.38,5363.00,8.32
1600000US0613214,2018,"Chino Hills city, California",1364.00,2.54,1269.00,2.36,10258.00,19.10,8334.00,15.52,4854.00,9.04,18168.00,33.83,9450.00,17.60
1600000US0613392,2018,"Chula Vista city, California",10737.00,6.13,14601.00,8.34,36723.00,20.96,46927.00,26.79,18123.00,10.35,32483.00,18.54,15573.00,8.89
1600000US0613588,2018,"Citrus Heights city, California",2700.00,4.37,3185.00,5.16,14962.00,24.23,20459.00,33.14,7598.00,12.31,9727.00,15.75,3111.00,5.04
1600000US0614218,2018,"Clovis city, California",2755.00,3.82,3840.00,5.33,14443.00,20.04,19956.00,27.69,8065.00,11.19,14860.00,20.62,8160.00,11.32
1600000US0615044,2018,"Compton city, California",12252.00,21.16,6711.00,11.59,18478.00,31.91,13009.00,22.47,3143.00,5.43,3083.00,5.32,1228.00,2.12
1600000US0616000,2018,"Concord city, California",6457.00,6.82,3946.00,4.17,19670.00,20.78,24163.00,25.52,8058.00,8.51,21496.00,22.70,10886.00,11.50
1600000US0616350,2018,"Corona city, California",8061.00,7.73,7536.00,7.23,24869.00,23.86,24163.00,23.18,9152.00,8.78,21607.00,20.73,8847.00,8.49
1600000US0616532,2018,"Costa Mesa city, California",6000.00,7.57,3282.00,4.14,13861.00,17.48,16202.00,20.43,4888.00,6.16,22872.00,28.85,12187.00,15.37
1600000US0617918,2018,"Daly City city, California",5526.00,6.95,4873.00,6.13,15888.00,19.98,15698.00,19.75,6555.00,8.24,24071.00,30.28,6892.00,8.67
1600000US0618100,2018,"Davis city, California",166.00,0.49,174.00,0.52,1777.00,5.28,3920.00,11.64,1078.00,3.20,10726.00,31.85,15834.00,47.02
