Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0600562,2016,"Alameda city, California",2611,4.4,3121,5.3,8114,13.8,11849,20.1,4214,7.1,18387,31.2,10689,18.1
1600000US0600884,2016,"Alhambra city, California",7859,12.6,3419,5.5,17200,27.6,10077,16.2,4185,6.7,13329,21.4,6319,10.1
1600000US0602000,2016,"Anaheim city, California",33385,14.7,23679,10.4,51508,22.7,45995,20.3,16148,7.1,42335,18.6,14071,6.2
1600000US0602252,2016,"Antioch city, California",4673,6.3,5079,6.8,19412,26,22348,30,7018,9.4,12146,16.3,3868,5.2
1600000US0602364,2016,"Apple Valley town, California",1962,4.2,4947,10.6,12575,27,15981,34.3,4200,9,4328,9.3,2566,5.5
1600000US0602553,2016,"Arden-Arcade CDP, California",3428,4.8,3913,5.4,18745,26,13914,19.3,7508,10.4,14740,20.5,9764,13.6
1600000US0603526,2016,"Bakersfield city, California",21551,9.7,23425,10.5,55702,25.1,52531,23.6,20235,9.1,33073,14.9,15789,7.1
1600000US0603666,2016,"Baldwin Park city, California",11099,22,7070,14,14026,27.8,9271,18.4,2400,4.8,6001,11.9,610,1.2
1600000US0604982,2016,"Bellflower city, California",7162,14.2,5787,11.4,12955,25.6,11623,23,4079,8.1,6767,13.4,2192,4.3
1600000US0606000,2016,"Berkeley city, California",1077,1.4,1151,1.5,4560,5.9,8759,11.3,3127,4.1,26535,34.4,31975,41.4
1600000US0608786,2016,"Buena Park city, California",7262,13.1,5942,10.7,12106,21.8,12103,21.8,4382,7.9,9651,17.4,4164,7.5
1600000US0608954,2016,"Burbank city, California",4333,5.7,3688,4.9,15462,20.4,13299,17.5,6948,9.1,22767,30,9475,12.5
1600000US0610046,2016,"Camarillo city, California",1282,2.8,2322,5.1,7740,17,11772,25.9,5947,13.1,11155,24.5,5305,11.7
1600000US0611194,2016,"Carlsbad city, California",1631,2.1,1801,2.3,7201,9.1,15450,19.5,5264,6.6,27005,34.1,20940,26.4
1600000US0611390,2016,"Carmichael CDP, California",1280,2.8,1645,3.7,7930,17.6,15098,33.6,5963,13.3,7677,17.1,5363,11.9
1600000US0611530,2016,"Carson city, California",7700,12,5030,7.8,14388,22.4,14061,21.9,5663,8.8,12173,18.9,5224,8.1
1600000US0611964,2016,"Castro Valley CDP, California",1686,3.6,1683,3.6,9037,19.1,12356,26.2,2728,5.8,12601,26.7,7130,15.1
1600000US0613014,2016,"Chico city, California",2101,4,2790,5.3,9337,17.6,16184,30.6,5152,9.7,10200,19.3,7186,13.6
1600000US0613210,2016,"Chino city, California",5998,9.4,7682,12,15053,23.5,16672,26,4725,7.4,9671,15.1,4345,6.8
1600000US0613214,2016,"Chino Hills city, California",1484,2.8,1431,2.7,11212,21.4,10644,20.3,4117,7.8,16432,31.3,7193,13.7
1600000US0613392,2016,"Chula Vista city, California",15947,8.9,19793,11,39047,21.7,40926,22.8,14815,8.2,32971,18.3,16282,9.1
1600000US0613588,2016,"Citrus Heights city, California",3924,6.4,2771,4.5,14911,24.2,19972,32.5,7711,12.5,8993,14.6,3233,5.3
1600000US0614218,2016,"Clovis city, California",2266,3.4,4873,7.4,14189,21.5,17010,25.7,5979,9,14772,22.4,6983,10.6
1600000US0615044,2016,"Compton city, California",15327,27.2,8372,14.9,13874,24.6,11457,20.3,2760,4.9,3530,6.3,1043,1.9
1600000US0616000,2016,"Concord city, California",5301,5.9,4008,4.5,15780,17.6,20752,23.1,8887,9.9,25001,27.9,9980,11.1
1600000US0616350,2016,"Corona city, California",9367,8.4,8367,7.5,25996,23.3,29304,26.3,10622,9.5,18453,16.6,9320,8.4
1600000US0616532,2016,"Costa Mesa city, California",10367,13.2,4322,5.5,16011,20.5,16032,20.5,4664,6,18030,23,8827,11.3
1600000US0617918,2016,"Daly City city, California",6216,7.8,4960,6.2,13200,16.5,14812,18.5,7091,8.9,25960,32.5,7657,9.6
1600000US0618100,2016,"Davis city, California",274,0.8,649,1.8,3002,8.5,4525,12.9,1692,4.8,10532,29.9,14494,41.2
1600000US0619766,2016,"Downey city, California",7609,10.5,5972,8.3,20148,27.8,15978,22.1,5503,7.6,11969,16.5,5174,7.2
1600000US0620802,2016,"East Los Angeles CDP, California",24534,31.7,12733,16.4,21122,27.3,10392,13.4,2931,3.8,4363,5.6,1360,1.8
1600000US0621712,2016,"El Cajon city, California",7465,11.5,5171,8,17646,27.2,17175,26.5,5540,8.5,8719,13.5,3103,4.8
1600000US0622020,2016,"Elk Grove city, California",5428,5,5270,4.9,17081,15.8,26278,24.4,12664,11.7,27139,25.2,13956,12.9
1600000US0622230,2016,"El Monte city, California",20153,26.6,11928,15.7,21558,28.4,10713,14.1,3687,4.9,6561,8.7,1205,1.6
1600000US0622804,2016,"Escondido city, California",12857,13.2,9697,10,23940,24.6,21786,22.4,6722,6.9,15593,16,6719,6.9
1600000US0623182,2016,"Fairfield city, California",5045,6.7,5973,7.9,17546,23.3,19060,25.3,8559,11.4,14636,19.4,4543,6
1600000US0624477,2016,"Florence-Graham CDP, California",13837,38.4,5160,14.3,9103,25.3,4897,13.6,1552,4.3,1298,3.6,169,0.5
1600000US0624638,2016,"Folsom city, California",1805,3.4,1948,3.7,7605,14.4,11499,21.8,4770,9.1,15123,28.7,9952,18.9
1600000US0624680,2016,"Fontana city, California",17496,13.7,15367,12,36703,28.7,27691,21.6,8040,6.3,17088,13.3,5652,4.4
1600000US0626000,2016,"Fremont city, California",3435,2.1,6558,4,29003,17.9,24125,14.9,7837,4.8,49000,30.2,42358,26.1
1600000US0627000,2016,"Fresno city, California",40291,12.7,34943,11.1,70301,22.2,74574,23.6,27750,8.8,44280,14,23880,7.6
1600000US0628000,2016,"Fullerton city, California",6313,6.7,4985,5.3,17903,19.1,17559,18.7,6976,7.4,26143,27.9,13786,14.7
1600000US0629000,2016,"Garden Grove city, California",15195,13,14093,12.1,25438,21.8,26961,23.1,7639,6.5,21330,18.2,6275,5.4
1600000US0630000,2016,"Glendale city, California",11632,7.8,7184,4.8,27813,18.6,24035,16,15408,10.3,41382,27.6,22328,14.9
1600000US0632548,2016,"Hawthorne city, California",7450,13.2,6309,11.2,13131,23.2,13482,23.8,3986,7,8163,14.4,4029,7.1
1600000US0633000,2016,"Hayward city, California",12781,12,7992,7.5,30196,28.3,19712,18.5,7551,7.1,20866,19.5,7692,7.2
1600000US0633182,2016,"Hemet city, California",5149,9.5,4934,9.1,17749,32.8,15336,28.3,4661,8.6,4213,7.8,2086,3.9
1600000US0633434,2016,"Hesperia city, California",6809,11.8,8930,15.4,20566,35.5,11815,20.4,4005,6.9,4014,6.9,1738,3
1600000US0636000,2016,"Huntington Beach city, California",5411,3.7,5274,3.6,22996,15.6,37449,25.4,15468,10.5,38853,26.3,22213,15
