Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0600562,2017,"Alameda city, California",2979,5.2,4339,7.6,5995,10.5,9908,17.4,3413,6,19017,33.4,11341,19.9
1600000US0600884,2017,"Alhambra city, California",7808,11.7,3921,5.9,15763,23.7,10725,16.1,5100,7.7,15713,23.6,7540,11.3
1600000US0602000,2017,"Anaheim city, California",26936,11.8,27176,11.9,51451,22.6,45304,19.9,18254,8,42035,18.5,16467,7.2
1600000US0602252,2017,"Antioch city, California",5174,7.1,5630,7.7,19564,26.8,19824,27.2,7083,9.7,11571,15.9,4033,5.5
1600000US0602364,2017,"Apple Valley town, California",1277,2.7,4749,10.1,16138,34.4,11189,23.9,5846,12.5,5010,10.7,2701,5.8
1600000US0602553,2017,"Arden-Arcade CDP, California",2993,4.5,3677,5.6,15987,24.2,13641,20.6,5743,8.7,15896,24.1,8126,12.3
1600000US0603526,2017,"Bakersfield city, California",26365,11.5,21582,9.4,60090,26.1,54478,23.7,18332,8,31562,13.7,17749,7.7
1600000US0603666,2017,"Baldwin Park city, California",10824,21,6151,12,14623,28.4,10580,20.6,3328,6.5,4824,9.4,1109,2.2
1600000US0604982,2017,"Bellflower city, California",5160,10.1,6038,11.8,14704,28.8,14072,27.6,2790,5.5,5852,11.5,2357,4.6
1600000US0606000,2017,"Berkeley city, California",1184,1.6,1334,1.8,5470,7.3,8862,11.9,4187,5.6,24960,33.5,28485,38.2
1600000US0608786,2017,"Buena Park city, California",3897,7,3685,6.7,14717,26.6,9310,16.8,5974,10.8,13576,24.5,4210,7.6
1600000US0608954,2017,"Burbank city, California",1953,2.5,3216,4.2,14917,19.4,17930,23.3,7583,9.9,22066,28.7,9282,12.1
1600000US0610046,2017,"Camarillo city, California",1608,3.4,1454,3.1,7251,15.4,11052,23.4,4671,9.9,12307,26.1,8828,18.7
1600000US0611194,2017,"Carlsbad city, California",1466,1.8,1768,2.1,8633,10.5,13303,16.2,5522,6.7,28012,34.1,23548,28.6
1600000US0611390,2017,"Carmichael CDP, California",930,2,2332,5,10430,22.2,11684,24.9,4777,10.2,10192,21.7,6600,14.1
1600000US0611530,2017,"Carson city, California",6981,11.1,5643,9,13530,21.5,13567,21.5,6823,10.8,12953,20.6,3464,5.5
1600000US0611964,2017,"Castro Valley CDP, California",2141,4.6,2203,4.8,7159,15.5,10060,21.8,2938,6.4,12752,27.6,8886,19.3
1600000US0613014,2017,"Chico city, California",708,1.3,1997,3.6,10755,19.3,15964,28.6,5849,10.5,13509,24.2,7045,12.6
1600000US0613210,2017,"Chino city, California",5377,8.5,9401,14.8,14923,23.6,16717,26.4,4050,6.4,9571,15.1,3272,5.2
1600000US0613214,2017,"Chino Hills city, California",2787,5.1,2756,5,7730,14.2,11098,20.3,7594,13.9,14497,26.5,8160,14.9
1600000US0613392,2017,"Chula Vista city, California",16712,9.6,16434,9.5,36873,21.2,40192,23.2,14603,8.4,33057,19,15676,9
1600000US0613588,2017,"Citrus Heights city, California",2941,4.6,3627,5.7,16280,25.7,19385,30.6,6515,10.3,9819,15.5,4849,7.6
1600000US0614218,2017,"Clovis city, California",2777,4,3601,5.2,14565,20.9,18853,27.1,7859,11.3,14461,20.8,7424,10.7
1600000US0615044,2017,"Compton city, California",11489,20,8842,15.4,19062,33.1,9269,16.1,3793,6.6,3839,6.7,1211,2.1
1600000US0616000,2017,"Concord city, California",6354,6.9,5168,5.6,15280,16.5,23126,25,8267,8.9,23663,25.6,10733,11.6
1600000US0616350,2017,"Corona city, California",5326,5.1,8162,7.8,25743,24.6,26316,25.2,11184,10.7,17967,17.2,9881,9.4
1600000US0616532,2017,"Costa Mesa city, California",7468,9.3,5304,6.6,13762,17.2,16657,20.8,4669,5.8,23725,29.7,8320,10.4
1600000US0617918,2017,"Daly City city, California",5835,7.6,5675,7.4,15644,20.3,16611,21.6,6809,8.9,19784,25.7,6542,8.5
1600000US0618100,2017,"Davis city, California",339,1,734,2.1,1822,5.3,4214,12.2,2249,6.5,11171,32.3,14072,40.7
1600000US0619766,2017,"Downey city, California",9058,11.9,5013,6.6,17413,22.9,20022,26.3,5449,7.2,13649,17.9,5516,7.2
1600000US0620802,2017,"East Los Angeles CDP, California",24771,31.9,12534,16.1,18319,23.6,12534,16.1,3053,3.9,4666,6,1776,2.3
1600000US0621712,2017,"El Cajon city, California",5376,7.9,3497,5.1,19750,28.9,20416,29.9,5007,7.3,10478,15.3,3851,5.6
1600000US0622020,2017,"Elk Grove city, California",6576,5.8,4965,4.3,19188,16.8,30455,26.6,10974,9.6,27846,24.4,14288,12.5
1600000US0622230,2017,"El Monte city, California",20237,26.5,13674,17.9,19698,25.8,10546,13.8,3248,4.3,7201,9.4,1791,2.3
1600000US0622804,2017,"Escondido city, California",14110,14.1,6983,7,25422,25.5,24229,24.3,6563,6.6,14576,14.6,7997,8
1600000US0623182,2017,"Fairfield city, California",5715,7.6,4434,5.9,15469,20.6,21994,29.3,6786,9,14411,19.2,6383,8.5
1600000US0624477,2017,"Florence-Graham CDP, California",12133,31.8,8224,21.6,9266,24.3,5607,14.7,1322,3.5,1324,3.5,221,0.6
1600000US0624638,2017,"Folsom city, California",1299,2.4,2671,4.9,6588,12.1,10894,20,6206,11.4,16052,29.5,10702,19.7
1600000US0624680,2017,"Fontana city, California",14606,12.1,13676,11.3,35675,29.6,27769,23,7097,5.9,16190,13.4,5684,4.7
1600000US0626000,2017,"Fremont city, California",3786,2.3,7343,4.5,28536,17.3,24169,14.7,9355,5.7,47073,28.6,44387,27
1600000US0627000,2017,"Fresno city, California",37458,11.6,35567,11.1,70106,21.8,78421,24.4,31663,9.8,46184,14.4,22239,6.9
1600000US0628000,2017,"Fullerton city, California",6120,6.5,6357,6.8,16441,17.5,18635,19.8,8015,8.5,24105,25.6,14479,15.4
1600000US0629000,2017,"Garden Grove city, California",17218,14.2,14255,11.8,29108,24.1,25020,20.7,8060,6.7,19950,16.5,7255,6
1600000US0630000,2017,"Glendale city, California",12388,8.1,7020,4.6,36332,23.7,22414,14.6,15959,10.4,39988,26,19410,12.6
1600000US0632548,2017,"Hawthorne city, California",6470,11.3,4122,7.2,14762,25.9,13616,23.9,3898,6.8,10505,18.4,3703,6.5
1600000US0633000,2017,"Hayward city, California",7831,7.2,9322,8.6,30655,28.2,23008,21.2,8293,7.6,21615,19.9,7810,7.2
1600000US0633182,2017,"Hemet city, California",3216,5.7,6107,10.8,16724,29.6,18512,32.8,4304,7.6,4562,8.1,3008,5.3
1600000US0633434,2017,"Hesperia city, California",4925,9,7009,12.8,18764,34.3,13528,24.7,4694,8.6,3986,7.3,1773,3.2
1600000US0636000,2017,"Huntington Beach city, California",4639,3.1,4748,3.2,24593,16.6,38505,26,13978,9.4,39882,26.9,21814,14.7
1600000US0636448,2017,"Indio city, California",9429,13.8,4508,6.6,25202,36.8,15479,22.6,3610,5.3,6850,10,3382,4.9
1600000US0636546,2017,"Inglewood city, California",10297,13.8,5928,8,17412,23.4,20205,27.1,5395,7.2,10148,13.6,5114,6.9
1600000US0636770,2017,"Irvine city, California",5854,3.3,3260,1.8,14849,8.3,24112,13.5,12504,7,67314,37.7,50714,28.4
1600000US0637692,2017,"Jurupa Valley city, California",9245,14.6,6032,9.5,19130,30.2,15038,23.8,4860,7.7,6063,9.6,2904,4.6
1600000US0639248,2017,"Laguna Niguel city, California",499,1,2163,4.4,5608,11.3,9747,19.7,4152,8.4,17460,35.3,9817,19.9
1600000US0639486,2017,"Lake Elsinore city, California",3208,8.5,3387,9,11685,31,10015,26.6,3662,9.7,4262,11.3,1427,3.8
1600000US0639496,2017,"Lake Forest city, California",1234,2,2890,4.7,8602,14.1,13812,22.6,5132,8.4,19715,32.2,9833,16.1
1600000US0639892,2017,"Lakewood city, California",2583,4.6,2080,3.7,12417,22,17420,30.9,6672,11.8,11321,20.1,3879,6.9
1600000US0640130,2017,"Lancaster city, California",7049,7.1,8537,8.5,27639,27.7,28279,28.3,10464,10.5,12061,12.1,5925,5.9
1600000US0641992,2017,"Livermore city, California",1935,3,2220,3.5,11215,17.6,13435,21.1,4922,7.7,19629,30.9,10224,16.1
1600000US0642202,2017,"Lodi city, California",4738,11.6,3789,9.3,9129,22.4,9408,23.1,4829,11.8,6124,15,2772,6.8
1600000US0643000,2017,"Long Beach city, California",39303,12.4,24605,7.8,58687,18.5,72103,22.8,23746,7.5,65566,20.7,32819,10.4
1600000US0644000,2017,"Los Angeles city, California",368580,13.3,251682,9.1,531941,19.2,493738,17.8,168707,6.1,631101,22.8,321321,11.6
1600000US0644574,2017,"Lynwood city, California",9657,23.4,7598,18.4,12251,29.7,7041,17.1,1316,3.2,2704,6.5,724,1.8
1600000US0645022,2017,"Madera city, California",9421,26.4,5636,15.8,7658,21.4,7206,20.2,1543,4.3,3382,9.5,859,2.4
1600000US0645484,2017,"Manteca city, California",2610,5,4535,8.8,18448,35.6,13289,25.7,4486,8.7,5517,10.7,2866,5.5
1600000US0646842,2017,"Menifee city, California",2481,4,5034,8.1,16294,26.2,19545,31.5,6215,10,9015,14.5,3560,5.7
1600000US0646898,2017,"Merced city, California",9589,19.9,5657,11.7,10035,20.8,11943,24.8,3390,7,4318,9,3287,6.8
1600000US0647766,2017,"Milpitas city, California",2355,4.5,2494,4.7,9523,18,7308,13.8,4720,8.9,15445,29.2,11061,20.9
1600000US0648256,2017,"Mission Viejo city, California",1888,2.7,1545,2.2,8910,12.8,15521,22.3,6669,9.6,22808,32.8,12285,17.6
1600000US0648354,2017,"Modesto city, California",13475,9.5,12322,8.7,39207,27.6,36936,26,13252,9.3,18123,12.8,8784,6.2
1600000US0649270,2017,"Moreno Valley city, California",15812,12.8,15401,12.5,36757,29.8,27651,22.4,9416,7.6,12086,9.8,6413,5.2
1600000US0649670,2017,"Mountain View city, California",2829,4.7,2985,5,5078,8.5,6232,10.5,2212,3.7,17097,28.7,23126,38.8
1600000US0650076,2017,"Murrieta city, California",1564,2.3,3730,5.4,15685,22.6,17800,25.7,7749,11.2,16627,24,6234,9
1600000US0650258,2017,"Napa city, California",5203,9.5,2397,4.4,9539,17.4,12798,23.3,4970,9,12932,23.5,7093,12.9
1600000US0651182,2017,"Newport Beach city, California",215,0.3,589,0.9,5639,8.5,10430,15.7,4154,6.3,27165,40.9,18229,27.4
1600000US0652526,2017,"Norwalk city, California",10009,14.1,6360,9,19450,27.4,15194,21.4,6150,8.7,9577,13.5,4227,6
1600000US0653000,2017,"Oakland city, California",33630,10.9,23779,7.7,50348,16.3,52348,16.9,17985,5.8,75959,24.6,55338,17.9
1600000US0653322,2017,"Oceanside city, California",9948,8.1,6385,5.2,23788,19.3,29990,24.4,9868,8,26666,21.7,16374,13.3
1600000US0653896,2017,"Ontario city, California",16516,14.7,11045,9.9,29230,26.1,25652,22.9,10058,9,14701,13.1,4804,4.3
1600000US0653980,2017,"Orange city, California",7575,8,6203,6.5,19039,20,19545,20.6,7987,8.4,24767,26.1,9937,10.5
1600000US0654652,2017,"Oxnard city, California",27595,21.1,9895,7.6,31326,23.9,29871,22.8,8998,6.9,17762,13.6,5575,4.3
1600000US0655156,2017,"Palmdale city, California",12537,13.3,12877,13.7,24590,26.2,25636,27.3,6294,6.7,7815,8.3,4230,4.5
1600000US0655282,2017,"Palo Alto city, California",759,1.6,457,1,605,1.3,3224,7,1410,3,14810,31.9,25103,54.1
1600000US0656000,2017,"Pasadena city, California",7124,6.9,5580,5.4,14272,13.7,15325,14.7,7985,7.7,29554,28.4,24075,23.2
1600000US0656700,2017,"Perris city, California",9778,23.4,5611,13.4,12329,29.5,8170,19.6,2886,6.9,1938,4.6,1073,2.6
1600000US0657456,2017,"Pittsburg city, California",4168,8.5,4900,10,13347,27.3,12955,26.5,4647,9.5,6421,13.1,2432,5
1600000US0657792,2017,"Pleasanton city, California",130,0.2,797,1.3,6714,11.3,9003,15.1,4238,7.1,20761,34.8,17971,30.1
1600000US0658072,2017,"Pomona city, California",16485,17.2,14015,14.6,22049,23,20966,21.8,5858,6.1,12107,12.6,4580,4.8
1600000US0659444,2017,"Rancho Cordova city, California",2599,5.1,3783,7.4,14828,29.1,14058,27.6,4479,8.8,7692,15.1,3429,6.7
1600000US0659451,2017,"Rancho Cucamonga city, California",4904,4.3,5106,4.5,22351,19.5,27342,23.9,12792,11.2,26117,22.8,15976,13.9
1600000US0659920,2017,"Redding city, California",2086,3.3,3759,5.9,16004,25.1,20160,31.6,6054,9.5,10232,16,5541,8.7
1600000US0659962,2017,"Redlands city, California",2169,4.3,3995,7.9,8444,16.6,10532,20.8,3574,7,13468,26.5,8557,16.9
1600000US0660018,2017,"Redondo Beach city, California",482,0.9,781,1.5,6534,12.8,9210,18.1,3111,6.1,18827,36.9,12018,23.6
1600000US0660102,2017,"Redwood City city, California",4284,6.6,2945,4.5,9417,14.5,10202,15.7,4114,6.3,17435,26.9,16444,25.4
1600000US0660466,2017,"Rialto city, California",9090,14.4,8172,13,19724,31.3,14312,22.7,4458,7.1,5014,8,2211,3.5
1600000US0660620,2017,"Richmond city, California",10394,14.1,8161,11.1,13409,18.2,13973,19,6381,8.7,13914,18.9,7332,10
1600000US0662000,2017,"Riverside city, California",17637,8.7,20980,10.3,52697,25.9,48549,23.8,15594,7.7,28466,14,19783,9.7
1600000US0662938,2017,"Roseville city, California",2156,2.3,2533,2.7,17315,18.4,23298,24.8,10953,11.7,26685,28.4,11000,11.7
1600000US0664000,2017,"Sacramento city, California",28356,8.3,18859,5.5,73513,21.5,78656,23,30868,9,69671,20.3,42654,12.5
1600000US0664224,2017,"Salinas city, California",31290,33.1,7256,7.7,22562,23.9,13833,14.6,5598,5.9,9776,10.3,4268,4.5
1600000US0665000,2017,"San Bernardino city, California",14606,11,27914,21,38859,29.3,27909,21,7912,6,12403,9.3,3173,2.4
1600000US0665042,2017,"San Buenaventura (Ventura) city, California",4514,5.7,3305,4.2,15534,19.6,19921,25.2,9162,11.6,17988,22.7,8694,11
1600000US0665084,2017,"San Clemente city, California",2543,5.2,727,1.5,5802,12,10683,22,4843,10,15454,31.9,8451,17.4
1600000US0666000,2017,"San Diego city, California",56978,5.8,53274,5.4,153206,15.6,192825,19.7,76419,7.8,265333,27.1,181324,18.5
1600000US0667000,2017,"San Francisco city, California",51580,7.3,30890,4.4,81138,11.5,98982,14.1,33743,4.8,246711,35.1,159481,22.7
1600000US0668000,2017,"San Jose city, California",63913,8.9,44420,6.2,124205,17.3,122858,17.2,49982,7,180066,25.2,130485,18.2
1600000US0668084,2017,"San Leandro city, California",4763,7,8024,11.7,15282,22.3,14400,21,3693,5.4,15599,22.8,6702,9.8
1600000US0668196,2017,"San Marcos city, California",5173,8.3,3855,6.2,13900,22.2,12777,20.4,4449,7.1,16531,26.4,5846,9.3
1600000US0668252,2017,"San Mateo city, California",5561,7.5,1415,1.9,9926,13.5,11176,15.2,4650,6.3,22729,30.8,18305,24.8
1600000US0668378,2017,"San Ramon city, California",1078,2.2,880,1.8,2887,5.9,5100,10.5,2789,5.7,19317,39.6,16695,34.2
1600000US0669000,2017,"Santa Ana city, California",52967,25.2,34322,16.3,47316,22.5,35103,16.7,10430,5,22261,10.6,7843,3.7
1600000US0669070,2017,"Santa Barbara city, California",3791,5.6,4016,5.9,7153,10.5,11475,16.9,4499,6.6,20921,30.9,15954,23.5
1600000US0669084,2017,"Santa Clara city, California",2368,2.7,3920,4.4,13209,15,13770,15.6,5125,5.8,25128,28.4,24832,28.1
1600000US0669088,2017,"Santa Clarita city, California",3942,2.8,6437,4.6,24814,17.9,37253,26.8,15532,11.2,34146,24.6,16728,12
1600000US0669112,2017,"Santa Cruz city, California",1222,3.1,945,2.4,6217,16,7142,18.4,2493,6.4,10889,28.1,9895,25.5
1600000US0669196,2017,"Santa Maria city, California",19925,32.8,5760,9.5,11285,18.6,13309,21.9,3969,6.5,4681,7.7,1820,3
1600000US0670000,2017,"Santa Monica city, California",2535,3.6,2619,3.7,5581,7.9,9431,13.3,3869,5.5,27540,38.8,19401,27.3
1600000US0670098,2017,"Santa Rosa city, California",7254,5.9,7503,6.1,21536,17.4,31457,25.4,12524,10.1,26730,21.6,16916,13.7
1600000US0672016,2017,"Simi Valley city, California",3781,4.3,4739,5.4,17782,20.3,22207,25.3,9848,11.2,20652,23.5,8783,10
1600000US0673080,2017,"South Gate city, California",13334,22.7,10484,17.9,16646,28.4,9855,16.8,2892,4.9,4354,7.4,1122,1.9
1600000US0673262,2017,"South San Francisco city, California",3194,6.6,1972,4.1,10893,22.4,11726,24.1,3307,6.8,13138,27.1,4329,8.9
1600000US0675000,2017,"Stockton city, California",24120,12.5,16934,8.8,59344,30.8,39122,20.3,17210,8.9,25829,13.4,9816,5.1
1600000US0677000,2017,"Sunnyvale city, California",4693,4.1,5221,4.6,13830,12.2,13158,11.6,6781,6,31893,28,38147,33.5
1600000US0678120,2017,"Temecula city, California",2086,2.9,2293,3.2,15134,20.8,20235,27.8,8035,11,15637,21.5,9365,12.9
1600000US0678582,2017,"Thousand Oaks city, California",1810,2,2755,3.1,10986,12.3,18937,21.2,8724,9.8,28641,32.1,17445,19.5
1600000US0680000,2017,"Torrance city, California",3646,3.4,4020,3.7,16639,15.3,19271,17.8,9434,8.7,35703,32.9,19733,18.2
1600000US0680238,2017,"Tracy city, California",3891,6.9,3551,6.3,15266,27.2,16873,30.1,4222,7.5,8910,15.9,3395,6.1
1600000US0680812,2017,"Turlock city, California",3799,8,3306,7,13512,28.6,11042,23.4,3216,6.8,8110,17.2,4210,8.9
1600000US0680854,2017,"Tustin city, California",3160,5.8,3126,5.7,9658,17.7,10050,18.5,3638,6.7,14496,26.6,10286,18.9
1600000US0681204,2017,"Union City city, California",2204,3.8,3268,5.7,15931,27.8,13437,23.5,3254,5.7,12104,21.1,7070,12.3
1600000US0681344,2017,"Upland city, California",1871,3.6,3195,6.1,9969,19.2,13249,25.5,5608,10.8,11565,22.2,6527,12.6
1600000US0681554,2017,"Vacaville city, California",4195,5.9,5549,7.8,15632,21.9,22339,31.4,7697,10.8,10793,15.2,5015,7
1600000US0681666,2017,"Vallejo city, California",5641,6.8,4730,5.7,20618,24.8,21807,26.2,7901,9.5,15659,18.8,6946,8.3
1600000US0682590,2017,"Victorville city, California",7746,10.3,8690,11.5,22011,29.2,21462,28.5,6992,9.3,6519,8.7,1852,2.5
1600000US0682954,2017,"Visalia city, California",5192,6.5,6385,8,16732,21,23609,29.6,8742,11,13303,16.7,5690,7.1
