Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2011,Alameda,6.6,9.5,5.8,3.1,0.0,20.2,24.6,1.7,2.3,3.6,10.5,0.0,0.0,4.4,9.6,2.5,0.0,6.8,11.4,3.3,2.0
2011,Alhambra,11.2,15.6,6.9,5.9,12.2,16.9,16.6,11.3,5.5,7.3,18.1,0.0,-,11.2,12.2,8.7,0.0,24.9,15.1,4.3,3.8
2011,Anaheim,12.8,18.6,7.9,11.1,7.4,26.0,15.6,7.6,4.6,5.5,13.5,28.2,59.0,9.9,11.3,20.4,16.7,37.1,19.3,4.8,2.0
2011,Antioch,10.1,13.9,6.2,0.0,3.9,27.3,13.2,5.9,1.3,6.1,10.2,26.1,0.0,6.8,8.3,16.5,30.7,26.1,13.7,1.9,13.0
2011,Apple Valley,15.0,21.7,8.8,4.1,13.1,30.7,19.7,12.7,4.4,9.8,25.2,7.3,100.0,12.3,18.8,10.0,61.7,33.3,15.3,1.6,0.0
2011,Arden-Arcade,14.4,21.4,11.0,3.4,1.5,31.1,29.6,12.3,5.4,8.2,13.4,39.3,100.0,10.4,15.3,26.2,19.9,21.3,21.8,7.8,0.0
2011,Bakersfield,18.2,24.9,14.4,4.5,8.6,31.7,21.6,17.3,4.1,6.1,21.4,31.0,53.8,15.0,18.1,19.7,37.6,43.6,26.3,7.0,5.2
2011,Baldwin Park,16.6,23.5,13.2,6.5,2.5,24.9,9.7,15.6,1.3,5.5,21.7,27.9,0.0,9.5,21.3,16.2,8.2,51.6,25.4,8.7,4.1
2011,Bellflower,15.3,21.7,11.1,5.7,10.6,22.7,17.3,15.2,0.0,3.0,14.0,38.1,100.0,5.6,16.4,22.8,38.4,47.5,21.6,3.2,0.0
2011,Berkeley,9.8,13.6,5.3,1.0,2.7,17.6,35.4,17.8,5.3,6.9,12.9,20.7,-,12.5,6.0,10.6,0.0,37.3,12.8,1.1,4.9
2011,Buena Park,8.8,13.1,7.0,3.7,3.2,12.8,14.4,6.3,5.3,3.6,10.1,23.7,13.2,8.9,7.9,9.4,12.5,21.9,19.4,2.5,0.0
2011,Burbank,4.5,4.9,3.9,2.1,2.4,4.0,12.2,3.4,2.9,4.1,3.7,16.2,-,4.9,4.9,1.8,0.0,8.3,6.3,2.7,2.8
2011,Camarillo,5.9,9.8,5.4,2.3,0.0,46.0,11.2,3.9,2.3,1.8,6.4,24.7,0.0,2.8,7.5,11.7,0.0,15.0,7.3,4.1,0.0
2011,Carlsbad,11.7,12.6,2.9,5.2,1.9,40.3,21.2,22.8,2.5,11.0,11.5,18.7,0.0,11.2,11.9,15.4,0.0,37.9,8.5,2.2,0.0
2011,Carson,5.3,8.1,5.0,1.6,4.2,3.2,9.7,6.0,2.4,2.1,5.9,17.4,0.0,1.8,5.1,10.0,3.0,12.1,7.8,4.7,0.0
2011,Chico,14.9,23.3,11.2,10.5,4.6,27.0,20.7,20.3,2.8,5.3,25.9,9.4,0.0,14.1,16.5,12.9,0.0,35.5,16.6,7.4,0.0
2011,Chino,9.2,9.1,6.8,16.8,N,25.2,14.1,4.9,3.9,9.4,3.8,53.1,-,7.2,7.7,16.0,0.0,29.4,11.1,7.3,0.0
2011,Chino Hills,4.8,6.8,2.0,1.6,1.6,0.0,8.1,7.1,2.6,2.2,5.1,17.0,-,2.6,6.3,4.2,0.0,41.3,6.7,0.8,0.0
2011,Chula Vista,9.9,13.9,4.5,7.2,8.6,24.3,19.0,5.1,2.8,4.4,13.6,11.7,100.0,10.4,9.2,10.2,13.7,45.9,7.9,4.0,1.4
2011,Citrus Heights,11.7,18.4,6.4,5.7,7.7,31.3,20.0,8.2,2.7,4.6,12.4,39.6,0.0,8.9,9.4,30.3,0.0,29.9,13.7,3.7,1.7
2011,Clovis,7.9,9.7,3.2,4.4,3.2,21.3,10.6,7.4,2.9,5.6,8.8,14.0,0.0,7.5,7.3,11.3,4.0,29.6,4.8,3.3,1.4
2011,Compton,26.1,35.3,18.8,8.5,11.4,33.5,28.0,14.4,13.8,7.0,27.9,46.1,60.2,21.6,23.1,28.8,38.2,61.1,30.4,14.7,5.2
2011,Concord,12.8,20.5,12.4,3.2,5.0,36.6,19.6,8.4,4.0,3.8,17.8,34.9,-,8.3,14.1,23.3,0.0,21.4,21.1,5.0,0.0
2011,Corona,9.3,12.8,7.6,11.5,2.9,34.8,10.7,5.4,1.2,3.2,7.6,30.5,38.6,3.8,9.5,15.7,8.5,19.9,17.1,4.8,0.0
2011,Costa Mesa,11.7,23.1,10.0,2.3,2.9,34.9,18.0,7.8,2.1,1.4,20.2,31.9,32.1,7.2,12.9,24.7,22.2,26.4,22.8,1.8,8.2
2011,Daly City,6.1,9.9,6.6,0.8,0.6,0.0,17.1,4.0,2.8,2.0,10.7,8.5,0.0,4.2,8.4,5.8,0.0,8.4,15.3,0.0,5.3
