Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2010,Alameda,9.6,15.0,6.6,1.8,2.4,33.6,12.4,13.0,2.2,3.5,12.0,28.1,100.0,6.1,7.0,23.6,52.5,28.0,14.1,3.7,0.0
2010,Alhambra,10.7,13.8,7.2,7.7,5.6,14.4,11.5,9.5,9.0,8.8,15.0,5.1,-,12.7,11.1,3.9,0.0,30.4,12.0,5.9,4.6
2010,Anaheim,12.4,18.1,8.8,10.6,9.2,25.5,12.9,8.7,3.2,4.6,14.8,29.7,10.6,8.3,13.4,13.7,24.8,30.1,20.1,4.9,2.7
2010,Antioch,8.0,13.8,4.7,0.0,0.0,27.1,2.7,8.9,1.1,1.0,9.8,27.2,0.0,2.0,11.0,4.2,30.0,36.0,10.9,1.2,1.6
2010,Apple Valley,10.4,16.1,8.1,0.0,0.0,0.0,12.2,13.2,5.7,4.3,14.6,20.5,23.7,8.4,10.6,15.2,19.9,14.1,12.3,7.4,0.0
2010,Arden-Arcade,15.2,29.3,10.5,3.1,3.2,47.2,33.7,15.2,0.0,3.9,23.7,55.3,-,7.7,15.9,51.2,100.0,29.5,23.6,3.2,0.0
2010,Bakersfield,14.9,20.8,9.7,2.9,5.8,36.7,15.5,11.6,1.3,5.3,14.1,35.3,58.0,11.4,12.0,24.6,36.2,41.5,19.4,4.7,2.7
2010,Baldwin Park,15.6,20.6,12.0,8.0,9.7,14.7,20.4,16.7,8.5,6.4,12.9,43.9,0.0,10.1,16.5,22.2,7.2,49.2,17.5,10.3,4.0
2010,Bellflower,15.8,20.6,14.2,4.2,12.5,19.6,15.7,14.8,13.3,9.5,22.5,12.0,34.3,22.6,12.7,12.2,9.5,44.8,25.6,4.0,0.0
2010,Berkeley,8.3,13.9,2.0,3.4,4.9,46.1,22.9,12.0,2.4,3.7,8.7,45.3,-,8.1,8.9,7.6,0.0,36.2,4.6,0.5,0.0
2010,Buena Park,9.0,10.5,4.5,5.2,6.9,21.6,8.1,6.5,4.7,7.2,7.0,22.1,-,10.4,4.9,15.9,5.6,34.5,14.4,0.0,3.6
2010,Burbank,5.7,7.8,3.2,2.6,5.9,20.3,3.2,7.6,0.9,4.0,8.9,0.0,-,5.2,7.2,2.0,0.0,16.8,11.0,0.5,0.0
2010,Camarillo,3.7,6.2,0.9,6.2,N,18.5,2.7,4.3,1.3,N,N,N,N,6.1,1.4,3.9,0.0,14.9,2.8,0.8,0.0
2010,Carlsbad,9.3,14.2,0.6,3.8,4.1,0.0,22.6,13.9,4.5,4.8,14.9,11.2,0.0,8.2,7.4,25.2,0.0,43.3,2.6,0.5,0.0
2010,Carson,8.9,11.9,5.6,8.9,4.5,14.9,7.8,6.7,8.1,5.7,10.8,11.9,50.7,5.8,11.1,6.7,10.1,32.1,14.1,3.7,0.0
2010,Chico,10.6,18.7,8.2,1.6,4.0,36.7,9.3,13.0,4.3,2.6,18.3,18.7,100.0,8.3,9.8,32.0,16.8,28.2,12.5,5.2,2.8
2010,Chino,5.7,8.4,1.7,16.5,11.5,18.5,8.7,3.8,0.0,1.0,6.3,13.0,47.9,2.4,6.5,7.3,8.5,28.9,10.4,0.0,0.0
2010,Chino Hills,2.4,3.4,0.7,0.0,0.0,6.1,9.7,0.8,0.0,N,N,N,N,N,N,N,N,5.6,4.8,1.6,0.0
2010,Chula Vista,6.8,9.9,5.0,3.6,2.7,19.7,13.1,3.0,1.7,2.7,8.4,16.2,0.0,4.6,7.9,8.2,0.0,22.3,11.6,1.3,0.0
2010,Citrus Heights,9.3,15.8,7.3,1.2,5.0,14.5,14.6,8.7,1.5,3.4,13.4,34.3,0.0,3.5,13.2,19.9,0.0,26.2,10.2,3.5,0.0
2010,Clovis,7.6,11.5,5.3,10.9,6.6,27.7,5.8,10.3,1.8,3.1,7.0,25.1,0.0,4.1,8.0,17.3,0.0,25.2,10.3,1.9,0.0
2010,Compton,19.8,26.1,17.2,8.1,6.0,29.5,15.7,15.4,3.2,7.5,18.8,43.1,10.0,10.9,22.7,26.1,8.6,42.8,27.3,13.3,1.5
2010,Concord,7.5,12.6,7.1,1.4,0.0,37.9,10.5,5.9,0.0,2.3,11.2,22.4,0.0,7.2,6.4,13.5,0.0,9.3,13.8,5.2,0.0
2010,Corona,8.1,11.2,6.0,5.1,3.8,38.0,10.6,1.8,3.6,2.8,7.7,18.6,61.5,6.2,7.9,7.1,19.3,44.6,11.1,2.1,3.0
2010,Costa Mesa,12.8,21.6,11.0,2.0,1.4,44.3,19.0,4.4,4.6,3.5,17.1,44.0,-,4.9,15.7,27.5,28.4,30.8,20.8,5.9,9.3
2010,Daly City,6.6,10.0,3.9,7.6,6.9,27.8,9.2,0.0,4.9,2.3,9.5,13.9,0.0,1.6,7.3,11.5,11.3,31.5,9.5,1.4,3.9
2010,Davis,6.7,7.2,5.6,0.0,N,N,N,N,N,6.2,5.1,23.4,0.0,6.9,4.8,13.8,-,22.7,7.5,4.0,0.0
2010,Downey,7.5,10.1,6.3,2.7,8.4,9.9,5.3,10.8,3.8,4.3,7.3,16.8,65.4,6.9,4.4,13.5,30.5,12.0,13.5,4.4,0.0
2010,East Los Angeles,20.5,28.8,16.1,11.5,9.2,26.0,12.2,13.8,9.8,5.6,23.0,36.5,69.6,12.3,22.1,23.0,21.9,54.1,30.4,11.5,3.4
2010,El Cajon,24.7,31.9,15.9,23.8,20.4,56.5,30.0,13.8,3.0,13.7,29.2,31.6,100.0,15.2,27.1,30.2,50.6,54.9,33.0,9.2,2.1
2010,Elk Grove,7.8,10.6,6.1,6.3,5.3,7.8,23.5,8.4,2.6,3.6,7.6,15.8,85.1,8.5,6.0,6.5,34.3,23.3,12.2,2.6,3.9
2010,El Monte,19.9,24.0,11.7,13.7,12.0,21.2,20.3,19.4,15.3,13.7,19.5,41.7,0.0,17.3,18.7,24.4,21.4,53.4,27.9,10.4,1.0
2010,Escondido,15.6,17.7,10.2,6.4,10.1,30.3,5.0,16.5,5.2,12.9,12.5,37.0,71.9,14.5,14.5,15.0,57.3,55.4,14.1,4.2,3.4
2010,Fairfield,9.5,14.1,7.6,7.4,6.5,32.6,15.0,1.7,4.3,3.9,10.9,25.4,0.0,6.6,9.2,17.5,0.0,31.3,15.6,3.1,0.0
2010,Folsom,2.8,5.4,3.6,0.0,N,25.0,7.2,1.0,0.8,N,N,N,N,N,N,N,N,0.0,6.4,0.9,0.0
2010,Fontana,14.4,19.3,12.0,11.9,7.1,17.9,18.7,12.0,8.9,5.7,15.2,28.0,43.2,14.5,13.2,14.5,21.1,48.0,21.7,6.5,2.8
2010,Fremont,4.7,6.7,2.2,3.1,2.2,13.7,12.9,3.4,1.2,2.4,4.8,17.5,-,2.8,4.9,9.4,0.0,28.0,4.2,1.1,0.0
2010,Fresno,24.4,35.8,17.7,6.7,7.2,44.8,28.6,19.3,5.6,6.2,28.4,51.3,60.4,15.4,23.7,34.5,48.0,54.2,32.2,10.0,7.5
2010,Fullerton,11.1,15.5,7.6,6.8,7.8,22.3,5.8,13.4,6.4,6.1,11.7,29.6,57.7,9.6,12.0,11.2,15.6,36.0,16.0,2.0,3.3
2010,Garden Grove,10.9,14.4,9.7,7.6,5.0,16.8,14.5,7.8,6.7,6.2,12.9,19.8,34.0,9.3,10.3,14.0,12.1,23.6,17.4,4.9,5.4
2010,Glendale,10.9,17.4,9.3,4.2,9.4,10.2,21.3,7.4,8.9,4.8,18.4,7.2,0.0,7.5,12.6,14.8,0.0,21.3,18.1,4.8,1.7
2010,Hawthorne,15.2,21.7,11.8,2.5,1.6,30.9,14.0,12.4,0.0,2.8,17.8,36.9,0.0,2.6,18.9,30.6,17.2,43.5,21.6,0.0,0.0
2010,Hayward,11.9,18.2,6.1,6.6,10.5,31.5,11.7,8.0,2.0,4.4,13.2,26.3,68.9,5.7,10.5,17.1,44.6,27.8,21.2,5.6,0.0
2010,Hemet,16.8,24.0,7.7,12.2,10.2,28.7,26.3,7.1,4.6,8.2,17.0,40.9,49.5,13.3,17.7,25.1,28.5,27.4,21.3,1.3,8.0
2010,Hesperia,15.2,22.6,9.0,9.6,7.6,29.7,18.6,7.7,2.5,6.0,13.9,38.2,71.9,10.8,7.2,32.4,46.2,34.9,18.7,3.9,6.9
