Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2014,El Monte,17.8,27.8,13.1,10.2,10.7,26.1,16.6,9.6,2.6,7.5,19.7,44.7,41.7,13.5,14.5,23.7,35.1,44.3,26.3,7.8,3.3
2014,Escondido,15.8,23.2,13.0,5.4,9.3,27.6,20.6,11.5,6.4,5.9,17.2,35.8,72.1,11.0,14.3,26.2,27.0,36.0,22.0,5.0,11.5
2014,Fairfield,9.4,12.0,6.2,0.0,5.2,27.3,6.6,8.9,0.6,5.9,10.8,17.7,0.0,10.0,9.8,9.0,0.0,31.2,10.3,4.4,0.0
2014,Folsom,2.2,0.8,0.9,9.1,1.0,0.0,12.7,1.6,1.1,N,N,N,N,1.0,4.0,0.0,0.0,7.3,2.6,0.9,0.0
2014,Fontana,16.7,19.9,10.9,10.9,11.5,28.3,20.4,9.8,6.0,11.3,16.8,26.5,36.6,24.6,11.6,20.6,8.6,48.8,30.1,6.1,1.0
2014,Fremont,4.1,3.8,2.6,2.8,2.1,23.6,11.7,3.1,1.4,4.5,3.1,10.9,0.0,4.3,3.8,4.9,4.6,21.1,4.0,2.1,0.0
2014,Fresno,24.1,33.3,17.1,11.3,15.0,46.3,28.0,19.4,6.3,10.9,26.2,45.7,81.7,14.9,23.6,36.4,51.3,54.2,30.1,10.0,1.9
2014,Fullerton,10.5,16.5,8.6,1.7,3.9,24.1,20.7,4.9,6.0,3.3,12.8,21.5,94.1,7.4,11.4,4.7,50.0,24.2,17.7,3.6,0.0
2014,Garden Grove,12.6,15.9,7.7,7.8,6.0,19.4,19.4,12.1,2.4,9.0,13.9,26.2,14.9,13.6,10.2,16.2,13.4,39.9,18.2,6.2,2.0
2014,Glendale,14.1,22.6,11.5,4.4,6.1,19.4,20.2,17.5,7.7,8.7,22.8,20.6,0.0,8.9,18.4,16.2,15.1,20.7,23.1,7.8,0.6
2014,Hawthorne,12.9,16.1,10.8,4.4,6.7,20.9,13.1,10.6,8.1,8.3,11.2,39.0,0.0,8.7,13.9,17.1,30.8,20.5,21.3,3.0,2.9
2014,Hayward,9.1,14.3,6.8,7.5,4.1,15.5,17.3,5.4,3.3,3.9,12.0,25.2,22.2,9.0,8.1,11.6,11.4,29.7,16.1,2.0,0.0
2014,Hemet,24.8,35.1,17.6,9.3,10.7,41.1,23.3,23.2,5.4,14.3,32.1,35.8,100.0,18.1,28.4,36.2,35.0,28.1,33.2,8.8,20.0
2014,Hesperia,15.9,24.1,9.0,4.7,8.5,24.3,13.8,16.3,1.9,5.4,19.0,36.5,30.2,6.9,19.6,27.3,13.3,35.5,20.9,2.2,3.1
2014,Huntington Beach,6.0,9.4,4.6,0.7,2.5,18.9,7.6,5.9,4.0,3.7,6.3,30.6,-,4.1,6.8,12.3,0.0,13.9,8.5,3.2,0.8
2014,Indio,16.4,23.9,15.7,6.9,5.8,27.3,18.4,13.1,5.6,7.3,16.9,34.8,60.3,8.2,13.0,34.0,33.8,17.9,28.2,8.8,1.6
2014,Inglewood,19.5,28.2,17.1,10.4,15.0,23.9,38.4,13.4,5.4,7.2,22.9,44.0,85.9,17.6,16.8,31.3,31.9,49.3,24.4,10.4,3.2
2014,Irvine,8.4,10.7,3.7,2.4,4.1,67.2,13.5,19.6,3.7,5.7,7.9,26.5,45.2,8.1,6.7,16.8,0.0,36.4,12.2,0.9,0.0
2014,Jurupa Valley,14.3,18.6,10.7,6.2,7.0,28.9,5.2,9.3,5.5,6.9,13.4,24.8,57.8,7.9,12.1,18.0,34.7,32.4,19.1,11.3,2.9
2014,Laguna Niguel,4.9,11.4,2.7,0.0,1.3,0.0,0.0,11.0,2.7,0.9,9.4,24.6,0.0,3.0,5.0,19.5,0.0,17.5,5.6,1.7,0.0
2014,Lake Forest,3.5,5.2,2.8,4.1,0.0,12.5,0.0,4.5,2.1,1.7,1.8,17.0,100.0,1.8,2.0,9.0,30.7,10.2,3.8,3.7,0.0
