Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2016,Alameda,5.6,6.4,3.7,4.6,31.5,5.7,7.6,1.3,4.9,6.4,6.3,-,9.5,2.3,3.9,0.0,20.4,8.1,1.4,0.0
2016,Alhambra,9.5,12.4,5.6,10.4,20.3,4.1,12.4,7.3,7.4,13.9,3.2,-,12.1,8.1,8.3,0.0,31.8,13.2,2.2,2.3
2016,Anaheim,11.1,16.9,8.5,2.0,24.1,11.5,7.9,3.0,4.0,12.4,30.8,38.8,6.7,10.0,18.4,17.0,28.9,18.8,4.1,4.4
2016,Antioch,11.0,16.9,8.4,2.9,25.0,16.8,8.6,2.7,4.8,18.6,8.3,32.9,11.3,10.0,15.4,0.0,23.3,21.0,1.3,0.0
2016,Apple Valley,11.6,21.5,8.0,2.0,38.9,10.4,7.3,0.0,3.6,19.4,29.4,0.0,3.7,22.3,7.4,18.7,15.1,15.5,4.0,0.0
2016,Arden-Arcade,21.6,33.9,17.8,9.4,51.6,38.3,16.0,8.6,8.4,22.5,67.9,100.0,14.6,19.0,50.9,81.9,40.6,31.8,5.2,0.0
2016,Bakersfield,15.9,20.9,10.9,7.9,31.0,17.2,16.1,1.9,8.3,15.6,34.0,51.5,13.0,15.4,17.7,38.6,49.3,22.6,5.1,1.1
2016,Baldwin Park,11.7,18.7,8.7,5.9,19.3,9.9,8.8,3.2,2.5,15.8,24.7,28.7,11.0,11.1,17.1,7.7,41.5,20.2,5.0,5.2
2016,Bellflower,12.1,17.2,9.2,7.3,18.4,15.8,3.8,14.3,5.7,17.4,16.6,0.0,14.5,12.2,8.9,6.3,38.5,18.3,0.6,0.0
2016,Berkeley,2.4,3.2,2.0,0.0,16.0,7.0,5.2,1.2,1.6,3.1,0.0,100.0,3.1,1.1,3.8,0.0,6.8,4.2,0.0,5.4
2016,Buena Park,5.5,10.4,4.7,11.3,7.0,7.8,5.2,2.7,1.7,9.3,14.5,-,4.5,4.9,2.6,23.6,10.1,5.1,6.8,1.8
2016,Burbank,6.6,7.8,3.6,3.7,14.0,6.4,13.1,1.3,5.6,8.7,0.0,-,5.5,9.0,0.0,0.0,22.1,6.7,2.3,0.0
2016,Camarillo,6.8,12.3,3.4,3.1,0.0,15.2,7.1,4.9,2.8,11.9,11.7,50.0,8.1,6.9,1.9,15.2,15.2,14.8,0.0,0.0
2016,Carlsbad,2.8,3.8,1.6,5.6,12.5,12.8,4.0,1.2,1.9,3.9,3.0,0.0,1.7,2.7,8.6,0.0,11.3,3.5,0.5,1.8
2016,Carmichael,10.5,18.4,11.3,1.4,49.0,28.1,8.1,1.1,3.7,14.4,36.3,-,7.7,9.0,37.1,0.0,11.1,17.6,6.1,0.0
2016,Carson,6.2,7.6,5.1,5.4,10.6,8.3,6.6,1.9,5.1,6.7,8.1,65.1,9.4,2.5,9.5,10.8,16.4,7.3,5.8,1.0
