Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2012,Davis,3.9,3.1,2.1,1.8,N,12.3,11.1,12.0,1.9,4.9,2.9,0.0,100.0,3.5,3.7,2.5,100.0,14.2,3.3,2.9,0.0
2012,Downey,10.7,14.4,7.4,6.0,5.9,22.7,10.9,9.3,2.9,5.7,11.9,22.6,42.1,14.6,8.2,8.7,18.9,35.8,15.4,2.7,1.4
2012,East Los Angeles,27.9,35.5,21.8,13.6,13.8,30.2,30.7,23.1,14.0,14.4,32.1,40.4,59.4,26.0,29.6,23.9,39.0,59.9,41.5,10.2,4.8
2012,El Cajon,21.1,27.2,14.5,9.8,12.4,43.3,22.1,15.2,7.8,13.3,25.1,26.2,100.0,10.8,26.4,26.4,68.5,50.0,25.7,10.1,1.5
2012,Elk Grove,8.6,11.3,5.6,5.1,3.3,42.0,14.8,6.1,2.1,4.6,8.8,11.3,79.4,8.0,7.7,6.1,29.4,32.6,14.1,0.5,0.9
2012,El Monte,23.3,29.7,18.0,22.2,16.4,33.4,26.6,9.2,4.6,15.1,26.1,37.9,73.9,23.4,21.5,24.0,35.4,52.1,32.8,10.3,3.9
2012,Escondido,17.2,23.8,11.7,9.9,8.3,33.3,15.6,11.4,8.9,8.3,21.4,28.7,44.9,11.5,19.6,17.2,47.3,47.0,19.2,6.9,6.8
2012,Fairfield,10.0,13.9,7.7,4.2,3.2,21.7,13.3,6.7,6.1,5.8,11.9,24.7,0.0,5.3,9.4,22.7,16.8,29.4,9.5,7.1,0.0
2012,Florence-Graham,33.3,41.4,27.6,21.0,16.9,41.0,15.5,29.0,17.0,12.2,36.1,54.8,40.6,31.5,35.5,33.6,28.0,63.1,49.4,12.5,6.5
2012,Folsom,1.2,2.0,1.5,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,0.0,1.5,1.6,0.0
2012,Fontana,13.0,16.6,10.1,10.0,9.0,21.8,15.3,9.7,3.4,5.6,11.6,26.7,36.3,10.4,12.5,15.4,16.5,55.7,16.9,5.6,3.5
2012,Fremont,4.0,4.9,2.1,5.2,2.8,13.5,9.0,4.5,1.4,2.7,3.3,15.5,57.2,3.0,3.2,7.2,16.7,23.5,5.3,0.9,0.6
2012,Fresno,26.6,37.2,20.0,9.4,9.2,40.9,30.1,26.2,5.3,11.3,32.2,47.0,60.6,17.0,29.6,39.8,34.4,53.4,31.0,10.4,11.3
2012,Fullerton,10.3,14.9,8.9,3.6,3.4,29.6,8.3,12.3,5.1,6.5,13.8,17.9,46.2,10.2,7.8,15.5,10.9,17.7,16.8,5.8,0.0
2012,Garden Grove,14.5,18.6,9.1,7.9,9.0,24.4,17.8,11.1,5.4,10.1,14.9,24.7,69.7,10.6,15.6,18.2,14.2,39.7,20.0,7.0,2.6
2012,Glendale,9.2,13.2,5.6,5.7,4.1,17.0,17.8,10.1,2.4,5.9,13.1,14.6,0.0,7.1,9.9,14.5,0.0,20.6,12.4,4.5,0.0
2012,Hawthorne,21.1,28.5,15.6,9.6,6.7,25.2,26.9,21.0,9.1,8.1,25.3,40.4,59.6,17.1,22.6,23.9,30.6,64.8,25.7,8.4,0.0
2012,Hayward,14.6,23.5,8.7,4.2,3.9,28.6,14.2,16.4,5.1,4.2,19.7,38.8,16.5,11.3,14.9,20.2,15.8,48.1,22.0,3.3,3.0
2012,Hemet,22.7,32.8,17.2,10.6,10.6,29.0,23.3,20.3,19.8,9.2,28.0,46.5,37.7,14.1,28.3,32.3,24.6,36.4,21.1,14.0,0.0
2012,Hesperia,25.4,30.3,17.2,20.6,16.7,42.3,30.2,17.9,7.4,18.9,26.5,39.9,82.3,20.5,22.5,36.6,49.5,46.2,28.9,8.3,0.0
2012,Huntington Beach,7.3,12.0,6.2,1.8,2.6,26.4,12.8,7.1,3.2,3.9,9.5,22.3,100.0,6.2,5.8,13.8,41.9,10.9,13.8,2.9,2.9
2012,Indio,16.0,23.9,13.8,5.5,3.6,31.4,12.4,12.9,0.0,6.5,16.2,35.7,100.0,8.1,20.0,21.1,29.6,31.1,17.9,9.2,7.7
2012,Inglewood,18.1,23.5,14.5,2.5,5.7,26.7,17.9,17.6,8.1,9.0,23.3,23.9,31.0,19.1,15.3,21.2,18.6,32.4,31.3,6.3,2.5
2012,Irvine,6.1,7.2,1.8,6.9,7.0,0.0,6.2,14.2,4.0,4.9,7.4,5.7,0.0,6.4,6.6,3.2,0.0,39.0,4.1,1.8,0.0
2012,Jurupa Valley,19.3,26.0,13.7,15.6,15.8,25.6,17.2,17.3,9.4,9.5,21.7,31.3,74.8,16.6,20.3,17.4,28.3,50.8,25.7,9.3,9.2
2012,Lake Forest,4.6,4.9,4.2,0.0,4.1,13.9,12.6,4.1,1.6,4.3,4.3,8.7,-,6.3,3.2,5.7,0.0,15.4,6.5,3.8,0.0
2012,Lakewood,6.1,7.9,4.1,3.2,1.8,8.8,14.3,5.1,2.0,4.2,4.5,26.5,0.0,4.6,7.0,5.8,12.2,23.1,6.2,2.9,3.5
2012,Lancaster,21.3,28.2,11.0,9.4,14.1,31.8,25.6,18.9,8.5,11.2,23.8,38.8,21.9,19.0,15.6,34.9,31.4,59.2,19.3,4.6,2.9
2012,Livermore,3.7,4.4,2.7,0.0,1.6,7.9,8.7,3.5,1.5,3.1,3.0,11.8,-,4.6,2.0,7.2,0.0,6.5,9.7,0.7,0.0
2012,Long Beach,19.0,28.0,14.2,7.3,11.0,37.0,25.6,16.3,3.0,7.5,24.3,37.0,86.7,14.4,20.3,26.7,22.7,45.7,29.2,4.7,1.8
2012,Los Angeles,18.9,28.0,14.7,8.9,8.6,34.4,22.6,15.7,5.8,8.5,23.0,46.5,54.9,13.1,19.8,29.2,24.4,43.9,27.8,7.0,4.1
2012,Lynwood,23.8,28.1,21.2,6.5,1.4,29.6,22.7,17.4,7.2,9.6,19.5,37.4,51.6,25.5,17.9,31.6,19.7,53.0,34.4,15.8,3.4
2012,Manteca,12.2,16.1,8.1,11.1,5.8,24.9,21.0,4.1,4.2,8.1,19.8,6.0,0.0,11.8,17.4,2.1,0.0,35.3,16.7,2.6,4.8
2012,Menifee,8.5,12.0,4.9,5.8,3.5,18.5,5.4,8.8,4.4,4.6,8.2,26.3,0.0,5.2,12.2,10.0,0.0,21.6,6.8,4.3,0.0
2012,Merced,25.7,35.2,16.8,26.9,11.0,42.4,38.9,18.7,3.7,9.8,27.2,49.5,88.3,20.1,25.6,34.1,40.7,59.2,32.4,3.6,2.2
2012,Milpitas,8.2,9.0,6.6,4.5,4.0,18.3,7.3,15.7,3.0,7.4,7.1,16.6,0.0,9.2,7.3,12.7,0.0,17.7,20.2,1.5,2.7
2012,Mission Viejo,4.5,5.3,2.5,3.8,1.3,15.7,16.9,4.0,2.2,3.8,6.3,0.0,0.0,4.0,5.2,4.5,0.0,12.6,9.0,0.4,1.3
2012,Modesto,15.9,22.8,10.6,4.6,6.6,30.3,15.0,14.7,6.0,8.2,16.5,43.7,70.4,11.0,16.0,23.1,54.9,35.6,17.9,6.9,6.1
2012,Moreno Valley,18.1,26.2,11.7,4.3,7.0,26.9,19.7,14.8,9.2,5.4,19.2,40.3,62.2,11.9,18.5,22.1,27.2,50.3,22.6,8.1,3.0
2012,Mountain View,6.5,7.9,4.8,6.0,3.2,13.1,17.2,11.8,1.6,5.2,5.4,33.1,0.0,5.8,7.4,6.6,0.0,25.6,9.4,2.8,0.0
2012,Murrieta,7.7,12.0,2.5,0.0,3.0,0.0,14.8,9.2,1.1,2.7,8.6,13.1,88.2,4.2,8.9,5.8,43.5,31.0,10.4,0.4,0.0
2012,Napa,6.4,9.6,4.8,7.0,8.1,6.3,15.3,4.7,2.3,3.3,6.4,18.4,29.0,7.7,4.9,2.4,23.4,19.7,10.7,1.6,2.4
2012,Newport Beach,4.9,6.6,3.4,1.9,3.3,42.7,8.7,1.3,4.6,3.9,7.8,0.0,0.0,5.0,4.3,7.0,0.0,15.0,6.2,0.0,2.5
2012,Norwalk,10.3,15.6,9.0,9.3,6.8,24.7,4.5,10.1,1.2,4.7,13.9,17.0,40.4,10.3,8.6,10.8,22.7,25.5,19.5,4.0,1.1
2012,Oakland,19.5,28.4,14.0,8.6,13.3,38.0,30.3,20.3,3.1,9.1,24.8,45.9,44.7,15.7,20.0,29.7,28.3,43.9,27.1,7.0,2.7
2012,Oceanside,8.8,12.0,4.8,8.6,2.1,21.2,8.5,7.7,5.2,5.5,13.7,7.9,0.0,6.8,11.1,9.6,4.5,27.0,9.7,3.2,0.7
2012,Ontario,13.9,20.0,7.9,11.0,5.9,27.7,9.8,8.2,5.3,5.0,15.5,26.5,59.7,9.5,12.1,21.0,19.8,40.5,22.0,4.0,2.9
2012,Orange,9.1,14.9,6.8,0.0,2.0,29.5,10.3,6.0,3.6,3.1,10.2,42.0,-,7.4,6.7,18.6,7.7,20.1,16.5,4.4,1.0
2012,Oxnard,14.9,22.4,10.7,2.9,5.6,24.6,12.8,10.6,5.6,3.1,16.1,36.7,32.1,5.6,18.1,19.1,17.0,37.1,24.8,7.1,4.6
2012,Palmdale,20.2,28.9,14.4,5.0,8.3,33.7,21.5,17.4,2.8,6.1,25.7,34.3,50.2,11.6,21.6,27.3,27.3,48.2,24.5,6.4,9.9
2012,Palo Alto,3.3,3.3,3.2,0.0,0.0,0.0,11.0,10.8,1.8,3.2,3.6,0.0,-,3.9,3.3,0.0,-,5.3,6.1,0.9,0.0
2012,Pasadena,9.4,14.6,7.1,4.2,4.1,33.9,16.9,4.1,4.3,5.4,12.6,26.0,0.0,7.9,10.6,13.8,0.0,23.5,12.7,4.2,0.0
2012,Perris,25.1,31.7,18.9,0.0,2.6,34.5,25.4,17.9,6.6,4.4,20.8,36.6,95.1,10.5,24.3,24.9,52.7,80.4,31.6,5.6,0.0
2012,Pittsburg,18.9,27.0,14.7,5.8,4.8,49.3,9.3,11.2,6.1,4.5,24.9,33.3,-,8.4,21.4,27.5,25.5,43.6,24.3,8.7,7.7
2012,Pleasanton,2.5,3.8,1.4,4.8,3.0,14.9,13.2,2.7,0.7,N,N,N,N,N,N,N,N,4.2,6.2,0.0,0.0
2012,Pomona,18.5,22.2,11.7,8.2,12.3,25.9,18.8,16.7,8.4,12.2,15.6,42.2,15.7,11.7,19.3,23.1,18.5,50.9,24.5,10.8,3.2
2012,Rancho Cordova,17.9,27.5,12.9,2.9,8.2,32.8,23.2,23.3,0.0,8.1,20.4,47.9,54.6,9.8,17.9,38.4,39.5,39.9,24.3,2.8,3.2
2012,Rancho Cucamonga,8.0,7.9,6.1,13.0,6.1,32.8,11.1,7.4,1.8,8.1,7.6,9.4,0.0,6.8,10.0,4.7,0.0,21.5,9.8,1.9,10.8
2012,Redding,11.9,23.1,11.3,5.8,5.8,31.7,11.0,13.9,0.8,4.5,18.6,35.2,100.0,10.8,12.8,11.5,46.1,18.6,20.3,2.4,0.0
2012,Redlands,9.4,15.2,5.9,5.2,9.3,17.7,7.3,15.6,2.6,4.8,15.9,15.7,0.0,9.7,9.9,8.0,0.0,26.5,9.1,3.7,2.0
2012,Redondo Beach,4.8,6.3,0.8,5.6,7.1,8.8,15.7,8.6,1.0,3.5,5.7,14.2,-,4.2,5.3,6.5,0.0,37.1,6.8,0.0,0.0
2012,Redwood City,4.8,7.2,2.4,2.2,3.0,18.8,4.6,3.0,1.6,2.4,2.6,30.2,-,2.6,6.0,11.7,0.0,32.0,5.0,0.7,3.4
2012,Rialto,19.3,23.7,15.2,5.2,8.2,37.6,17.5,9.5,4.4,9.7,20.5,30.5,29.9,17.6,21.6,16.5,21.4,45.5,26.0,11.5,3.6
2012,Richmond,15.7,21.9,11.0,6.3,6.7,29.5,30.5,10.3,2.9,8.0,19.4,34.0,0.0,11.9,19.0,14.0,30.1,41.3,19.7,6.9,0.0
2012,Riverside,14.6,21.5,10.0,3.9,7.2,27.4,17.1,13.2,4.0,5.4,18.0,29.3,39.0,10.8,13.2,21.8,20.9,40.9,20.8,4.9,1.1
2012,Roseville,6.6,10.9,4.2,1.2,2.9,19.5,9.9,7.6,3.4,2.2,7.9,20.7,80.5,4.7,6.5,11.7,72.7,17.2,8.0,2.0,4.4
2012,Sacramento,19.1,26.7,13.9,9.8,11.2,46.2,22.1,17.5,4.5,10.0,21.6,42.8,56.8,15.0,18.9,25.4,40.4,42.2,24.6,8.1,4.1
2012,Salinas,17.8,25.5,13.9,3.6,7.1,31.1,15.4,7.9,4.7,3.5,20.8,35.7,36.4,13.7,18.5,21.3,16.8,49.3,28.3,11.2,2.8
2012,San Bernardino,26.5,35.1,19.4,7.2,12.8,46.3,19.2,19.2,11.9,12.4,25.2,52.5,72.3,23.7,23.1,35.5,32.2,57.2,34.1,8.3,3.0
2012,San Buenaventura (Ventura),7.1,8.7,3.9,4.9,8.4,23.7,6.4,7.1,3.2,5.7,6.5,19.5,0.0,6.6,8.3,6.6,0.0,24.1,8.9,1.4,0.0
2012,San Diego,10.7,16.8,7.1,5.5,6.9,33.2,15.9,8.8,3.5,4.6,13.6,27.4,56.8,7.4,10.1,18.9,28.9,29.5,15.6,3.8,2.4
2012,San Francisco,9.0,12.8,5.5,7.2,5.6,20.3,19.3,9.0,3.1,6.5,12.2,17.6,17.2,8.5,10.0,7.6,6.2,25.7,12.8,3.5,0.7
2012,San Jose,9.6,12.0,6.0,8.4,5.9,25.2,13.0,9.0,2.9,6.6,9.3,23.1,31.5,7.6,8.9,15.0,14.2,30.6,13.4,3.7,1.4
2012,San Leandro,3.9,6.6,2.1,3.8,3.1,7.5,7.2,2.4,0.9,1.8,6.8,2.6,100.0,0.5,4.2,10.2,7.1,9.9,9.8,1.4,0.0
2012,San Marcos,22.0,19.4,5.8,3.5,9.3,20.6,37.8,31.3,4.7,24.8,21.5,11.8,-,26.5,22.6,7.0,0.0,76.7,12.2,1.5,1.7
2012,San Mateo,4.7,5.8,3.4,2.1,0.7,16.3,14.6,1.8,1.0,3.8,4.2,17.2,-,2.1,6.3,9.5,0.0,18.6,4.7,1.1,6.4
2012,San Ramon,2.6,3.3,2.3,0.0,0.0,0.0,0.0,3.3,2.7,N,N,N,N,N,N,N,N,15.0,4.8,1.0,0.0
2012,Santa Ana,18.9,26.2,16.3,9.5,10.3,26.8,17.5,8.2,6.5,4.9,20.0,37.7,40.9,11.2,19.4,23.0,20.6,46.4,36.4,10.9,3.9
2012,Santa Barbara,6.3,9.4,5.2,5.3,3.3,12.4,12.2,7.5,1.6,3.6,8.3,10.4,27.8,4.5,8.6,7.4,11.1,17.7,6.7,4.5,1.8
2012,Santa Clara,7.2,9.7,4.8,3.5,2.5,25.4,13.8,10.4,2.0,4.1,7.9,23.9,0.0,6.7,5.2,20.2,0.0,20.1,11.5,1.8,0.0
2012,Santa Clarita,8.8,12.5,6.8,4.4,3.0,39.8,8.3,5.3,4.8,5.1,9.5,19.4,65.9,4.9,9.5,13.3,34.1,25.3,11.6,4.7,3.9
2012,Santa Maria,20.4,29.2,19.1,8.1,8.2,25.5,26.6,15.6,5.7,8.1,17.1,45.3,43.1,15.2,16.4,31.9,26.3,35.0,29.9,16.6,7.1
2012,Santa Monica,6.1,8.0,5.7,2.6,N,0.0,25.0,11.7,3.5,4.8,6.7,36.8,-,7.5,4.9,0.0,-,7.7,15.7,0.4,0.0
2012,Santa Rosa,9.5,11.7,6.5,4.1,5.4,22.1,16.4,6.7,2.9,7.3,11.1,14.3,0.0,8.3,10.7,7.0,27.3,20.4,14.4,4.3,4.3
2012,Simi Valley,6.4,9.3,4.5,4.5,4.0,27.2,8.1,5.4,2.1,2.9,6.9,19.1,52.5,6.1,4.9,10.0,26.6,21.5,11.3,1.7,0.0
2012,South Gate,21.2,26.6,17.6,9.0,14.9,25.7,19.5,18.6,0.0,11.0,18.0,50.7,49.7,20.8,19.0,24.7,19.4,49.1,35.6,10.8,1.2
2012,South San Francisco,6.5,10.0,5.9,0.0,N,22.3,9.1,2.1,1.8,2.4,11.0,5.3,-,4.6,9.4,3.0,0.0,4.9,13.4,2.9,0.0
2012,Stockton,20.7,27.1,14.2,7.7,9.9,35.9,19.8,18.7,7.1,10.4,24.0,35.5,33.9,17.9,20.1,25.1,30.3,48.1,24.0,7.3,6.3
2012,Sunnyvale,5.1,7.0,3.9,2.7,1.2,25.8,13.5,2.2,1.5,2.9,5.2,25.1,0.0,3.5,4.5,12.8,14.8,16.2,8.6,1.5,0.0
2012,Temecula,5.4,5.9,2.3,2.4,4.4,13.2,0.0,7.6,3.3,4.4,6.8,3.2,0.0,7.1,5.7,1.0,11.0,27.1,5.9,0.8,4.0
2012,Thousand Oaks,5.1,8.5,4.2,1.1,2.2,16.5,10.2,7.6,1.7,2.0,8.1,10.5,0.0,3.8,7.2,0.0,20.5,7.7,8.4,2.4,3.0
2012,Torrance,4.1,5.6,2.2,1.3,1.7,13.2,7.3,1.9,3.7,2.8,5.7,5.1,0.0,5.0,3.5,3.0,0.0,12.1,6.5,1.2,0.0
2012,Tracy,5.0,7.9,2.7,0.0,4.7,20.4,3.8,3.5,0.9,1.0,5.4,16.7,42.0,3.7,4.5,1.3,24.9,22.5,4.6,4.4,0.6
2012,Turlock,12.0,18.2,10.1,3.9,1.6,25.0,18.7,8.8,2.1,5.0,16.8,24.5,0.0,2.4,17.3,20.0,0.0,22.6,11.7,10.1,0.0
2012,Tustin,10.9,14.4,7.2,0.0,0.0,26.8,25.3,6.3,3.0,5.2,14.0,17.2,0.0,6.3,14.9,12.7,0.0,42.3,15.1,4.0,0.0
2012,Union City,5.8,7.6,2.4,8.8,9.4,14.9,15.6,4.3,1.2,3.8,4.8,16.8,0.0,4.4,7.4,4.2,7.1,26.5,5.8,3.2,0.0
2012,Upland,14.5,22.1,11.6,3.1,3.6,35.5,12.6,12.3,11.1,5.5,13.6,66.7,78.6,11.7,12.5,29.9,32.5,28.0,25.4,2.0,1.4
2012,Vacaville,10.9,12.0,7.0,9.7,11.0,20.0,11.9,11.1,6.9,9.8,7.3,27.4,67.2,12.4,7.9,19.3,0.0,38.4,15.2,1.2,1.9
2012,Vallejo,15.2,24.4,9.4,10.4,12.0,28.1,20.0,14.3,4.8,6.4,22.9,31.5,0.0,11.0,18.4,21.2,7.5,37.6,18.8,3.8,3.0
2012,Victorville,21.1,28.5,13.1,13.6,8.9,35.4,22.7,17.8,4.6,9.7,23.2,30.8,89.7,11.0,23.4,25.6,38.2,39.3,27.9,6.9,0.0
2012,Visalia,20.9,28.7,14.0,10.6,15.3,35.1,24.8,23.6,7.4,6.8,22.7,45.2,81.8,8.6,23.3,29.4,51.8,54.6,28.4,8.9,0.0
2012,Vista,14.3,18.9,9.0,3.2,1.7,16.9,16.0,13.9,10.7,10.2,14.9,32.0,0.0,14.2,13.6,18.0,4.5,41.2,13.2,2.8,11.1
2012,Walnut Creek,N,N,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,1.8,1.6,0.0,0.0
2012,West Covina,9.3,15.4,7.9,1.7,4.8,17.6,16.5,8.6,0.6,2.6,13.0,23.2,25.5,5.4,9.9,13.5,10.1,26.3,15.3,4.0,1.5
2012,Westminster,14.5,20.4,10.9,5.0,7.0,28.8,7.4,13.2,10.5,9.5,20.4,21.4,0.0,8.1,18.0,17.8,18.1,28.7,18.1,10.1,1.3
2012,Whittier,9.4,13.2,7.0,11.6,6.0,24.4,11.7,4.4,3.7,5.2,12.8,16.4,0.0,11.7,8.6,8.0,4.2,29.1,13.4,4.1,1.2
2012,Yorba Linda,1.9,3.5,1.1,0.0,0.0,14.0,3.6,2.7,0.3,0.7,3.1,0.0,100.0,1.9,1.2,4.4,0.0,9.8,2.1,0.6,0.0
2012,Yuba City,17.6,20.3,11.4,16.0,13.0,24.8,16.7,22.1,4.7,14.0,20.8,19.2,0.0,16.7,16.7,14.1,46.6,41.4,22.9,3.7,13.9
