Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2012,Alameda,5.2,8.9,2.6,0.0,3.5,18.0,16.4,8.3,0.6,1.3,8.6,12.0,-,3.5,6.0,10.8,0.0,14.9,8.6,0.7,0.0
2012,Alhambra,9.8,14.6,6.9,6.4,5.8,18.1,14.6,4.3,7.0,6.2,12.1,26.2,100.0,8.7,8.2,15.7,26.2,24.9,15.7,5.5,1.7
2012,Anaheim,15.5,23.3,12.3,3.1,4.1,30.0,17.5,10.6,3.0,5.0,18.5,40.4,29.8,10.5,16.3,22.6,11.7,30.1,28.0,6.4,4.5
2012,Antioch,14.3,23.8,11.0,1.5,12.0,31.5,22.1,11.2,5.2,2.4,17.0,51.3,0.0,3.1,21.5,19.3,4.4,42.6,16.0,7.4,1.2
2012,Apple Valley,23.9,33.5,16.2,12.9,13.6,31.0,35.5,18.9,3.1,15.9,22.8,61.6,100.0,22.0,18.7,37.5,51.1,36.4,25.9,11.3,0.0
2012,Arden-Arcade,16.9,29.1,14.2,1.9,0.8,55.3,7.4,14.7,5.9,5.5,25.2,48.7,0.0,12.3,20.5,35.2,0.0,31.8,18.2,6.8,0.0
2012,Bakersfield,16.9,23.2,11.9,11.1,11.7,34.5,19.3,13.1,3.4,6.6,17.7,32.9,71.2,11.1,16.8,23.3,45.7,37.7,23.3,6.9,4.6
2012,Baldwin Park,18.5,24.7,11.9,2.5,15.5,22.6,22.2,13.8,2.3,8.8,18.7,42.0,60.9,18.6,18.8,17.0,21.0,60.5,26.4,10.0,3.8
2012,Bellflower,17.4,28.2,15.2,6.2,9.6,44.9,13.7,14.1,0.0,2.1,22.0,41.1,0.0,5.4,23.1,23.5,10.7,44.8,25.6,3.6,3.5
2012,Berkeley,9.5,9.2,6.9,0.0,0.0,54.4,34.3,14.0,5.2,9.6,10.3,0.0,-,13.4,4.7,0.0,-,12.8,19.7,3.0,0.0
2012,Buena Park,7.9,12.9,8.2,0.0,0.0,17.1,3.1,8.4,5.8,2.6,6.6,32.0,-,4.7,3.8,22.3,0.0,8.2,19.1,0.0,0.0
2012,Burbank,8.4,12.3,2.2,10.4,3.6,38.2,8.7,6.6,4.3,4.7,12.7,8.9,-,7.7,9.4,6.8,0.0,37.0,12.7,1.6,0.0
2012,Camarillo,2.8,4.8,0.8,2.1,1.8,2.3,1.6,4.5,2.0,1.6,1.6,34.7,0.0,1.6,5.3,0.0,0.0,14.7,2.1,0.0,0.0
2012,Carlsbad,12.3,17.2,3.9,5.6,1.2,17.8,7.5,23.3,6.7,8.4,18.6,8.1,-,11.8,14.0,5.7,0.0,47.7,7.2,0.6,0.0
2012,Carson,8.3,13.2,5.7,6.8,4.6,19.0,9.4,7.8,2.0,4.0,5.4,30.8,32.5,7.5,3.9,13.8,23.6,19.2,18.8,0.5,1.8
2012,Chico,14.7,23.0,7.3,2.2,12.2,34.8,17.6,14.1,8.1,5.1,20.9,36.1,-,13.3,13.1,29.0,45.3,29.0,23.3,2.4,2.3
2012,Chino,10.5,15.3,7.5,3.1,6.0,23.5,17.7,7.8,0.0,5.9,14.6,18.7,0.0,12.1,7.8,13.1,8.2,33.2,15.9,4.2,0.0
2012,Chino Hills,10.1,12.9,5.9,2.1,5.3,24.0,4.3,10.2,9.9,6.9,13.3,11.4,0.0,11.8,7.0,21.8,0.0,36.4,13.5,5.3,0.0
2012,Chula Vista,10.4,14.0,6.5,3.7,5.6,22.5,10.8,11.3,3.6,5.4,13.2,16.7,21.7,8.1,12.2,10.8,4.3,36.4,14.5,2.8,1.2
2012,Citrus Heights,10.9,20.5,9.2,1.8,4.4,39.7,14.0,4.3,0.6,2.0,18.2,25.6,100.0,4.5,10.6,34.4,41.4,19.4,14.4,4.7,5.1
2012,Clovis,15.7,23.4,8.5,4.7,8.9,25.4,16.0,20.2,4.6,4.5,23.0,20.3,100.0,14.2,18.5,11.6,15.9,58.9,18.3,0.5,1.4
2012,Compton,25.6,33.0,20.5,2.9,16.6,35.0,28.6,17.8,8.1,11.1,26.6,36.4,74.0,18.2,23.2,30.8,37.8,64.7,31.1,16.2,2.5
2012,Concord,7.7,11.4,4.1,7.8,5.0,16.6,3.2,8.1,6.9,4.4,8.4,17.0,100.0,5.5,7.3,11.1,49.0,25.8,9.2,2.1,4.6
2012,Corona,8.8,11.5,6.2,7.0,4.4,18.2,8.7,9.5,2.4,4.7,10.3,14.1,20.4,8.2,10.6,7.2,0.0,34.6,15.1,1.8,0.0
2012,Costa Mesa,9.7,13.0,8.7,4.4,6.5,40.6,5.6,3.7,3.6,6.5,12.5,13.4,37.4,11.7,5.6,17.5,12.3,26.9,16.3,4.1,2.1
2012,Daly City,4.7,7.5,4.8,0.7,1.7,9.5,6.4,4.9,1.0,2.4,6.8,12.2,0.0,5.2,4.4,4.9,4.0,10.6,11.1,1.6,0.0
