GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
0500000US06001,"Alameda County, California",1355096,770234,870985,870985,870985,573589,1654543
0500000US06007,"Butte County, California",188525,94982,98494,98494,98494,88797,226204
0500000US06013,"Contra Costa County, California",916424,543260,558747,558747,558747,392046,1141780
0500000US06017,"El Dorado County, California",156751,81413,82883,82883,82883,69368,187615
0500000US06019,"Fresno County, California",736573,398832,411529,411529,411529,305819,978243
0500000US06023,"Humboldt County, California",113328,57833,60945,60945,60945,53446,135847
0500000US06025,"Imperial County, California",134810,58665,59899,59899,59899,44478,173359
0500000US06029,"Kern County, California",662150,336223,341802,341802,341802,269147,865603
0500000US06031,"Kings County, California",114256,58351,56775,56775,56775,43029,135965
0500000US06033,"Lake County, California",52859,24281,25086,25086,25086,27399,63594
0500000US06037,"Los Angeles County, California",8197133,4856523,4974757,4974757,4974757,3311231,10096702
0500000US06039,"Madera County, California",119715,57028,59053,59053,59053,46282,149228
0500000US06041,"Marin County, California",214244,125024,127855,127855,127855,104219,256005
0500000US06045,"Mendocino County, California",71299,37711,40450,40450,40450,32599,87268
0500000US06047,"Merced County, California",201200,98766,103680,103680,103680,80969,270238
0500000US06053,"Monterey County, California",336234,194671,191091,191091,191091,125518,421669
0500000US06055,"Napa County, California",115679,70861,72349,72349,72349,47848,139286
0500000US06057,"Nevada County, California",85135,46582,47524,47524,47524,41638,98837
0500000US06059,"Orange County, California",2566368,1577654,1607525,1607525,1607525,1037312,3175155
0500000US06061,"Placer County, California",309403,177146,179205,179205,179205,143659,383639
0500000US06065,"Riverside County, California",1881422,1014984,1040627,1040627,1040627,718733,2400720
0500000US06067,"Sacramento County, California",1205345,689495,705215,705215,705215,543250,1517379
0500000US06071,"San Bernardino County, California",1652005,890998,901468,901468,901468,626223,2103552
0500000US06073,"San Diego County, California",2690857,1649909,1611175,1611175,1611175,1126419,3239196
0500000US06075,"San Francisco County, California",777887,523364,534557,534557,534557,360323,880097
0500000US06077,"San Joaquin County, California",565235,303851,314196,314196,314196,226624,735416
0500000US06079,"San Luis Obispo County, California",238518,131159,131832,131832,131832,104544,276654
0500000US06081,"San Mateo County, California",628474,409921,418194,418194,418194,264185,767094
0500000US06083,"Santa Barbara County, California",359781,215522,219313,219313,219313,147466,441604
0500000US06085,"Santa Clara County, California",1556065,971960,1012777,1012777,1012777,633811,1928741
0500000US06087,"Santa Cruz County, California",228648,134024,137657,137657,137657,95940,274486
0500000US06089,"Shasta County, California",145732,75153,76203,76203,76203,71968,178508
0500000US06095,"Solano County, California",357938,204776,206151,206151,206151,151127,432898
0500000US06097,"Sonoma County, California",416339,251390,259305,259305,259305,188829,500585
0500000US06099,"Stanislaus County, California",416050,230328,236867,236867,236867,173573,544767
0500000US06101,"Sutter County, California",74515,37510,38415,38415,38415,31945,95104
0500000US06107,"Tulare County, California",335280,178096,182722,182722,182722,137576,460812
0500000US06111,"Ventura County, California",678464,409760,419323,419323,419323,272085,847390
0500000US06113,"Yolo County, California",178343,98634,101482,101482,101482,73495,217937
0500000US06115,"Yuba County, California",57949,33257,32424,32424,32424,26228,75194
