GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
0500000US06001,"Alameda County, California",1327805,759174,836462,836462,836462,571828,1629267
0500000US06007,"Butte County, California",184984,89437,92602,92602,92602,85289,222867
0500000US06013,"Contra Costa County, California",895368,523751,536149,536149,536149,391996,1121637
0500000US06017,"El Dorado County, California",151602,77877,79944,79944,79944,67544,183470
0500000US06019,"Fresno County, California",725355,382735,397209,397209,397209,304209,963755
0500000US06023,"Humboldt County, California",111812,55938,59202,59202,59202,53553,134868
0500000US06025,"Imperial County, California",134465,59649,59958,59958,59958,45158,170342
0500000US06029,"Kern County, California",651998,340397,344626,344626,344626,263273,853693
0500000US06031,"Kings County, California",113391,55516,52823,52823,52823,42692,131982
0500000US06033,"Lake County, California",53235,23353,N,24554,24554,26335,63880
0500000US06037,"Los Angeles County, California",8156954,4707563,4831360,4831360,4831360,3293095,10103992
0500000US06039,"Madera County, California",117782,52093,58279,58279,58279,45224,146337
0500000US06041,"Marin County, California",213603,128003,130101,130101,130101,105887,256740
0500000US06045,"Mendocino County, California",71413,35584,36181,36181,36181,35264,86694
0500000US06047,"Merced County, California",198216,93591,98425,98425,98425,79098,265551
0500000US06053,"Monterey County, California",331326,185200,182151,182151,182151,126904,416859
0500000US06055,"Napa County, California",115251,67947,70701,70701,70701,49619,140474
0500000US06057,"Nevada County, California",83817,39296,41169,41169,41169,41381,97917
0500000US06059,"Orange County, California",2539295,1531980,1559173,1559173,1559173,1022542,3151977
0500000US06061,"Placer County, California",301192,161925,166681,166681,166681,137500,373028
0500000US06065,"Riverside County, California",1822118,957051,981103,981103,981103,714728,2341423
0500000US06067,"Sacramento County, California",1179562,654274,671358,671358,671358,530497,1487871
0500000US06071,"San Bernardino County, California",1623748,866985,877027,877027,877027,628798,2069420
0500000US06073,"San Diego County, California",2652326,1585547,1552867,1552867,1552867,1113610,3208161
0500000US06075,"San Francisco County, California",760939,497133,506320,506320,506320,356916,861066
0500000US06077,"San Joaquin County, California",548879,283597,292491,292491,292491,223062,717502
0500000US06079,"San Luis Obispo County, California",236308,128687,128903,128903,128903,104760,275003
0500000US06081,"San Mateo County, California",620495,392505,400912,400912,400912,263280,761535
0500000US06083,"Santa Barbara County, California",356206,209973,214133,214133,214133,144261,437205
0500000US06085,"Santa Clara County, California",1529507,934799,967374,967374,967374,633786,1908803
0500000US06087,"Santa Cruz County, California",226071,127842,132081,132081,132081,93317,272834
0500000US06089,"Shasta County, California",145944,70029,72329,72329,72329,69799,178201
0500000US06095,"Solano County, California",348462,191295,193706,193706,193706,145502,423555
0500000US06097,"Sonoma County, California",411102,244455,250066,250066,250066,190662,497607
0500000US06099,"Stanislaus County, California",408949,209056,215825,215825,215825,171960,535002
0500000US06101,"Sutter County, California",73811,36790,36740,36740,36740,32901,94904
0500000US06107,"Tulare County, California",330900,163799,170090,170090,170090,134801,456134
0500000US06111,"Ventura County, California",672407,398435,405614,405614,405614,269566,844132
0500000US06113,"Yolo County, California",172396,96471,97488,97488,97488,73754,211311
0500000US06115,"Yuba County, California",56360,28025,N,28456,28456,25361,73021
