GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
0500000US06001,"Alameda County, California",1361098,796952,882648,882648,882648,575410,1657847
0500000US06007,"Butte County, California",190638,98333,101385,101385,101385,88636,229374
0500000US06013,"Contra Costa County, California",921374,560747,577749,577749,577749,396133,1145212
0500000US06017,"El Dorado County, California",156948,87964,88702,88702,88702,72774,189140
0500000US06019,"Fresno County, California",741706,401700,414515,414515,414515,309519,982821
0500000US06023,"Humboldt County, California",112359,59878,64215,64215,64215,55773,135418
0500000US06025,"Imperial County, California",136416,61033,61830,61830,61830,41764,172029
0500000US06029,"Kern County, California",664871,341381,348493,348493,348493,273167,869297
0500000US06031,"Kings County, California",114798,54418,52644,52644,52644,43727,136372
0500000US06033,"Lake County, California",52124,24722,N,25891,25891,26774,63594
0500000US06037,"Los Angeles County, California",8162030,4874798,5001369,5001369,5001369,3313908,10034790
0500000US06039,"Madera County, California",119395,56930,59187,59187,59187,44484,149321
0500000US06041,"Marin County, California",214458,132566,134656,134656,134656,104954,254871
0500000US06045,"Mendocino County, California",71461,37869,39072,39072,39072,33794,86511
0500000US06047,"Merced County, California",203248,108162,111737,111737,111737,79487,272072
0500000US06053,"Monterey County, California",333147,192389,190707,190707,190707,126299,419413
0500000US06055,"Napa County, California",114103,66644,68939,68939,68939,47315,137800
0500000US06057,"Nevada County, California",84536,44049,44505,44505,44505,41447,98472
0500000US06059,"Orange County, California",2571255,1580867,1613730,1613730,1613730,1040394,3168615
0500000US06061,"Placer County, California",317755,177634,180107,180107,180107,144691,390975
0500000US06065,"Riverside County, California",1907979,1050718,1069565,1069565,1069565,728103,2428069
0500000US06067,"Sacramento County, California",1215153,711001,723076,723076,723076,543560,1527845
0500000US06071,"San Bernardino County, California",1662442,938270,946515,946515,946515,638647,2129783
0500000US06073,"San Diego County, California",2695957,1649210,1606430,1606430,1606430,1130911,3239327
0500000US06075,"San Francisco County, California",776750,524742,536653,536653,536653,362827,879045
0500000US06077,"San Joaquin County, California",571146,316465,326352,326352,326352,231917,741862
0500000US06079,"San Luis Obispo County, California",240351,126971,128406,128406,128406,106198,277304
0500000US06081,"San Mateo County, California",628294,407732,418073,418073,418073,259654,766018
0500000US06083,"Santa Barbara County, California",358433,207250,210598,210598,210598,146224,439566
0500000US06085,"Santa Clara County, California",1560706,992175,1014217,1014217,1014217,645108,1927339
0500000US06087,"Santa Cruz County, California",227759,132127,135393,135393,135393,94994,272666
0500000US06089,"Shasta County, California",145037,67512,69649,69649,69649,68198,178552
0500000US06095,"Solano County, California",357799,214362,216357,216357,216357,152291,434732
0500000US06097,"Sonoma County, California",413471,253870,259984,259984,259984,187434,495984
0500000US06099,"Stanislaus County, California",418513,220466,229483,229483,229483,175171,547120
0500000US06101,"Sutter County, California",74492,39863,40133,40133,40133,31989,95650
0500000US06107,"Tulare County, California",339624,176523,182312,182312,182312,139197,461439
0500000US06111,"Ventura County, California",679810,413288,419074,419074,419074,271980,843490
0500000US06113,"Yolo County, California",178782,96996,98657,98657,98657,74428,219248
0500000US06115,"Yuba County, California",59048,31270,30058,30058,30058,26191,75693
