Year,City,Total,Total Occupied,Renter occupied
2016,Camarillo,"23,168","14,639","8,529"
2016,Carlsbad,"41,640","27,480","14,160"
2016,Carmichael CDP,"25,154","13,068","12,086"
2016,Carson,"25,790","19,034","6,756"
2016,Castro Valley CDP,"24,034","15,644","8,390"
2016,Chico,"34,985","15,089","19,896"
2016,Chino,"20,149","11,610","8,539"
2016,Chino Hills,,,
2016,Chula Vista,"79,639","44,929","34,710"
2016,Citrus Heights,"34,269","19,714","14,555"
2016,Clovis,"35,979","21,279","14,700"
2016,Compton,"22,458","11,982","10,476"
2016,Concord,"45,848","25,601","20,247"
2016,Corona,"50,765","32,411","18,354"
2016,Costa Mesa,"38,127","14,023","24,104"
2016,Daly City,"32,969","18,472","14,497"
2016,Davis,"23,542","10,319","13,223"
2016,Downey,"32,646","14,820","17,826"
2016,East Los Angeles CDP,"33,058","10,498","22,560"
2016,El Cajon,"32,447","12,443","20,004"
2016,Elk Grove,,,
2016,El Monte,"27,249","10,912","16,337"
2016,Escondido,"45,367","22,081","23,286"
2016,Fairfield,"38,027","21,089","16,938"
2016,Florence-Graham CDP,"15,084","5,310","9,774"
2016,Folsom,,,
2016,Fontana,"57,868","37,298","20,570"
2016,Fremont,"71,599","41,830","29,769"
2016,Fresno,"166,288","77,261","89,027"
2016,Fullerton,"45,635","23,334","22,301"
2016,Garden Grove,"47,718","24,374","23,344"
2016,Glendale,"75,013","25,130","49,883"
2016,Hawthorne,"28,870","7,750","21,120"
2016,Hayward,"45,792","23,255","22,537"
2016,Hemet,"29,465","16,155","13,310"
2016,Hesperia,"26,802","16,496","10,306"
2016,Huntington Beach,"78,998","47,198","31,800"
2016,Indio,"30,887","21,176","9,711"
2016,Inglewood,"38,724","14,052","24,672"
2016,Irvine,"94,321","45,894","48,427"
2016,Jurupa Valley,"24,850","15,256","9,594"
2016,Laguna Niguel,"24,116","16,861","7,255"
2016,Lake Forest,"29,496","20,205","9,291"
2016,Lakewood,"24,806","18,058","6,748"
2016,Lancaster,"49,934","24,035","25,899"
2016,Livermore,"30,749","21,890","8,859"
2016,Long Beach,"160,769","60,615","100,154"
2016,Los Angeles,"1,378,844","494,533","884,311"
2016,Lynwood,"14,840","5,962","8,878"
2016,Manteca,"24,828","14,325","10,503"
2016,Menifee,"29,148","21,438","7,710"
