Year,City,% All Families
2011,Salinas,18.4
2011,San Bernardino,27.7
2011,San Buenaventura (Ventura),8.6
2011,San Diego,11.2
2011,San Francisco,8.5
2011,San Jose,8.3
2011,San Leandro,8.8
2011,San Marcos,12.6
2011,San Mateo,3.1
2011,San Ramon,3.7
2011,Santa Ana,18.2
2011,Santa Barbara,10.3
2011,Santa Clara,5.2
2011,Santa Clarita,5.1
2011,Santa Maria,15.1
2011,Santa Monica,6
2011,Santa Rosa,9.6
2011,Simi Valley,3
2011,South Gate,18
2011,Stockton,21.6
2011,Sunnyvale,4.9
2011,Temecula,9.7
2011,Thousand Oaks,5.1
2011,Torrance,5.3
2011,Tracy,5.4
2011,Turlock,12
2011,Tustin,6.8
2011,Union City,6.3
2011,Upland,9.7
2011,Vacaville,8.9
2011,Vallejo,14.5
2011,Victorville,24.5
2011,Visalia,14.7
2011,Vista,15.8
2011,Walnut Creek,3.4
2011,West Covina,8
2011,Westminster,11
2011,Whittier,10.3
2011,Yorba Linda,2.8
2011,Yuba City,13.7
2012,Alameda,5.2
2012,Alhambra,9.8
2012,Anaheim,15.5
2012,Antioch,14.3
2012,Apple Valley,23.9
2012,Arden-Arcade,16.9
2012,Bakersfield,16.9
2012,Baldwin Park,18.5
2012,Bellflower,17.4
2012,Berkeley,9.5
2012,Buena Park,7.9
2012,Burbank,8.4
2012,Camarillo,2.8
2012,Carlsbad,12.3
2012,Carson,8.3
2012,Chico,14.7
2012,Chino,10.5
2012,Chino Hills,10.1
2012,Chula Vista,10.4
2012,Citrus Heights,10.9
2012,Clovis,15.7
2012,Compton,25.6
2012,Concord,7.7
2012,Corona,8.8
2012,Costa Mesa,9.7
2012,Daly City,4.7
2012,Davis,3.9
2012,Downey,10.7
2012,East Los Angeles,27.9
2012,El Cajon,21.1
2012,Elk Grove,8.6
2012,El Monte,23.3
2012,Escondido,17.2
2012,Fairfield,10
2012,Florence-Graham,33.3
2012,Folsom,1.2
2012,Fontana,13
2012,Fremont,4
2012,Fresno,26.6
2012,Fullerton,10.3
2012,Garden Grove,14.5
2012,Glendale,9.2
2012,Hawthorne,21.1
2012,Hayward,14.6
2012,Hemet,22.7
2012,Hesperia,25.4
2012,Huntington Beach,7.3
2012,Indio,16
2012,Inglewood,18.1
2012,Irvine,6.1
2012,Jurupa Valley,19.3
2012,Lake Forest,4.6
2012,Lakewood,6.1
2012,Lancaster,21.3
2012,Livermore,3.7
2012,Long Beach,19
2012,Los Angeles,18.9
2012,Lynwood,23.8
2012,Manteca,12.2
2012,Menifee,8.5
2012,Merced,25.7
2012,Milpitas,8.2
2012,Mission Viejo,4.5
2012,Modesto,15.9
2012,Moreno Valley,18.1
2012,Mountain View,6.5
2012,Murrieta,7.7
2012,Napa,6.4
2012,Newport Beach,4.9
2012,Norwalk,10.3
2012,Oakland,19.5
2012,Oceanside,8.8
2012,Ontario,13.9
2012,Orange,9.1
2012,Oxnard,14.9
2012,Palmdale,20.2
2012,Palo Alto,3.3
2012,Pasadena,9.4
2012,Perris,25.1
2012,Pittsburg,18.9
2012,Pleasanton,2.5
2012,Pomona,18.5
2012,Rancho Cordova,17.9
2012,Rancho Cucamonga,8
2012,Redding,11.9
2012,Redlands,9.4
2012,Redondo Beach,4.8
2012,Redwood City,4.8
2012,Rialto,19.3
2012,Richmond,15.7
2012,Riverside,14.6
2012,Roseville,6.6
2012,Sacramento,19.1
2012,Salinas,17.8
2012,San Bernardino,26.5
2012,San Buenaventura (Ventura),7.1
2012,San Diego,10.7
2012,San Francisco,9
2012,San Jose,9.6
2012,San Leandro,3.9
2012,San Marcos,22
2012,San Mateo,4.7
2012,San Ramon,2.6
2012,Santa Ana,18.9
2012,Santa Barbara,6.3
2012,Santa Clara,7.2
2012,Santa Clarita,8.8
2012,Santa Maria,20.4
2012,Santa Monica,6.1
2012,Santa Rosa,9.5
2012,Simi Valley,6.4
2012,South Gate,21.2
2012,South San Francisco,6.5
2012,Stockton,20.7
2012,Sunnyvale,5.1
2012,Temecula,5.4
2012,Thousand Oaks,5.1
2012,Torrance,4.1
2012,Tracy,5
2012,Turlock,12
2012,Tustin,10.9
2012,Union City,5.8
2012,Upland,14.5
2012,Vacaville,10.9
2012,Vallejo,15.2
2012,Victorville,21.1
2012,Visalia,20.9
2012,Vista,14.3
2012,Walnut Creek,N
2012,West Covina,9.3
2012,Westminster,14.5
2012,Whittier,9.4
2012,Yorba Linda,1.9
2012,Yuba City,17.6
2013,Alameda,10.4
2013,Alhambra,14.7
2013,Anaheim,15.6
2013,Antioch,12.4
2013,Apple Valley,17.1
2013,Arden-Arcade,15.8
2013,Bakersfield,17.3
2013,Baldwin Park,12.2
2013,Bellflower,13.2
2013,Berkeley,4.3
2013,Buena Park,12.1
2013,Burbank,7.4
2013,Camarillo,2.2
2013,Carlsbad,9.5
2013,Carmichael,10.1
2013,Carson,8.6
2013,Chico,13.7
2013,Chino,7.2
2013,Chino Hills,2.4
2013,Chula Vista,13.3
2013,Citrus Heights,12.2
2013,Clovis,11.5
2013,Compton,24.7
2013,Concord,11
2013,Corona,11.1
2013,Costa Mesa,8.5
2013,Daly City,5.9
2013,Davis,4.5
2013,Downey,9.5
2013,East Los Angeles,25.9
2013,El Cajon,26.1
2013,Elk Grove,8.7
2013,El Monte,25.4
2013,Escondido,16.7
2013,Fairfield,11
2013,Folsom,N
2013,Fontana,13
2013,Fremont,4.7
2013,Fresno,26.5
2013,Fullerton,12.2
2013,Garden Grove,14.2
2013,Glendale,13.6
2013,Hawthorne,16
2013,Hayward,10.7
2013,Hemet,22.9
2013,Hesperia,21.6
2013,Huntington Beach,6.6
2013,Indio,15.5
2013,Inglewood,17.7
2013,Irvine,7.1
2013,Jurupa Valley,11.3
2013,Lake Forest,5.1
2013,Lakewood,4.9
2013,Lancaster,18
2013,Livermore,5.2
2013,Long Beach,16.7
2013,Los Angeles,18.5
2013,Lynwood,27
2013,Manteca,10.1
2013,Menifee,7.2
2013,Merced,28.2
2013,Milpitas,8.4
2013,Mission Viejo,2.5
2013,Modesto,17.2
2013,Moreno Valley,16.7
2013,Mountain View,6.2
2013,Murrieta,7.1
2013,Napa,5.7
2013,Newport Beach,5
2013,Norwalk,9.4
2013,Oakland,14.1
2013,Oceanside,12.6
2013,Ontario,17.1
2013,Orange,9.6
2013,Oxnard,14.9
2013,Palmdale,17.1
2013,Palo Alto,7
2013,Pasadena,9.6
2013,Perris,13.9
2013,Pittsburg,10.1
2013,Pleasanton,3.8
2013,Pomona,16.2
2013,Rancho Cordova,11.9
2013,Rancho Cucamonga,6.4
2013,Redding,11.2
2013,Redlands,9.5
2013,Redondo Beach,2.4
2013,Redwood City,6
2013,Rialto,16
2013,Richmond,13.8
2013,Riverside,15.3
2013,Roseville,5.2
2013,Sacramento,19.7
2013,Salinas,16.5
2013,San Bernardino,29.8
2013,San Buenaventura (Ventura),5.3
2013,San Clemente,6.8
2013,San Diego,11
2013,San Francisco,7.8
2013,San Jose,9.1
2013,San Leandro,10.4
2013,San Marcos,8
2013,San Mateo,4.4
2013,San Ramon,3.2
2013,Santa Ana,20.8
2013,Santa Barbara,7.1
2013,Santa Clara,5.1
2013,Santa Clarita,8.1
2013,Santa Maria,17.3
2013,Santa Monica,5.4
2013,Santa Rosa,9.6
2013,Simi Valley,3.7
2013,South Gate,17.2
2013,South San Francisco,5.6
2013,South Whittier,14.3
2013,Stockton,23
2013,Sunnyvale,4.9
2013,Temecula,5.6
2013,Thousand Oaks,4.7
2013,Torrance,6.2
2013,Tracy,6.3
2013,Turlock,15.4
2013,Tustin,7.8
2013,Union City,5.5
2013,Upland,11.1
2013,Vacaville,8
2013,Vallejo,12.2
2013,Victorville,20.9
2013,Visalia,18.6
2013,Vista,13
2013,Walnut Creek,4.7
2013,West Covina,6.4
2013,Westminster,17.9
2013,Whittier,12.4
2013,Yorba Linda,2.2
2013,Yuba City,17.8
2014,Alameda,6.3
2014,Alhambra,13.6
2014,Anaheim,12.3
2014,Antioch,12.5
2014,Apple Valley,10.5
2014,Arden-Arcade,16.8
2014,Bakersfield,16.5
2014,Baldwin Park,14.3
2014,Bellflower,10.8
2014,Berkeley,7.7
2014,Buena Park,12.3
2014,Burbank,6.3
2014,Camarillo,3
2014,Carlsbad,3.4
2014,Carmichael,11.6
2014,Carson,11.2
2014,Chico,10.4
2014,Chino,7.1
2014,Chino Hills,7.7
2014,Chula Vista,10.5
2014,Citrus Heights,11.5
2014,Clovis,12
2014,Compton,20.3
2014,Concord,10.4
2014,Corona,8.6
2014,Costa Mesa,11.2
2014,Daly City,8.5
2014,Davis,5.5
2014,Downey,11
2014,East Los Angeles,24.8
2014,El Cajon,20.4
2014,Elk Grove,8.8
2014,El Monte,17.8
2014,Escondido,15.8
2014,Fairfield,9.4
2014,Folsom,2.2
2014,Fontana,16.7
2014,Fremont,4.1
2014,Fresno,24.1
2014,Fullerton,10.5
2014,Garden Grove,12.6
2014,Glendale,14.1
2014,Hawthorne,12.9
2014,Hayward,9.1
2014,Hemet,24.8
2014,Hesperia,15.9
2014,Huntington Beach,6
2014,Indio,16.4
2014,Inglewood,19.5
2014,Irvine,8.4
2014,Jurupa Valley,14.3
2014,Laguna Niguel,4.9
2014,Lake Forest,3.5
2014,Lakewood,2.6
2014,Lancaster,24.7
2014,Livermore,2.2
2014,Long Beach,16.5
2014,Los Angeles,18.2
2014,Lynwood,26.6
2014,Manteca,9.6
2014,Menifee,10.3
2014,Merced,25.3
2014,Milpitas,4.6
2014,Mission Viejo,1.9
2014,Modesto,14.6
2014,Moreno Valley,16.2
2014,Mountain View,3.7
2014,Murrieta,6.5
2014,Napa,5.3
2014,Newport Beach,3.4
2014,Norwalk,10
2014,Oakland,15.6
2014,Oceanside,12.5
2014,Ontario,13.1
2014,Orange,9.9
2014,Oxnard,11.8
2014,Palmdale,17.1
2014,Palo Alto,3.6
2014,Pasadena,11.1
2014,Perris,22.4
2014,Pittsburg,11.1
2014,Pleasanton,1.8
2014,Pomona,19.9
2014,Rancho Cordova,11.4
2014,Rancho Cucamonga,8.4
2014,Redding,7.1
2014,Redlands,11.1
2014,Redondo Beach,4
2014,Redwood City,6.3
2014,Rialto,18.2
2014,Richmond,13.5
2014,Riverside,13.5
2014,Roseville,6.5
2014,Sacramento,16.4
2014,Salinas,16.1
2014,San Bernardino,28.6
2014,San Buenaventura (Ventura),9.1
2014,San Clemente,2.1
2014,San Diego,11.2
2014,San Francisco,6.5
2014,San Jose,6.5
2014,San Leandro,7
2014,San Marcos,13.1
2014,San Mateo,4.5
2014,San Ramon,2.4
2014,Santa Ana,20.1
2014,Santa Barbara,11
2014,Santa Clara,3.3
2014,Santa Clarita,6.1
2014,Santa Maria,19.1
2014,Santa Monica,4.3
2014,Santa Rosa,8.2
2014,Simi Valley,5.8
2014,South Gate,20.5
2014,South San Francisco,1.8
2014,Stockton,23.6
2014,Sunnyvale,3.5
2014,Temecula,5.1
2014,Thousand Oaks,4.6
2014,Torrance,3.7
2014,Tracy,8.6
2014,Turlock,13.5
2014,Tustin,8
2014,Union City,8.9
2014,Upland,9
2014,Vacaville,5.8
2014,Vallejo,15.5
2014,Victorville,25.8
2014,Visalia,14.8
2014,Vista,12.3
2014,Walnut Creek,5.5
2014,West Covina,8.9
2014,Westminster,16
2014,Whittier,8.3
2014,Yorba Linda,2.2
2014,Yuba City,8.6
2015,Alameda,5.2
2015,Alhambra,11.8
2015,Anaheim,11.8
2015,Antioch,11.8
2015,Apple Valley,19.3
2015,Arden-Arcade,13.8
2015,Bakersfield,14.3
2015,Baldwin Park,14.4
2015,Bellflower,10.9
2015,Berkeley,4.4
2015,Buena Park,13
2015,Burbank,9
2015,Camarillo,5.4
2015,Carlsbad,2.7
2015,Carmichael,14.3
2015,Carson,6.4
2015,Chico,14.1
2015,Chino,10.5
2015,Chino Hills,2.8
2015,Chula Vista,9.1
2015,Citrus Heights,8.4
2015,Clovis,9.9
2015,Compton,19
2015,Concord,7.6
2015,Corona,8.5
2015,Costa Mesa,9.6
2015,Daly City,5.9
2015,Davis,6.7
2015,Downey,7.8
2015,East Los Angeles,17.2
2015,El Cajon,19.1
2015,Elk Grove,6.2
2015,El Monte,19.3
2015,Escondido,12.7
2015,Fairfield,11.3
2015,Florence-Graham,25.5
2015,Folsom,3.1
2015,Fontana,14.2
2015,Fremont,3.1
2015,Fresno,23.4
2015,Fullerton,7
2015,Garden Grove,16.2
2015,Glendale,9.1
2015,Hawthorne,18.3
2015,Hayward,7.5
2015,Hemet,19.8
2015,Hesperia,21.2
2015,Huntington Beach,5.7
2015,Indio,10.6
2015,Inglewood,19.1
2015,Irvine,8.5
2015,Jurupa Valley,13.8
2015,Laguna Niguel,5.4
2015,Lake Forest,6.7
2015,Lakewood,4.5
2015,Lancaster,20.2
2015,Livermore,3.3
2015,Long Beach,13.5
2015,Los Angeles,15.8
2015,Lynwood,19.5
2015,Manteca,12
2015,Menifee,11.1
2015,Merced,29.9
2015,Milpitas,4.5
2015,Mission Viejo,2.8
2015,Modesto,16.5
2015,Moreno Valley,13.4
2015,Mountain View,1.7
2015,Murrieta,9.1
2015,Napa,7.4
2015,Newport Beach,5.1
2015,Norwalk,9.2
2015,Oakland,15.6
2015,Oceanside,10.3
2015,Ontario,14.9
2015,Orange,7.7
2015,Oxnard,14.7
2015,Palmdale,15.2
2015,Palo Alto,5.2
2015,Pasadena,10.9
2015,Perris,20.5
2015,Pittsburg,15.9
2015,Pleasanton,2.4
2015,Pomona,14.7
2015,Rancho Cordova,12
2015,Rancho Cucamonga,7.3
2015,Redding,12.6
2015,Redlands,11.3
2015,Redondo Beach,2.1
2015,Redwood City,6
2015,Rialto,14.7
2015,Richmond,15
2015,Riverside,10.5
2015,Roseville,6.9
2015,Sacramento,16.4
2015,Salinas,18.6
2015,San Bernardino,29.6
2015,San Buenaventura (Ventura),5.9
2015,San Clemente,2
2015,San Diego,10.5
2015,San Francisco,7.2
2015,San Jose,6.4
2015,San Leandro,7.3
2015,San Marcos,9.3
2015,San Mateo,2.9
2015,San Ramon,3.7
2015,Santa Ana,18.3
2015,Santa Barbara,7.1
2015,Santa Clara,3.2
2015,Santa Clarita,3.6
2015,Santa Maria,19
2015,Santa Monica,3
2015,Santa Rosa,9.1
2015,Simi Valley,3.2
2015,South Gate,14.3
2015,South San Francisco,5.1
2015,Stockton,18.6
2015,Sunnyvale,5.8
2015,Temecula,6.6
2015,Thousand Oaks,2.2
2015,Torrance,6
2015,Tracy,8
2015,Turlock,8.9
2015,Tustin,11
2015,Union City,3.5
2015,Upland,11.1
2015,Vacaville,10.2
2015,Vallejo,11.3
2015,Victorville,20.9
2015,Visalia,19.7
2015,Vista,13
2015,Walnut Creek,2
2015,West Covina,5.8
2015,Westminster,15.2
2015,Whittier,8.8
2015,Yorba Linda,4.2
2015,Yuba City,16.9
2016,Alameda,5.6
2016,Alhambra,9.5
2016,Anaheim,11.1
2016,Antioch,11
2016,Apple Valley,11.6
2016,Arden-Arcade,21.6
2016,Bakersfield,15.9
2016,Baldwin Park,11.7
2016,Bellflower,12.1
2016,Berkeley,2.4
2016,Buena Park,5.5
2016,Burbank,6.6
2016,Camarillo,6.8
2016,Carlsbad,2.8
2016,Carmichael,10.5
2016,Carson,6.2
2016,Castro Valley,7
2016,Chico,15.4
2016,Chino,12.4
2016,Chino Hills,5.5
2016,Chula Vista,9.4
2016,Citrus Heights,8.5
2016,Clovis,10.3
2016,Compton,21.7
2016,Concord,7.7
2016,Corona,9.2
2016,Costa Mesa,6.9
2016,Daly City,4.9
2016,Davis,5.8
2016,Downey,6.8
2016,East Los Angeles,14.7
2016,El Cajon,19.2
2016,Elk Grove,6.2
2016,El Monte,17.9
2016,Escondido,12.5
2016,Fairfield,8.9
2016,Florence-Graham,26.1
2016,Folsom,4.9
2016,Fontana,10.6
2016,Fremont,1.6
2016,Fresno,24.5
2016,Fullerton,9
2016,Garden Grove,9.8
2016,Glendale,11.1
2016,Hawthorne,14.4
2016,Hayward,8.4
2016,Hemet,18.8
2016,Hesperia,15.7
2016,Huntington Beach,5
2016,Indio,13.2
2016,Inglewood,13.8
2016,Irvine,5.7
2016,Jurupa Valley,15.2
2016,Laguna Niguel,4.7
2016,Lake Forest,7
2016,Lakewood,7.6
2016,Lancaster,20.8
2016,Livermore,3.8
2016,Long Beach,14
2016,Los Angeles,15.3
2016,Lynwood,19.5
2016,Manteca,6.5
2016,Menifee,5.9
2016,Merced,27.5
2016,Milpitas,3.9
2016,Mission Viejo,3.2
2016,Modesto,9.2
2016,Moreno Valley,13.8
2016,Mountain View,6.1
2016,Murrieta,8.1
2016,Napa,4.6
2016,Newport Beach,3.1
2016,Norwalk,13
2016,Oakland,15.6
2016,Oceanside,7.3
2016,Ontario,12.9
2016,Orange,4.8
2016,Oxnard,11
2016,Palmdale,16.2
2016,Palo Alto,8.4
2016,Pasadena,8.4
2016,Perris,20.1
2016,Pittsburg,7
2016,Pleasanton,4.1
2016,Pomona,17.1
2016,Rancho Cordova,9.8
2016,Rancho Cucamonga,6
2016,Redding,11.9
2016,Redlands,7.5
2016,Redondo Beach,1.9
2016,Redwood City,4.1
2016,Rialto,15.1
2016,Richmond,12.5
2016,Riverside,10.3
2016,Roseville,5.8
2016,Sacramento,15.4
2016,Salinas,12.7
2016,San Bernardino,25.5
2016,San Buenaventura (Ventura),4.2
2016,San Clemente,3.6
2016,San Diego,8.5
2016,San Francisco,5.6
2016,San Jose,6.9
2016,San Leandro,7.4
2016,San Marcos,7.2
2016,San Mateo,3.7
2016,San Ramon,2.4
2016,Santa Ana,14.3
2016,Santa Barbara,8.9
2016,Santa Clara,3.6
2016,Santa Clarita,3.8
2016,Santa Maria,14.6
2016,Santa Monica,6.1
2016,Santa Rosa,5.6
2016,Simi Valley,2.6
2016,South Gate,17.9
2016,South San Francisco,5.4
2016,Stockton,14.2
2016,Sunnyvale,5.1
2016,Temecula,6.1
2016,Thousand Oaks,4.4
2016,Torrance,3.1
2016,Tracy,4.4
2016,Turlock,10.9
2016,Tustin,8.4
2016,Union City,3.6
2016,Upland,11.3
2016,Vacaville,3.5
2016,Vallejo,11.4
2016,Victorville,17
2016,Visalia,17
2016,Vista,8.4
2016,Walnut Creek,3.7
2016,West Covina,6.7
2016,Westminster,15.4
2016,Whittier,6.8
2016,Yorba Linda,4.1
2016,Yuba City,13
2017,Alameda,7
2017,Alhambra,11.2
2017,Anaheim,13.4
2017,Antioch,16.2
2017,Apple Valley,17.7
2017,Arden-Arcade,16.8
2017,Bakersfield,13
2017,Baldwin Park,10.1
2017,Bellflower,8.2
2017,Berkeley,6.9
2017,Buena Park,13.2
2017,Burbank,5.5
2017,Camarillo,6
2017,Carlsbad,3.8
2017,Carmichael,10.6
2017,Carson,6.2
2017,Castro Valley,3.2
2017,Chico,12.9
2017,Chino,9.7
2017,Chino Hills,6.9
2017,Chula Vista,9.2
2017,Citrus Heights,5.8
2017,Clovis,7.7
2017,Compton,16.4
2017,Concord,3.7
2017,Corona,6.7
2017,Costa Mesa,10.9
2017,Daly City,3.8
2017,Davis,3.8
2017,Downey,8.5
2017,East Los Angeles,19.8
2017,El Cajon,17.6
2017,Elk Grove,5.6
2017,El Monte,17.5
2017,Escondido,8.7
2017,Fairfield,8.4
2017,Florence-Graham,24.4
2017,Folsom,2.7
2017,Fontana,11.8
2017,Fremont,3.3
2017,Fresno,19.3
