Year,RegionName,House Price Mean
2015,Earp,141997.4
2015,East Los Angeles,319533.7
2015,East Palo Alto,599651
2015,Eastvale,502073.3
2015,Edwards,56681
2015,El Cajon,427277.6
2015,El Centro,182664.2
2015,El Dorado,354229.3
2015,El Dorado Hills,543206.1
2015,El Monte,402090.9
2015,El Segundo,834028.7
2015,Elk Grove,338873.9
2015,Elverta,257210.5
2015,Emerald Lake Hills,1789579.5
2015,Emeryville,416361.2
2015,Encinitas,901727.6
2015,Escalon,316935.2
2015,Escondido,437048.3
2015,Esparto,235247
2015,Etna,169304.3
2015,Eureka,271658.2
2015,Exeter,190212.8
2015,Fair Oaks,363055.2
2015,Fairfax,812294.8
2015,Fairfield,346999.2
2015,Fallbrook,484708.5
2015,Farmersville,119305.8
2015,Farmington,444740.1
2015,Fawnskin,236628.8
2015,Felton,488778.3
2015,Ferndale,386104.4
2015,Fiddletown,278942.5
2015,Fillmore,374597.5
2015,Firebaugh,144158.4
2015,Florence-Graham,249614.5
2015,Florin,186488.7
2015,Folsom,451593.3
2015,Fontana,318234
2015,Forbestown,175234.1
2015,Forest Falls,174807.1
2015,Forest Ranch,254840.5
2015,Foresthill,302823.6
2015,Forestville,403860.9
2015,Fort Bragg,365599.3
2015,Fort Jones,165217.2
2015,Fortuna,272482.6
2015,Foster City,1186815.4
2015,Fountain Valley,631432.7
2015,Fowler,230271.4
2015,Frazier Park,139896.1
2015,Freedom,405459.6
2015,Fremont,824034.2
2015,French Camp,227859.9
2015,Fresno,187288.5
2015,Friant,382857.6
2015,Fullerton,547462.8
2015,Fulton,560123.7
2015,Galt,286808.2
2015,Garberville,399948.5
2015,Garden Acres,132142.3
2015,Garden Grove,461000.2
2015,Garden Valley,288012.6
2015,Gardena,383784
2015,Gasquet,218291
2015,Georgetown,252159.9
2015,Gerber,155913.7
2015,Geyserville,831163.3
2015,Gilroy,607360.4
2015,Glen Ellen,886215.5
2015,Glendale,597011.6
2015,Glendora,520454.8
2015,Gold Run,300154.1
2015,Goleta,727555.7
2015,Gonzales,293579.1
2015,Graeagle,223211
2015,Grand Terrace,285779.9
2015,Granite Bay,650927.9
2015,Grass Valley,324657.6
2015,Graton,511711.1
2015,Green Valley,214175.6
2015,Green Valley Lake,144657.8
2015,Greenfield,226499.5
2015,Greenville,141640.8
2015,Greenwood,299898.7
2015,Grenada,132834.7
2015,Gridley,174599.8
2015,Grover Beach,405919.5
2015,Guadalupe,259015.9
2015,Gualala,439077
2015,Guerneville,347454
2015,Gustine,185368.6
2015,Hacienda Heights,506657.5
2015,Half Moon Bay,929266.9
2015,Hamilton City,131833.5
2015,Hanford,184000
2015,Happy Camp,86380.3
2015,Hawaiian Gardens,276707.9
2015,Hawthorne,456237.4
2015,Hayfork,173381.3
2015,Hayward,480653
2015,Healdsburg,730615.7
2015,Heber,185225
2015,Helendale,178815.4
2015,Hemet,192955.9
2015,Herald,415121.6
2015,Herlong,47739.4
2015,Hermosa Beach,1223863.8
2015,Hesperia,193912.2
2015,Hickman,352733.2
2015,Hidden Hills,2167973.8
2015,Hidden Valley Lake,227562.9
2015,Highland,260630.4
2015,Hillsborough,3741167.7
2015,Hilmar,263467.8
2015,Hinkley,132844.6
2015,Hollister,469033.4
2015,Holtville,182557.5
2015,Homeland,208616.8
2015,Homewood,677267.3
2015,Hopland,391837
2015,Hornbrook,107835.2
2015,Hughson,293587.7
2015,Huntington Beach,673390.5
2015,Huntington Park,304599.6
2015,Huron,128706.9
2015,Idyllwild,232505.4
2015,Imperial,192828
2015,Imperial Beach,427084.6
2015,Indian Wells,738902.3
2015,Indio,260877.2
2015,Inglewood,335707.6
2015,Inverness,925432.4
2015,Inyokern,152335.3
2015,Ione,253299.9
2015,Irvine,761797.3
2015,Irwindale,342240
2015,Isla Vista,836458.6
2015,Isleton,233035.7
2015,Ivanhoe,96234.8
2015,Jackson,270192.6
2015,Jacumba,140575.2
2015,Jamul,555200.1
2015,Janesville,186505.7
2015,Jenner,648461.2
2015,Joshua Tree,111432.5
2015,Julian,311413.9
2015,June Lake,384768.3
2015,Jurupa Valley,317046.7
2015,Keene,384353.1
2015,Kelseyville,211096.1
2015,Kennedy,124254.2
2015,Kentfield,1818858.7
2015,Kenwood,861753.8
2015,Kerman,201992.3
2015,Kernville,202343.1
2015,Kettleman City,88787.1
2015,Keyes,177064.1
2015,King City,238995.5
2015,Kings Beach,441515.6
2015,Kingsburg,251119.9
2015,Kirkwood,407200.5
2015,Klamath River,145454.6
2015,Kyburz,225858
2015,La Canada Flintridge,1307624.2
2015,La Crescenta-Montrose,706639.3
2015,La Grange,209034.4
2015,La Habra,443020
2015,La Habra Heights,807031.2
2015,La Honda,692960.8
2015,La Mesa,467457.9
2015,La Mirada,464601.3
2015,La Palma,577585.2
2015,La Puente,341852.3
2015,La Quinta,408495.8
2015,La Riviera,240719.9
2015,La Verne,528743.7
2015,Ladera Heights,728915.5
2015,Ladera Ranch,708917.5
2015,Lafayette,1236949.5
2015,Laguna Beach,1587510.3
2015,Laguna Hills,598109.2
2015,Laguna Niguel,687682
2015,Laguna Woods,243183.5
2015,Lagunitas,633318.8
2015,Lake Arrowhead,286991.5
2015,Lake Elsinore,280244
2015,Lake Forest,581757.9
2015,Lake Hughes,196803.3
2015,Lake Isabella,113788.9
2015,Lakeport,221640.2
2015,Lakeside,425660.3
2015,Lakewood,456703.4
2015,Lamont,101164.1
2015,Lancaster,199222.6
2015,Landers,67097.3
2015,Larkspur,1354400.7
2015,Lathrop,325238.7
2015,Laton,181680.7
2015,Lawndale,395483.7
2015,Laytonville,281723
2015,Le Grand,141112.6
2015,Lebec,188686
2015,Lemon Grove,368718.9
2015,Lemoore,201211.5
2015,Lewiston,209145.8
2015,Lexington Hills,798187.5
2015,Lincoln,390050
2015,Lincoln Village,205395.5
2015,Linden,398949.9
2015,Lindsay,136222.4
2015,Litchfield,167016.5
2015,Littlerock,185798.3
2015,Live Oak,177408.2
2015,Livermore,676348.5
2015,Livingston,198709.7
2015,Llano,180545.6
2015,Lockeford,275114.1
2015,Lodi,282742.5
2015,Loma Linda,320672.4
2015,Lomita,506254.8
2015,Lompoc,276645.3
2015,Long Beach,438942
2015,Loomis,481649.4
2015,Los Alamitos,791595.7
2015,Los Alamos,461916.3
2015,Los Altos,2637896.6
2015,Los Altos Hills,3910139.2
2015,Los Angeles,516751.5
2015,Los Banos,226250.7
2015,Los Gatos,1437495.2
2015,Los Molinos,163967.8
2015,Los Olivos,863647.9
2015,Los Osos,454502.7
2015,Lost Hills,107943.1
2015,Lotus,395432.1
2015,Lower Lake,235677.3
2015,Loyalton,114953.6
2015,Lucerne,130281.8
2015,Lucerne Valley,99530.9
2015,Lynwood,315371.7
2015,Lytle Creek,157626.9
2015,Macdoel,70385.8
2015,Madera,189002.3
2015,Magalia,179406
2015,Malibu,1520909.5
2015,Mammoth Lakes,369248.3
2015,Manchester,425010.3
2015,Manhattan Beach,1675019.6
2015,Manteca,314373.1
2015,Manton,194533.4
2015,Maricopa,84563.2
2015,Marina,468680.5
2015,Mariposa,233701.3
2015,Markleeville,308725.3
2015,Martinez,477537
2015,Marysville,183695.4
2015,Mather,308027.7
2015,Maywood,309267.4
2015,Mc Farland,145315.7
2015,Mc Kittrick,109324.2
2015,McArthur,173957.5
2015,McCloud,154727.4
2015,McKinleyville,325844.8
2015,Meadow Vista,403492.9
2015,Mecca,119220.5
2015,Mendocino,680894.7
2015,Mendota,135977.4
2015,Menifee,286774.3
2015,Menlo Park,1917635.1
2015,Mentone,220702.1
2015,Merced,185058.4
2015,Meridian,225446.2
2015,Middletown,191968.4
2015,Milford,170934.1
2015,Mill Valley,1326667.5
2015,Millbrae,1273870.7
2015,Milpitas,765310.2
2015,Miramonte,165049.9
2015,Mission Viejo,604471.2
2015,Modesto,214108.6
2015,Mojave,75328.2
2015,Mokelumne Hill,186908.1
2015,Monrovia,583291.6
2015,Montague,131131.8
2015,Montara,844816.1
2015,Montclair,315806.8
2015,Monte Rio,394949
2015,Monte Sereno,2517834.8
2015,Montebello,432776.3
2015,Montecito,2700234.1
2015,Monterey,648828.3
2015,Monterey Park,526385.9
2015,Moorpark,578600.4
2015,Morada,405163.3
2015,Moreno Valley,255452.3
2015,Morgan Hill,749664.9
2015,Morongo Valley,117592.6
2015,Morro Bay,532077.5
2015,Moss Beach,877991.1
2015,Moss Landing,464339.4
2015,Mount Shasta,246277.4
2015,Mountain Center,286099.6
2015,Mountain Ranch,218818.4
2015,Mountain View,1252361.9
2015,Murphys,295345.7
2015,Murrieta,355590.6
2015,Muscoy,154587.1
2015,Napa,550673.3
2015,National City,327375.9
2015,Needles,77599.3
2015,Nevada City,368312.9
2015,Newark,645526.4
2015,Newberry Springs,106212.3
2015,Newcastle,499859.3
2015,Newman,203468.1
2015,Newport Beach,1664954.9
2015,Nicasio,1109403.3
2015,Nice,119146.8
2015,Nicolaus,308618.9
2015,Nipomo,502412.9
2015,Norco,446271.1
2015,North Fork,225161
2015,North San Juan,229282.5
2015,North Tustin,836717.7
2015,Norwalk,367547.6
2015,Novato,680436.8
2015,Nuevo,260523
2015,Oak Park,685476.2
2015,Oak View,486535.6
2015,Oakdale,307039.3
2015,Oakhurst,228503.6
2015,Oakland,519819.8
2015,Oakley,365513.6
2015,Occidental,657341.3
2015,Oceano,327434.2
2015,Oceanside,424683.5
2015,Oildale,127897.4
2015,Ojai,621364.2
2015,Olivehurst,196797.2
2015,Ontario,322692.5
2015,Onyx,132254
2015,Orange,570851.5
2015,Orange Cove,128290.9
2015,Orangevale,315351.6
2015,Oregon House,226451.7
2015,Orinda,1310243.4
2015,Orland,198352.7
2015,Orosi,131916.4
2015,Oroville,168725.2
2015,Oxnard,420008.1
2015,Pacific Grove,741709.4
2015,Pacifica,782881.3
2015,Pala,557491.1
2015,Palermo,132774.5
2015,Palm Desert,323092
2015,Palm Springs,316589
2015,Palmdale,225570.9
2015,Palo Alto,2565781.2
2015,Palomar Mountain,219975
2015,Palos Verdes Estates,1665871.6
2015,Paradise,417269.4
2015,Paramount,293820.2
2015,Parlier,137587.8
2015,Pasadena,652078.6
2015,Paso Robles,404750.3
2015,Patterson,260988.8
2015,Pauma Valley,461394.2
2015,Pearblossom,188771.4
2015,Penn Valley,319672.7
2015,Penngrove,769317.4
2015,Penryn,499309.3
2015,Perris,244848.7
2015,Pescadero,857759.6
2015,Petaluma,570953.3
2015,Phelan,197673.7
2015,Pico Rivera,361168.9
2015,Piedmont,1747957.1
2015,Pilot Hill,406333.1
2015,Pine Grove,256162.5
2015,Pine Mountain Club,191356.8
2015,Pinon Hills,196313.8
2015,Pioneer,191720.6
2015,Piru,278413.2
2015,Pismo Beach,697322.3
2015,Pittsburg,308583
2015,Pixley,110418.4
2015,Placentia,550286.2
2015,Placerville,330269.5
2015,Planada,98361
