Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% No own children under 18,% 1-2 own children under 18 ,% 3-4 own children under 18,% 5 or more own children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family,% Owner occupied,% Renter occupied
2015,Downey ,7.8,10,5.2,7.5,11.2,9.7,6.8,4.9,5.8,10.2,9.2,-,5.5,11.2,9.6,-,7.9,8,8.3,0,37.8,14.5,1.2,1,3.2,12.9
2015,East Los Angeles,17.2,23.2,11.9,18.4,18,16.1,14.3,21.2,10.2,15.2,36.8,89.7,11.6,17.4,33.6,88,16,14.8,16.6,49.2,48.6,25.5,7.2,2.9,8,21.7
2015,El Cajon ,19.1,25.6,10.9,8.3,27.9,19.1,19,13.8,9.8,23.8,33.4,24.8,9.1,25.8,34.9,24.8,15.9,17.1,29.2,20.9,49.8,24.7,5.3,0,3,28.9
2015,Elk Grove ,6.2,8.5,3.5,2.8,26.9,5.6,7.9,3,3.8,7.5,11.5,31.3,4.6,6.7,11.9,60.9,4.9,5.9,9.2,7.9,21.7,11.6,2.3,0.9,3.8,14.3
2015,El Monte ,19.3,28.6,14.6,18.2,21.7,22.7,17.1,10.8,10.7,19,52.8,47.9,12.3,16.4,69.5,78.6,12.3,17.5,35.4,8.8,46.8,25.7,5.6,2.9,6.9,27.4
2015,Escondido ,12.7,19.8,9.7,9.3,31.3,12.6,10.9,1.4,5.2,15.6,33.7,47.9,5.2,16.7,35.9,73.5,10,14.6,15.8,8,33.4,23.3,3.5,0,4.4,22.7
2015,Fairfield ,11.3,17.4,7.2,6.3,31.7,18.6,9.4,1.4,4.3,17.6,16.7,0,5.1,17.8,19.3,0,9.8,12.7,11.6,0,39.1,15.2,0.6,3.7,3.6,22.8
2015,Florence-Graham,25.5,31.2,18.8,18.7,28.8,29.3,17.6,0,14.6,27.8,38.4,47.7,12.8,35.2,39.9,0,35.6,23.3,26,14.4,68.7,44.7,10.1,2.7,13.3,33
2015,Folsom ,3.1,4.2,1.1,4.8,0,8.8,3,2.3,1.9,3.6,10.9,0,1.8,3.7,12.9,0,3.1,2.7,6.5,0,15,4.2,0.5,0,2.9,4
2015,Fontana ,14.2,19,10.8,9.1,26.8,11.3,11.8,2.7,4.5,14,26.3,66.4,6.6,14.4,26.7,82.4,9.3,11.7,17.2,29.9,38.2,27.1,5.6,4.2,7.2,26.2
2015,Fremont ,3.1,2.1,1.4,2.4,13.6,6.9,3.6,1.6,4.3,1.2,7.7,72.6,4,1.4,7.4,100,4.1,2.1,4.7,3.4,17,3.6,1,0,2.1,4.9
2015,Fresno ,23.4,34,18.4,8.8,47.8,25.3,17.9,4.5,7.8,26.5,44.5,80.8,10.7,27.4,45.6,80.8,14.4,25.7,31,40,54.8,30.9,10.5,2.2,8.3,37.6
2015,Fullerton ,7,10.9,6.2,1.1,11.8,14.6,7.7,2.7,3.3,5.9,28.8,22.9,3.8,5.4,38,15.2,5.7,4.7,17.8,4.3,16.1,10.6,3.7,1.9,1.9,14.6
2015,Garden Grove ,16.2,22.8,11,8.1,28.4,20,11.4,3,9.3,20.6,27.7,53.6,9.7,22.4,28.1,85.3,13.7,17.1,17.1,16.7,41.5,23.4,10.3,4.6,6.4,26
2015,Glendale ,9.1,11.3,5.9,3.7,8.4,18,11.6,4,7.8,11.9,6.4,0,7.3,13.6,2.9,0,6,12.4,6.4,0,22.7,13,4.1,1.6,4.4,11.9
2015,Hawthorne ,18.3,26.5,14.3,15.5,36.4,15.6,11.8,4.9,7.7,22.2,42.7,0,8.7,24.3,41,0,11.8,19,24.6,41.2,57.1,33.4,3.2,0,2.1,24.7
2015,Hayward ,7.5,10.7,5.6,4.3,14.7,13.4,3.6,1.5,4,9.8,10.1,58.2,4.2,10.2,15.5,32.3,7.3,7.2,8,9.6,20.2,12.5,2.9,1.2,2.8,12.6
2015,Hemet ,19.8,30.6,13.8,8.5,42.7,11.3,18.7,1.6,7.8,24.8,39.2,76.9,11.9,25,36.9,71.5,10.5,23.2,31.2,38.9,34.9,21.8,6,8.8,7.4,33.8
2015,Hesperia ,21.2,31.5,14.9,7.3,38.7,21.7,16.2,10.4,6.8,24.5,41.9,57.8,10.3,26.4,50.7,46.7,13.9,17.4,38.9,30.4,42,21.2,12,0,6.7,40.5
2015,Huntington Beach ,5.7,8.6,4.2,2.3,24.8,8.9,4.9,2.7,3.6,6.1,22.2,0,3.9,6.8,18.4,0,5,5.2,6.9,29.3,11.4,8.4,3.2,1.9,3,10.3
2015,Indio ,10.6,15.8,7.9,10.6,18,14.6,4.5,6.9,5.3,11.2,28.7,37.3,6.9,12.2,21.9,37.3,8.5,6.5,19.2,29.8,19.2,11.7,8.4,0,4.3,22.5
2015,Inglewood ,19.1,24.2,13.8,18.1,31.2,23.1,12.5,9.7,12.4,20.9,32.8,65,13.7,23.5,26.6,100,20.4,14.7,24.6,38.2,51.5,27.7,10.4,0,9.7,25
2015,Irvine ,8.5,10,4.1,6.7,23,14.9,8.6,7.5,6.9,10.5,6.5,0,8.2,8.9,7.7,0,6.7,9.1,13,6.4,37.7,9.1,1.1,1.7,2.7,14.9
2015,Jurupa Valley ,13.8,21,10.6,8.9,24,10.7,9,4.8,5.1,12.5,43.8,23.5,5.7,13.8,49.7,27.3,10,8.8,25.6,10.7,23.4,25.5,8.7,1.1,7.2,33.4
2015,Laguna Niguel ,5.4,6.8,3.8,3.6,0,7.9,11,2.5,4.5,1.9,43.6,-,4.6,1.5,43.6,-,4.8,2.7,17.3,0,8.7,9.4,3.8,0,3.3,12.5
2015,Lake Forest ,6.7,12.4,2.3,5.3,34.1,9.8,7,2.8,1.8,10.7,21.9,0,5,6.3,23.7,0,5.8,8.1,5.2,0,41.2,6,1.2,0,0,22.4
2015,Lakewood ,4.5,6.8,2.1,2,20.1,6.1,3.5,1.3,2.3,6.4,6.8,49.4,3.7,4.9,10.2,0,5.3,3.1,7.4,0,15.5,6.2,1.7,1.2,2.1,11
2015,Lancaster ,20.2,27.3,6.5,8.2,26.9,27,19.2,7.7,10.8,25.9,30.3,53.8,12.4,26.7,31.6,28.8,19.1,21.6,18.9,20.2,65.3,11.4,3.8,0,7.2,39
2015,Livermore ,3.3,6.3,1.6,0,0,3.6,5.1,2.1,N,N,N,N,0.4,5.5,12.3,0,0.5,4.2,7.4,12.5,7.7,9.3,0,0,0.7,11.1
2015,Long Beach ,13.5,20.5,8.7,5.9,24.8,16.7,13.6,3.2,5.5,14,42.2,62.2,6.9,14.9,44.9,75.5,9.1,11.8,26.6,27,40.8,18.6,4.4,1,5.1,20.4
2015,Los Angeles ,15.8,24.1,11.6,8.2,31.4,20,12,3.9,7.3,20.2,38,48.7,8.6,21.3,39.6,58.4,11.5,16.4,23.5,23.5,39.4,24.1,6.2,3.3,5.2,24.1
2015,Lynwood ,19.5,27.7,13.3,11.9,21.5,17.8,17.8,16.8,4.4,23.6,38,44.5,7.9,26.5,33.6,71.4,14.6,24.5,16.6,10.3,69.1,36.2,8.6,0,2.7,32.5
2015,Manteca ,12,18.3,10.1,7.4,25,10.6,11.2,5.3,4.6,15.5,23.2,29.6,5.7,15.1,23.5,73.6,8.6,10.7,17.8,22.1,31.2,12.4,8.4,0,4.7,20.6
2015,Menifee ,11.1,13.4,6.7,13.8,21.5,12.6,9.5,7.6,8.8,13.4,11.5,100,8.5,13.9,11.7,100,9,11.6,16.7,0,25,11.6,5.7,0,5.7,28.6
2015,Merced ,29.9,40.4,18.2,8.9,51.1,20.3,29,17.7,11.6,32.1,54.2,67.1,16.3,33.8,50.4,84.2,24.9,26,42.2,51.5,59.5,34.7,6.3,5.8,11.4,43.3
2015,Milpitas ,4.5,4.2,1.1,9.1,2.7,5.6,8.1,2.4,4.9,3.5,11,0,4.4,3.8,11.8,-,8.1,2.6,4.7,0,25.5,4.7,0.4,0.8,3.3,6.8
2015,Mission Viejo ,2.8,4.5,1.5,0.7,7.7,5.3,4.2,1,1.7,2.9,10.7,-,1.6,3.2,11,-,1.6,4.9,0,0,9,3.4,1.3,0,2,5.9
2015,Modesto ,16.5,26.1,9.8,7.8,31,18.1,14.1,5,5.2,20.1,39.4,73.5,7,21.4,39.3,65.7,9.6,16.6,26.3,38.1,35.6,18.8,8,8.6,4.1,35
2015,Moreno Valley ,13.4,18.2,10,8,21.5,16.7,8.3,5.2,5.8,17.7,18.7,40.4,6.9,19.2,20,100,12.6,14.7,13.6,6.8,40.6,18.9,6.4,0.8,5.3,29.3
