Year,City,% All Families
2017,Sunnyvale ,3.9
2017,Temecula ,6.1
2017,Thousand Oaks ,3.6
2017,Torrance ,6.6
2017,Tracy ,7.4
2017,Turlock ,14.5
2017,Tustin ,8.6
2017,Union City ,1.4
2017,Upland ,5.9
2017,Vacaville ,5.4
2017,Vallejo ,8.6
2017,Victorville ,16.8
2017,Visalia ,13.6
2017,Vista ,6.3
2017,Walnut Creek ,3.4
2017,West Covina ,4.6
2017,Westminster ,12.7
2017,Whittier ,9.6
2017,Yorba Linda ,0.9
2017,Yuba City ,12.6
2018,Alameda ,6.3
2018,Alhambra ,9
2018,Anaheim ,10.2
2018,Antioch ,12.1
2018,Apple Valley town,13.4
2018,Arden-Arcade  ,16.9
2018,Bakersfield ,15.5
2018,Baldwin Park ,11.4
2018,Bellflower ,8.4
2018,Berkeley ,5.8
2018,Buena Park ,7
2018,Burbank ,5.4
2018,Camarillo ,3
2018,Carlsbad ,6.7
2018,Carmichael  ,11.4
2018,Carson ,9.7
2018,Castro Valley  ,2.8
2018,Chico ,14.2
2018,Chino ,4.7
2018,Chino Hills ,4.1
2018,Chula Vista ,6.1
2018,Citrus Heights ,8.7
2018,Clovis ,6.8
2018,Compton ,22.9
2018,Concord ,6
2018,Corona ,7.5
2018,Costa Mesa ,7.7
2018,Daly City ,7.2
2018,Davis ,6.4
2018,Downey ,6.1
2018,East Los Angeles  ,15.9
2018,El Cajon ,15.5
2018,Elk Grove ,7.1
2018,El Monte ,12.3
2018,Escondido ,10.7
2018,Fairfield ,4.6
2018,Florence-Graham  ,22.3
2018,Folsom ,4.7
2018,Fontana ,9.2
2018,Fremont ,3
2018,Fresno ,19.8
2018,Fullerton ,6.9
2018,Garden Grove ,11.6
2018,Glendale ,10.4
2018,Hawthorne ,7.8
2018,Hayward ,4.9
2018,Hemet ,15.4
2018,Hesperia ,17.2
2018,Huntington Beach ,5.8
2018,Indio ,5.9
2018,Inglewood ,12.3
2018,Irvine ,7
2018,Jurupa Valley ,8.1
2018,Laguna Niguel ,4.2
2018,Lake Elsinore ,8.3
2018,Lake Forest ,3.7
2018,Lakewood ,3.7
2018,Lancaster ,20
2018,Livermore ,2.4
2018,Lodi ,14.1
2018,Long Beach ,10.8
2018,Los Angeles ,12.2
2018,Lynwood ,15.5
2018,Madera ,25.8
2018,Manteca ,7.5
2018,Menifee ,7.1
2018,Merced ,20.6
2018,Milpitas ,5.7
2018,Mission Viejo ,2.7
2018,Modesto ,12
2018,Moreno Valley ,13.4
2018,Mountain View ,3.9
2018,Murrieta ,4.3
2018,Napa ,6.6
2018,Newport Beach ,7.3
2018,Norwalk ,6.3
2018,Oakland ,10
