RegionName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
Barstow,93908.2651,93881.79256,93410.97398,93435.10506,94216.54236,95432.63081,96564.73341,97312.11101,98116.11128,98687.4874,98976.59149,98759.15391,98715.38372,99175.44223,100225.063,102183.2621,104747.9815,107195.0549,108485.0099,109477.9142,109567.7118,109080.9562,107627.9549,106575.0843,106996.9138,108713.8148,111315.6619,113884.1044,116367.7913,118960.8168,121355.921,123599.8105,126383.5758,130029.0951,133915.4577,137665.9393,140176.5473,141743.5515,142263.2813,142298.0552,142535.7013,142763.7542,143496.0699,144892.4591,146799.681,149133.768,151182.2415,153029.9075,153929.633,154430.3546,154156.0402,153167.3971,151793.7775,150103.126,149007.3744,148197.1509,148506.7547,150046.5511,152531.2583,155251.5888
Temple City,703227.4392,705296.2968,704546.3602,704706.1623,704766.0087,706077.1951,701809.1856,693220.9443,679794.5585,668523.7338,659718.4591,653126.9346,657446.52,670912.467,689548.9356,702838.2026,709389.9578,713233.7502,707581.8675,697786.4453,686302.4207,681503.1609,681501.854,684782.0125,696596.4235,713716.4508,731894.4405,744460.479,751043.6692,756107.7887,753489.5154,749612.1076,744395.1929,746182.7271,748303.9099,752814.658,761574.9118,774748.9712,788228.6668,798040.4107,804782.4769,809279.6992,812982.5507,820276.1587,830303.5788,840889.3696,847120.3502,848756.4961,842788.0744,831674.7826,817592.7482,807890.6388,801767.7526,798868.3723,797980.2909,800987.7467,807520.4638,816125.5046,824135.299,830985.9966
Los Altos,2506490.859,2547678.884,2573581.002,2585489.108,2598058.868,2613608.485,2633510.437,2654217.534,2687010.502,2724769.065,2754848.842,2775495.45,2798974.584,2824764.758,2830019.753,2813505.624,2780018.339,2743229.815,2685299.679,2616954.476,2553459.96,2513527.375,2495396.938,2491856.217,2515008.235,2568834.257,2637791.643,2694437.478,2727267.228,2752624.184,2752481.627,2732531.712,2698544.064,2686611.495,2682189.836,2695280.527,2748281.815,2854472.455,2982065.658,3104953.131,3201727.907,3270400.036,3309691.723,3347847.841,3387573.616,3431994.119,3462740.15,3480105.49,3458273.182,3398440.783,3319463.927,3251505.925,3202462.084,3171901.023,3161752.303,3172732.736,3193169.093,3213661.745,3220759.968,3220527.129
Banning,184211.9258,185401.6031,186555.2608,188032.343,190126.766,192354.4305,194699.3988,197266.6191,199817.8372,202209.3679,203698.1234,204668.3314,205866.1417,207202.967,208567.2241,210190.1099,211857.1628,213945.7155,214817.3443,215116.4134,213904.0921,212444.8622,210266.4994,208242.9394,208168.4938,211050.9531,216263.4516,221314.4884,225260.0397,228532.4605,231189.9513,234366.3263,237981.3311,242122.4382,245591.7645,248517.9341,251151.3827,253240.3393,254734.0666,255622.6289,256673.263,257857.7142,259476.5461,261089.4964,262795.0831,264848.4987,266752.1337,268629.2721,269784.0167,270960.7395,271440.163,271382.6646,270728.5613,270277.4348,270139.995,270304.087,270669.8141,271179.6306,272206.2244,273383.4527
Manhattan Beach,1703561.446,1709007.67,1707558.46,1704549.99,1709114.754,1721051.088,1714138.912,1689505.968,1649698.652,1620488.11,1596410.891,1575149.772,1579482.284,1615807.717,1670258.628,1717605.723,1748483.358,1775876.23,1767747.153,1738104.572,1697519.334,1684753.324,1686581.3,1694800.877,1722797.425,1771292.623,1829415.088,1876270.446,1904537.199,1933071.961,1926851.959,1913080.222,1890572.597,1895692.953,1905104.267,1916428.094,1949362.692,2003025.922,2064831.314,2118022.63,2158461.269,2182946.768,2198555.24,2229687.021,2280996.213,2338926.213,2376081.867,2391312.173,2375802.656,2339281.232,2291525.184,2253973.019,2229748.932,2217080.921,2218591.726,2236663.324,2263971.438,2291649.134,2306914.472,2321299.198
Oakdale,295761.2983,298618.3239,301481.9703,303708.1859,305323.4554,306215.4128,307350.3712,308984.1468,310920.3413,312883.7453,315252.021,317972.5378,321278.3818,323938.6619,325945.1857,327273.9367,327973.7966,328601.7405,329337.5807,330309.7472,331685.0091,333236.4195,335849.3034,338900.3084,342210.8813,345057.7547,347543.8439,349552.0954,350587.1712,351385.4556,352201.795,353325.6938,354672.1772,356637.8758,359228.8749,362442.0245,365528.1594,368592.8658,371069.7542,373178.6116,375344.181,377362.1175,379345.4052,380995.3624,382577.9861,384049.5602,385069.7014,386092.6951,387067.9032,388481.818,390029.8324,391291.0392,392275.536,392883.4065,393594.0812,394445.3059,395474.1226,396860.803,398643.3669,400558.6918
Galt,274072.6479,276357.7252,278652.4931,281187.6726,283811.8558,286281.5492,288086.3943,289641.8243,291986.0961,294632.7875,297371.8812,299615.2371,302482.7151,305447.8966,308176.7409,310405.1824,312306.4455,314386.5774,316443.9582,318623.8982,321109.8586,323748.3418,327074.4252,330053.1792,332973.6566,335531.7012,338316.5414,341194.8738,343595.8992,345540.5819,347384.149,349556.9586,352279.76,355553.206,358905.4475,362632.346,366400.8265,369935.1586,372707.0174,374704.7745,376897.6175,379222.3197,381295.5038,382446.056,382939.1852,383404.4584,384080.3163,384756.7115,385691.3058,386922.7171,388667.6273,389577.1681,390378.1569,390998.3486,392158.9956,393061.2984,394086.4809,395551.7683,397867.7167,400157.3189
Bell,313195.4729,314785.3216,314708.4113,315767.1372,317140.8513,319224.1577,320688.2182,321264.8703,320992.5422,319698.4543,317184.1481,314689.8927,315801.9458,321820.7713,329828.4045,336449.0429,340883.5561,344945.358,345413.0909,343268.5931,338904.2489,335852.262,334433.9537,335014.4513,341121.6156,351617.7652,364032.3968,373808.9128,380027.1867,384086.2195,383716.671,381458.6303,378295.949,378247.9674,379988.3611,382967.098,387059.2902,392401.5517,398645.6823,404974.5928,410641.5864,414963.138,419971.8944,426643.2089,435024.4297,442267.7966,447550.206,450549.3566,449922.0007,446171.483,441042.0904,437596.3339,435941.0828,435274.7474,437153.2931,441060.5965,447776.8211,455024.451,462321.2325,468281.8745
Foster City,1089064.634,1108097.68,1127747.122,1143810.925,1160689.385,1178315.759,1196503.522,1213541.508,1231786.488,1249529.204,1265400.207,1277298.223,1292624.181,1310306.275,1324057.818,1327484.233,1320472.621,1311853.663,1302719.961,1297258.559,1291122.6,1287652.595,1287008.303,1295780.008,1308434.885,1322917.978,1331507.706,1338830.258,1344129.985,1352794.876,1361136.397,1369286.265,1382794.099,1401738.363,1423278.813,1446188.808,1472359.333,1502182.271,1528854.389,1552857.36,1574304.041,1587549.566,1588069.167,1583477.241,1580496.372,1582507.913,1581200.207,1573006.349,1558368.56,1535671.794,1512622.149,1497127.185,1488132.076,1484227.572,1481686.325,1487885.965,1497261.073,1501154.618,1502597.04,1499369.141
San Dimas,508705.9501,510712.5701,511547.2163,513038.1641,513621.765,515112.2515,514949.8004,513475.849,509513.8555,505686.5272,501293.902,496964.5907,499094.9509,508368.4678,521833.1803,531666.7806,537436.7655,541853.4958,540848.4414,535735.2414,528000.5586,523992.142,524248.6511,527199.7544,536056.3732,547903.9297,560270.9105,567815.378,571635.9342,574459.7483,574187.2595,573118.7945,571131.1647,572420.2034,574245.3779,578127.5191,584748.9838,593389.3963,601790.1798,608775.2254,614366.7496,617762.1335,620518.2443,625599.3617,633320.1133,640901.8758,645485.4897,647018.0021,643439.6375,636278.4439,628512.5615,623753.0748,621255.6547,619787.7434,620591.0016,624563.507,630369.3133,635891.2878,640999.1699,645798.4696
