"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0600562","Alameda city, California","30582","1547","13736","1281","10087","1364","3417","693","232","230","0","197","0","197","16846","1457","10114","1480","6145","1040","360","406","154","124","73","123",
"1600000US0600884","Alhambra city, California","29217","1574","11761","1285","6505","1171","4238","908","508","284","366","316","144","199","17456","1454","7451","1212","7608","1117","1682","558","621","355","94","155",
"1600000US0602000","Anaheim city, California","98156","3276","44315","2706","26794","2436","14374","1657","2192","637","506","271","449","347","53841","2657","15474","1982","24623","2268","8621","1460","4334","1036","789","437",
"1600000US0602252","Antioch city, California","33563","1593","20789","1915","14854","2035","5694","1138","187","197","54","93","0","197","12774","1400","5749","1075","5766","1160","805","490","308","398","146","231",
"1600000US0602364","Apple Valley town, California","22603","1452","13651","1223","10322","1416","2935","719","394","329","0","197","0","197","8952","1379","4280","1219","3381","999","929","567","362","328","0","197",
"1600000US0602553","Arden-Arcade CDP, California","39940","2428","17633","1543","14242","1276","3313","854","78","127","0","197","0","197","22307","2290","14631","2010","6107","1323","1102","561","467","302","0","197",
"1600000US0603526","Bakersfield city, California","111053","2739","63168","2655","37569","2820","23338","2104","2175","952","86","110","0","197","47885","2905","21811","2202","20661","2270","3679","1158","1582","789","152","153",
"1600000US0603666","Baldwin Park city, California","17397","943","10013","953","3560","777","5040","609","804","275","609","315","0","197","7384","1026","1483","586","3574","881","1922","574","405","221","0","197",
"1600000US0604982","Bellflower city, California","23680","1290","8185","952","4292","791","3026","578","729","313","100","97","38","64","15495","1252","6269","1263","5712","862","2659","650","532","417","323","294",
"1600000US0606000","Berkeley city, California","45674","1831","19348","1317","15856","1387","3111","576","293","265","88","102","0","197","26326","1680","15782","1537","9515","1106","431","253","565","465","33","56",
"1600000US0608786","Buena Park city, California","23548","1271","13894","1441","8554","1307","4683","854","580","395","77","91","0","197","9654","1219","3607","1144","3868","906","1708","755","471","333","0","197",
"1600000US0608954","Burbank city, California","40484","1434","17498","1437","12479","1501","4554","897","368","298","97","115","0","197","22986","1662","11804","1487","9482","1366","1590","630","110","85","0","197",
"1600000US0610046","Camarillo city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611194","Carlsbad city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611530","Carson city, California","24646","1295","18381","1409","9200","1249","7273","892","1224","505","594","427","90","87","6265","1074","1994","692","3168","771","752","390","240","174","111","184",
"1600000US0613014","Chico city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0613210","Chino city, California","22287","1578","14838","1314","9669","1351","4751","701","369","200","49","82","0","197","7449","1227","3653","1018","2939","676","382","302","315","357","160","209",
"1600000US0613214","Chino Hills city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0613392","Chula Vista city, California","75942","2830","45161","2783","26696","2777","16600","2251","951","549","669","280","245","182","30781","2655","12467","2018","14537","1801","2463","798","1142","593","172","206",
"1600000US0613588","Citrus Heights city, California","33628","1464","18198","1486","14581","1533","3462","716","46","77","109","134","0","197","15430","1329","8220","1383","5796","1011","896","470","412","307","106","174",
"1600000US0614218","Clovis city, California","33177","1503","19125","1555","13134","1438","5652","912","291","209","0","197","48","78","14052","1335","6995","1258","6048","1131","827","488","182","235","0","197",
"1600000US0615044","Compton city, California","22834","1046","12881","1035","5241","895","5259","826","1783","416","494","308","104","103","9953","1052","3226","851","3680","760","1786","575","899","392","362","219",
"1600000US0616000","Concord city, California","44634","2116","25235","2195","18561","2233","6181","1110","357","412","36","59","100","126","19399","1939","9653","1691","7507","1352","1885","817","322","247","32","54",
"1600000US0616350","Corona city, California","44677","2004","29587","1889","17124","2118","11608","1195","500","291","160","157","195","236","15090","1511","6108","1255","6611","1215","2158","558","115","110","98","115",
"1600000US0616532","Costa Mesa city, California","41997","1676","15542","1475","10628","1193","4605","842","126","140","134","221","49","81","26455","1873","13704","1685","10354","1460","1494","626","773","463","130","211",
"1600000US0617918","Daly City city, California","29976","1601","16209","1363","8368","1210","6611","1040","947","337","159","157","124","119","13767","1379","3942","1155","7151","1255","1349","674","1162","506","163","178",
"1600000US0618100","Davis city, California","24361","1418","10376","1080","7919","1069","2257","611","135","211","65","105","0","197","13985","1223","7586","1095","5931","949","335","225","133","170","0","197",
"1600000US0619766","Downey city, California","33310","1665","16281","1799","9687","1458","5797","961","758","335","39","65","0","197","17029","1871","5833","1339","8934","1482","1709","631","511","340","42","69",
"1600000US0620802","East Los Angeles CDP, California","30707","1553","9607","1113","4251","850","3749","738","1388","468","79","93","140","126","21100","1582","5033","948","9412","1125","4480","858","1433","513","742","413",
"1600000US0621712","El Cajon city, California","33891","2037","12557","1437","8260","1227","3906","895","306","263","34","55","51","85","21334","1756","9474","1910","9458","1452","1694","578","592","371","116","96",
"1600000US0622020","Elk Grove city, California","47747","2555","33880","2305","22750","2578","10520","1469","396","350","173","171","41","67","13867","1847","6851","1587","5312","1067","1371","611","333","352","0","197",
"1600000US0622230","El Monte city, California","29423","1264","11951","1323","4832","838","5770","960","969","378","285","198","95","123","17472","1471","4885","1071","7712","1111","3123","753","1133","473","619","333",
"1600000US0622804","Escondido city, California","44909","2009","21119","1724","14827","1564","5519","1049","498","291","230","211","45","75","23790","1804","11489","1618","6940","1238","2693","805","2353","768","315","297",
"1600000US0623182","Fairfield city, California","34238","1314","19694","1542","14539","1500","4840","981","280","263","35","56","0","197","14544","1459","6837","1193","6405","1086","697","293","568","380","37","63",
"1600000US0624477","Florence-Graham CDP, California","13733","1232","4564","836","1192","415","2261","653","690","273","209","154","212","186","9169","1042","1446","463","4455","847","1765","533","873","469","630","352",
"1600000US0624638","Folsom city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0624680","Fontana city, California","48641","1732","32298","2084","15034","1800","14950","1744","1665","576","319","203","330","239","16343","1850","4704","1132","7602","1641","2514","681","1318","679","205","220",
"1600000US0626000","Fremont city, California","69398","2158","43989","2369","26093","2230","16757","1456","1098","454","41","67","0","197","25409","1994","8996","1528","13474","1777","2490","791","426","336","23","38",
"1600000US0627000","Fresno city, California","162149","3174","74075","3028","50629","2804","19682","1925","3146","973","502","284","116","140","88074","3352","38938","2929","37921","3163","8073","1602","2564","878","578","392",
"1600000US0628000","Fullerton city, California","44685","1732","24152","1633","16124","1632","7254","1105","581","320","123","125","70","85","20533","1639","7345","1357","9021","1311","2378","732","1476","543","313","369",
"1600000US0629000","Garden Grove city, California","48514","1768","25686","1840","13603","1687","9910","1271","1573","449","440","319","160","138","22828","1725","6756","1126","11522","1585","2921","815","1282","519","347","206",
"1600000US0630000","Glendale city, California","68952","2159","25820","1900","15822","1460","9502","1615","356","229","140","140","0","197","43132","2466","16240","1930","22896","1851","2779","724","1176","532","41","68",
"1600000US0632548","Hawthorne city, California","28649","1714","7138","1014","3891","784","2247","607","848","409","95","116","57","94","21511","1686","7938","1341","9015","1357","2875","760","1339","607","344","283",
"1600000US0633000","Hayward city, California","45451","1709","23844","1842","15180","1573","6997","1072","1161","388","506","276","0","197","21607","1714","7802","1216","10590","1328","2373","644","562","319","280","247",
"1600000US0633182","Hemet city, California","28354","1592","15256","1647","11100","1629","3478","776","548","320","40","66","90","117","13098","1207","6871","1382","5554","1299","497","258","153","154","23","39",
"1600000US0633434","Hesperia city, California","27082","1587","15378","1701","9703","1642","5271","889","319","230","0","197","85","104","11704","1286","4662","1125","5562","1146","881","503","272","273","327","336",
