"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0618100","Davis city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0619766","Downey city, California","34108","1914","16882","1365","9790","1474","5988","1073","921","447","183","218","0","294","17226","1896","5594","1365","8715","1450","2440","982","409","391","68","112",
"1600000US0620802","East Los Angeles CDP, California","31027","2055","11267","1514","3782","927","4870","1090","2155","637","460","369","0","294","19760","1784","4915","992","7891","1456","3856","817","2173","754","925","470",
"1600000US0621712","El Cajon city, California","29599","1682","10643","1320","6838","1161","2825","585","699","469","227","229","54","91","18956","1417","6970","1313","8804","1180","2121","746","928","371","133","128",
"1600000US0622020","Elk Grove city, California","49300","2302","36558","2283","24715","2533","11273","1658","515","423","0","294","55","91","12742","1857","6667","1652","5179","1282","470","401","426","407","0","294",
"1600000US0622230","El Monte city, California","27780","1756","10676","1464","4508","1034","4419","912","1292","527","402","321","55","93","17104","1828","4671","1155","7870","1393","3480","896","894","446","189","186",
"1600000US0622804","Escondido city, California","43385","3795","21011","2346","14858","2150","5513","1153","439","235","159","150","42","67","22374","2309","12134","1804","7610","1357","2127","635","373","264","130","125",
"1600000US0623182","Fairfield city, California","34404","1554","20600","1876","14498","1968","5635","1048","315","355","97","115","55","91","13804","1524","5900","1269","6072","1255","1654","899","178","237","0","294",
"1600000US0624638","Folsom city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0624680","Fontana city, California","49290","2205","33889","2267","16469","2107","15018","1639","1807","675","314","264","281","188","15401","1857","5478","1283","7356","1405","1568","647","946","524","53","89",
"1600000US0626000","Fremont city, California","71078","2099","46153","2515","29584","2379","15839","1766","494","318","173","162","63","104","24925","2319","9333","1597","13523","2319","1698","631","326","362","45","73",
