"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0600562","Alameda city, California","30335","1437","15388","1494","11434","1402","3874","741","80","96","0","208","0","208","14947","1581","9347","1507","4505","1148","929","653","66","109","100","158",
"1600000US0600884","Alhambra city, California","28816","1724","11493","1246","7324","1253","3417","787","320","218","296","271","136","156","17323","1675","6365","1425","8517","1265","1668","576","547","344","226","256",
"1600000US0602000","Anaheim city, California","98586","3089","45616","2873","27408","2498","14233","1699","3123","922","725","365","127","124","52970","2846","18264","1908","20834","2432","7841","1437","4711","1217","1320","550",
"1600000US0602252","Antioch city, California","32200","1853","19339","2182","13533","2133","5335","1290","169","195","252","289","50","87","12861","1977","6565","1580","5077","1328","847","515","372","428","0","208",
"1600000US0602364","Apple Valley town, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0602553","Arden-Arcade CDP, California","40255","2699","18123","1590","15105","1641","2437","705","423","405","158","262","0","208","22132","2645","13624","2080","6499","1271","1449","702","271","251","289","357",
"1600000US0603526","Bakersfield city, California","108123","3091","60218","3194","37325","2544","19854","2373","2161","809","629","542","249","227","47905","2878","20979","2560","22149","2134","3340","959","1032","629","405","472",
"1600000US0603666","Baldwin Park city, California","16680","962","9832","1049","2849","771","5068","789","1595","529","213","199","107","100","6848","824","1333","429","3210","752","1516","491","732","450","57","93",
"1600000US0604982","Bellflower city, California","22358","1098","7949","932","4052","715","2719","610","918","405","219","156","41","67","14409","1292","3505","818","7088","1202","1322","581","851","531","1643","726",
"1600000US0606000","Berkeley city, California","45338","2099","20746","1422","16597","1618","3769","719","155","174","225","263","0","208","24592","2189","14959","1937","9100","1429","393","248","140","151","0","208",
"1600000US0608786","Buena Park city, California","22487","1183","13528","1382","7718","1208","5060","919","750","348","0","208","0","208","8959","1192","2721","874","4208","1012","1203","620","683","461","144","239",
"1600000US0608954","Burbank city, California","39445","2019","15769","1574","9690","1550","5657","1062","387","355","35","57","0","208","23676","2020","13094","2076","9368","1546","1047","511","167","164","0","208",
