"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0600562","Alameda city, California","29846","1460","13328","1351","10683","1378","2449","691","0","203","196","317","0","203","16518","1536","8821","1546","6884","1080","377","208","287","205","149","173",
"1600000US0600884","Alhambra city, California","30595","1545","12040","1447","7182","1148","4068","855","567","329","175","173","48","81","18555","1504","7637","1550","7893","1069","2300","860","619","364","106","175",
"1600000US0602000","Anaheim city, California","99302","2804","46912","2647","28289","2636","15623","1683","2542","780","195","194","263","219","52390","2342","19171","1856","21451","2069","8164","1159","2875","816","729","443",
"1600000US0602252","Antioch city, California","34223","1705","20086","2012","14769","1735","4777","1111","408","453","132","125","0","203","14137","1381","5493","1319","7492","1406","1152","606","0","203","0","203",
"1600000US0602364","Apple Valley town, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0602553","Arden-Arcade CDP, California","40190","2027","17034","1428","14634","1562","2278","703","122","146","0","203","0","203","23156","1976","13262","2056","8582","1642","829","549","280","313","203","231",
"1600000US0603526","Bakersfield city, California","111136","2975","57750","3529","35569","3114","20106","2258","1447","568","415","291","213","179","53386","3519","23835","3121","24712","3066","3989","1406","570","393","280","234",
"1600000US0603666","Baldwin Park city, California","17758","907","10679","1091","3135","762","5568","851","1308","495","526","314","142","117","7079","1189","1429","612","3562","948","1576","509","454","329","58","94",
"1600000US0604982","Bellflower city, California","22988","1382","10637","1274","5127","1116","4778","945","517","240","126","121","89","74","12351","1518","4578","1098","6006","1071","1226","511","541","417","0","203",
"1600000US0606000","Berkeley city, California","46030","1764","18913","1565","15011","1497","3700","759","21","34","181","287","0","203","27117","1662","15348","1597","10656","1376","664","363","319","269","130","151",
"1600000US0608786","Buena Park city, California","23151","1293","11923","1264","7212","1247","4151","945","475","337","85","100","0","203","11228","1376","3751","1078","5566","1138","1587","655","147","141","177","150",
"1600000US0608954","Burbank city, California","42757","2142","16505","1999","11881","1805","4229","889","317","313","42","71","36","60","26252","2087","15571","2118","9344","1553","1016","454","321","323","0","203",
"1600000US0610046","Camarillo city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611194","Carlsbad city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611390","Carmichael CDP, California","26047","1654","13365","1217","11373","1173","1992","622","0","203","0","203","0","203","12682","1767","6655","1410","5079","1183","849","617","99","116","0","203",
"1600000US0611530","Carson city, California","25239","1656","19075","1745","10166","1810","7672","1040","868","373","196","160","173","222","6164","1166","1525","654","3422","982","842","473","375","252","0","203",
"1600000US0613014","Chico city, California","35302","1751","15363","1474","11990","1483","3151","774","40","52","154","198","28","48","19939","1699","12527","1674","6853","1300","313","205","246","254","0","203",
"1600000US0613210","Chino city, California","19107","1173","13955","1170","8147","1118","5173","770","635","346","0","203","0","203","5152","899","2345","705","2280","641","488","289","0","203","39","65",
"1600000US0613214","Chino Hills city, California","23398","1185","17666","1160","11705","1569","5699","973","216","198","46","77","0","203","5732","1051","3024","1008","2345","731","315","210","48","80","0","203",
"1600000US0613392","Chula Vista city, California","76687","2799","44919","2738","26298","2783","15601","2070","2464","1174","384","251","172","198","31768","2795","11077","2002","14990","2119","4127","1169","1212","582","362","415",
"1600000US0613588","Citrus Heights city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0614218","Clovis city, California","32778","1435","19740","1475","13411","1507","5648","984","483","227","77","122","121","148","13038","1455","5953","1108","6096","1246","723","580","115","187","151","161",
"1600000US0615044","Compton city, California","22811","1528","12031","1135","4431","994","4943","858","1702","577","536","297","419","250","10780","1341","3510","965","4298","783","2170","568","714","336","88","103",
"1600000US0616000","Concord city, California","45531","1721","27781","2141","20672","2098","6939","1341","87","105","0","203","83","99","17750","1718","7404","1214","7688","1533","2158","1020","459","359","41","67",
