Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2011,Alameda,74770,3388,4.5,4145,5.5,4173,5.6,3942,5.3,5373,7.2,11787,15.8,9596,12.8,12046,16.1,6383,8.5,4813,6.4,5025,6.7,2826,3.8,1273,1.7
2011,Alhambra,83703,3172,3.8,4476,5.3,5385,6.4,3592,4.3,4989,6.0,14771,17.6,10118,12.1,12933,15.5,7023,8.4,5551,6.6,5665,6.8,3643,4.4,2385,2.8
2011,Anaheim,341348,26359,7.7,25719,7.5,24070,7.1,24673,7.2,26690,7.8,58115,17.0,44458,13.0,44020,12.9,17289,5.1,15941,4.7,17127,5.0,10953,3.2,5934,1.7
2011,Antioch,104027,5942,5.7,5711,5.5,8325,8.0,9813,9.4,9270,8.9,12813,12.3,12015,11.5,17193,16.5,8422,8.1,5834,5.6,5359,5.2,2759,2.7,571,0.5
2011,Apple Valley,70173,3745,5.3,4330,6.2,6233,8.9,7022,10.0,4159,5.9,7623,10.9,7437,10.6,9427,13.4,4343,6.2,6229,8.9,5032,7.2,3585,5.1,1008,1.4
2011,Arden-Arcade,91977,6614,7.2,4890,5.3,5102,5.5,5213,5.7,6102,6.6,12558,13.7,10182,11.1,14455,15.7,7816,8.5,4979,5.4,5889,6.4,5006,5.4,3171,3.4
2011,Bakersfield,352429,31270,8.9,29706,8.4,29273,8.3,31135,8.8,29044,8.2,51934,14.7,43497,12.3,46058,13.1,18351,5.2,13476,3.8,14451,4.1,10213,2.9,4021,1.1
2011,Baldwin Park,75937,5183,6.8,4682,6.2,6467,8.5,8006,10.5,7317,9.6,11053,14.6,10872,14.3,9746,12.8,3360,4.4,2979,3.9,3337,4.4,1960,2.6,975,1.3
2011,Bellflower,77179,6654,8.6,6125,7.9,6987,9.1,7391,9.6,6537,8.5,11838,15.3,9587,12.4,9447,12.2,3687,4.8,3604,4.7,2599,3.4,1978,2.6,745,1.0
2011,Berkeley,113893,4099,3.6,3816,3.4,3180,2.8,11677,10.3,18315,16.1,17503,15.4,14350,12.6,12616,11.1,5806,5.1,6695,5.9,9363,8.2,3857,3.4,2616,2.3
2011,Buena Park,81754,4298,5.3,6432,7.9,5266,6.4,5919,7.2,6908,8.4,10202,12.5,12619,15.4,11355,13.9,4977,6.1,3673,4.5,6173,7.6,2903,3.6,1029,1.3
