Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2012,Alameda,75632,4445,5.9,5282,7.0,3736,4.9,3626,4.8,4367,5.8,10939,14.5,12886,17.0,11450,15.1,4327,5.7,4621,6.1,5875,7.8,3046,4.0,1032,1.4
2012,Alhambra,84322,5097,6.0,4148,4.9,3253,3.9,4877,5.8,6956,8.2,12585,14.9,11373,13.5,14633,17.4,6598,7.8,4510,5.3,4490,5.3,3868,4.6,1934,2.3
2012,Anaheim,343241,27800,8.1,25063,7.3,25706,7.5,23625,6.9,26161,7.6,52244,15.2,51888,15.1,43640,12.7,18439,5.4,14529,4.2,18654,5.4,10446,3.0,5046,1.5
2012,Antioch,105495,5897,5.6,8423,8.0,8110,7.7,9264,8.8,7455,7.1,12591,11.9,12761,12.1,14761,14.0,9093,8.6,7755,7.4,6253,5.9,1842,1.7,1290,1.2
2012,Apple Valley,70682,5504,7.8,5086,7.2,4750,6.7,5744,8.1,5896,8.3,8305,11.7,7077,10.0,9244,13.1,3562,5.0,3686,5.2,7179,10.2,3023,4.3,1626,2.3
2012,Arden-Arcade,88995,6538,7.3,4597,5.2,5572,6.3,3597,4.0,6796,7.6,13802,15.5,10481,11.8,11233,12.6,5787,6.5,5729,6.4,6876,7.7,5285,5.9,2702,3.0
2012,Bakersfield,358600,32026,8.9,31024,8.7,28615,8.0,29851,8.3,30148,8.4,52030,14.5,46948,13.1,41815,11.7,18990,5.3,14951,4.2,19840,5.5,8519,2.4,3843,1.1
2012,Baldwin Park,76437,5144,6.7,4835,6.3,5398,7.1,6262,8.2,8316,10.9,11426,14.9,9428,12.3,9943,13.0,5001,6.5,3990,5.2,3916,5.1,1998,2.6,780,1.0
2012,Bellflower,77334,6525,8.4,5781,7.5,6242,8.1,4897,6.3,6576,8.5,12063,15.6,10780,13.9,8852,11.4,4549,5.9,3311,4.3,4200,5.4,2774,3.6,784,1.0
2012,Berkeley,115417,4515,3.9,4325,3.7,3459,3.0,12144,10.5,19557,16.9,18327,15.9,13090,11.3,11569,10.0,7126,6.2,6311,5.5,9129,7.9,3656,3.2,2209,1.9
