Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2013,Newport Beach,87265,3586,4.1,3964,4.5,5862,6.7,3438,3.9,6366,7.3,11045,12.7,9975,11.4,13032,14.9,7416,8.5,6222,7.1,9625,11.0,4351,5.0,2383,2.7
2013,Norwalk,106588,8727,8.2,6655,6.2,7862,7.4,8725,8.2,9820,9.2,13611,12.8,15228,14.3,14612,13.7,4721,4.4,4546,4.3,7706,7.2,2500,2.3,1875,1.8
2013,Oakland,406228,24513,6.0,22931,5.6,23315,5.7,21328,5.3,28653,7.1,74596,18.4,62335,15.3,52106,12.8,23679,5.8,25280,6.2,25999,6.4,13640,3.4,7853,1.9
2013,Oceanside,172795,10892,6.3,9598,5.6,11092,6.4,9938,5.8,12774,7.4,25809,14.9,27504,15.9,23077,13.4,10035,5.8,9748,5.6,12579,7.3,5490,3.2,4259,2.5
2013,Ontario,167496,13744,8.2,13256,7.9,15358,9.2,13213,7.9,14165,8.5,25014,14.9,25162,15.0,19002,11.3,8471,5.1,6365,3.8,8895,5.3,3452,2.1,1399,0.8
2013,Orange,139983,8975,6.4,8111,5.8,8485,6.1,10444,7.5,10150,7.3,22349,16.0,21166,15.1,20975,15.0,7193,5.1,5944,4.2,8968,6.4,4934,3.5,2289,1.6
2013,Oxnard,203014,17311,8.5,14552,7.2,14334,7.1,15236,7.5,19439,9.6,32642,16.1,27390,13.5,23922,11.8,11892,5.9,7942,3.9,10630,5.2,5662,2.8,2062,1.0
2013,Palmdale,157146,13637,8.7,11908,7.6,14605,9.3,14699,9.4,10541,6.7,17269,11.0,20192,12.8,25222,16.1,9277,5.9,6435,4.1,8462,5.4,3555,2.3,1344,0.9
2013,Palo Alto,66638,3087,4.6,4877,7.3,5464,8.2,2944,4.4,2829,4.2,8277,12.4,8002,12.0,10793,16.2,4295,6.4,3161,4.7,6564,9.9,4012,6.0,2333,3.5
2013,Pasadena,139727,5992,4.3,7139,5.1,8054,5.8,7948,5.7,10575,7.6,26754,19.1,19594,14.0,16017,11.5,9407,6.7,7134,5.1,10831,7.8,6615,4.7,3667,2.6
2013,Perris,72334,4109,5.7,6109,8.4,7467,10.3,7172,9.9,6755,9.3,10344,14.3,8534,11.8,10992,15.2,3008,4.2,2567,3.5,2829,3.9,1678,2.3,770,1.1
2013,Pittsburg,66703,4332,6.5,5032,7.5,4683,7.0,3214,4.8,5843,8.8,10523,15.8,9732,14.6,7884,11.8,4611,6.9,2511,3.8,4619,6.9,2647,4.0,1072,1.6
2013,Pleasanton,74112,2912,3.9,5118,6.9,7356,9.9,6804,9.2,2462,3.3,4870,6.6,10359,14.0,13291,17.9,5850,7.9,3838,5.2,7353,9.9,2736,3.7,1163,1.6
2013,Pomona,151349,11458,7.6,10643,7.0,10404,6.9,12187,8.1,15245,10.1,22707,15.0,20415,13.5,19029,12.6,9003,5.9,6926,4.6,6830,4.5,4275,2.8,2227,1.5
2013,Rancho Cordova,67919,5361,7.9,3637,5.4,5125,7.5,3306,4.9,5269,7.8,9967,14.7,9051,13.3,9780,14.4,4048,6.0,3492,5.1,4507,6.6,3406,5.0,970,1.4
