Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2010,Alameda,73981,5117,6.9,4014,5.4,5528,7.5,5130,6.9,4012,5.4,8151,11.0,12792,17.3,11830,16.0,3702,5.0,5104,6.9,4279,5.8,2781,3.8,1541,2.1
2010,Alhambra,83202,3876,4.7,3666,4.4,3176,3.8,4841,5.8,6076,7.3,14695,17.7,12326,14.8,12235,14.7,4697,5.6,4215,5.1,7457,9.0,3481,4.2,2461,3.0
2010,Anaheim,337259,25346,7.5,21424,6.4,24568,7.3,29234,8.7,27046,8.0,51328,15.2,47451,14.1,46278,13.7,17763,5.3,15172,4.5,17544,5.2,10068,3.0,4037,1.2
2010,Antioch,102745,8481,8.3,8377,8.2,6526,6.4,7768,7.6,8066,7.9,13974,13.6,13062,12.7,15391,15.0,6905,6.7,4081,4.0,6486,6.3,2463,2.4,1165,1.1
2010,Apple Valley,69387,4366,6.3,4804,6.9,7051,10.2,5062,7.3,4595,6.6,7368,10.6,7942,11.4,9880,14.2,4383,6.3,3599,5.2,4401,6.3,4421,6.4,1515,2.2
2010,Arden-Arcade,87272,5132,5.9,5343,6.1,4048,4.6,4836,5.5,7559,8.7,12723,14.6,12347,14.1,10948,12.5,6408,7.3,4659,5.3,4596,5.3,5617,6.4,3056,3.5
2010,Bakersfield,348582,31075,8.9,28755,8.2,32470,9.3,29953,8.6,28365,8.1,50159,14.4,42924,12.3,45368,13.0,16199,4.6,13160,3.8,16748,4.8,10095,2.9,3311,0.9
2010,Baldwin Park,75496,5887,7.8,7109,9.4,7483,9.9,5972,7.9,3949,5.2,11935,15.8,11058,14.6,8272,11.0,4212,5.6,3097,4.1,4089,5.4,1826,2.4,607,0.8
2010,Bellflower,76717,5466,7.1,5097,6.6,5855,7.6,6561,8.6,5175,6.7,10056,13.1,12117,15.8,11004,14.3,4351,5.7,3046,4.0,4523,5.9,2735,3.6,731,1.0
2010,Berkeley,112824,4559,4.0,4798,4.3,3282,2.9,12895,11.4,19319,17.1,18922,16.8,10956,9.7,11311,10.0,6319,5.6,6814,6.0,8394,7.4,3860,3.4,1395,1.2
2010,Buena Park,80766,5859,7.3,5168,6.4,6041,7.5,5975,7.4,6676,8.3,11317,14.0,10330,12.8,13046,16.2,4391,5.4,3606,4.5,4027,5.0,3171,3.9,1159,1.4
2010,Burbank,103472,5260,5.1,5592,5.4,5750,5.6,5295,5.1,5511,5.3,16646,16.1,16314,15.8,16277,15.7,6145,5.9,5635,5.4,6636,6.4,4870,4.7,3541,3.4
2010,Camarillo,65406,3609,5.5,4369,6.7,4105,6.3,4039,6.2,2319,3.5,5854,9.0,8391,12.8,10927,16.7,3233,4.9,4428,6.8,6381,9.8,4971,7.6,2780,4.3
2010,Carlsbad,105707,5882,5.6,6941,6.6,5990,5.7,7093,6.7,6275,5.9,11721,11.1,16889,16.0,17660,16.7,9028,8.5,6045,5.7,5966,5.6,4648,4.4,1569,1.5
2010,Carson,91828,4707,5.1,4589,5.0,6800,7.4,8976,9.8,8124,8.8,9558,10.4,11252,12.3,14929,16.3,5854,6.4,5745,6.3,7180,7.8,3411,3.7,703,0.8
2010,Chico,86213,4512,5.2,4744,5.5,3100,3.6,8016,9.3,15619,18.1,12092,14.0,8689,10.1,10224,11.9,5256,6.1,4893,5.7,3918,4.5,3383,3.9,1767,2.0
2010,Chino,78237,5454,7.0,5514,7.0,6296,8.0,6530,8.3,6675,8.5,13373,17.1,11753,15.0,10170,13.0,4902,6.3,2249,2.9,3393,4.3,1147,1.5,781,1.0
2010,Chino Hills,75070,4308,5.7,4494,6.0,6266,8.3,6689,8.9,5417,7.2,8782,11.7,9940,13.2,13509,18.0,5806,7.7,4442,5.9,3427,4.6,1510,2.0,480,0.6
2010,Chula Vista,244789,18381,7.5,18608,7.6,18797,7.7,20003,8.2,18674,7.6,30388,12.4,36535,14.9,35254,14.4,13217,5.4,10230,4.2,13652,5.6,7813,3.2,3237,1.3
2010,Citrus Heights,83490,5550,6.6,4956,5.9,4337,5.2,6213,7.4,5406,6.5,11790,14.1,11929,14.3,13330,16.0,4898,5.9,3984,4.8,5055,6.1,4778,5.7,1264,1.5
2010,Clovis,95915,6656,6.9,7318,7.6,7130,7.4,8957,9.3,7062,7.4,12785,13.3,11970,12.5,12922,13.5,4660,4.9,4757,5.0,6010,6.3,3694,3.9,1994,2.1
2010,Compton,96558,8394,8.7,8219,8.5,8847,9.2,9728,10.1,8913,9.2,13619,14.1,12225,12.7,12310,12.7,4098,4.2,3841,4.0,4256,4.4,1523,1.6,585,0.6
2010,Concord,122508,8643,7.1,8146,6.6,6626,5.4,7310,6.0,7327,6.0,17606,14.4,19278,15.7,19754,16.1,7224,5.9,6155,5.0,7243,5.9,4828,3.9,2368,1.9
2010,Corona,153335,10133,6.6,11694,7.6,14556,9.5,14735,9.6,9909,6.5,17749,11.6,25486,16.6,22858,14.9,9277,6.1,5329,3.5,7709,5.0,3053,2.0,847,0.6
2010,Costa Mesa,110253,6597,6.0,7500,6.8,5958,5.4,7806,7.1,7684,7.0,23284,21.1,17271,15.7,14680,13.3,6187,5.6,3941,3.6,4398,4.0,2810,2.5,2137,1.9
2010,Daly City,101361,5928,5.8,6078,6.0,5757,5.7,6502,6.4,6768,6.7,16763,16.5,14040,13.9,14287,14.1,7331,7.2,6081,6.0,6757,6.7,3437,3.4,1632,1.6
2010,Davis,65740,3623,5.5,4819,7.3,3175,4.8,5065,7.7,15126,23.0,7827,11.9,7709,11.7,6215,9.5,4002,6.1,2417,3.7,3371,5.1,1676,2.5,715,1.1
2010,Downey,111922,6043,5.4,8447,7.5,9241,8.3,8559,7.6,8114,7.2,15848,14.2,17479,15.6,16159,14.4,6327,5.7,4409,3.9,6110,5.5,3089,2.8,2097,1.9
2010,East Los Angeles,127198,8413,6.6,11271,8.9,11372,8.9,12033,9.5,10994,8.6,21425,16.8,18309,14.4,12813,10.1,5665,4.5,5060,4.0,5503,4.3,3406,2.7,934,0.7
