Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2014,Alameda,77661,4660,6.0,4507,5.8,3527,4.5,4476,5.8,4160,5.4,10285,13.2,12960,16.7,12730,16.4,4621,6.0,6116,7.9,6002,7.7,2296,3.0,1321,1.7
2014,Alhambra,85585,4654,5.4,4152,4.9,4336,5.1,4090,4.8,6461,7.5,12917,15.1,11253,13.1,12775,14.9,7175,8.4,5537,6.5,6784,7.9,4249,5.0,1202,1.4
2014,Anaheim,346961,25564,7.4,21871,6.3,23650,6.8,24368,7.0,27286,7.9,55283,15.9,48772,14.1,46318,13.3,21060,6.1,18120,5.2,20229,5.8,10221,2.9,4219,1.2
2014,Antioch,108953,4770,4.4,8420,7.7,8581,7.9,10364,9.5,7452,6.8,14022,12.9,13554,12.4,16354,15.0,6811,6.3,6693,6.1,6754,6.2,4067,3.7,1111,1.0
2014,Apple Valley,71586,4551,6.4,5298,7.4,5151,7.2,4726,6.6,5515,7.7,9624,13.4,7483,10.5,9210,12.9,4829,6.7,3170,4.4,7397,10.3,2776,3.9,1856,2.6
2014,Arden-Arcade,99903,7972,8.0,7455,7.5,5480,5.5,4648,4.7,7744,7.8,14421,14.4,11030,11.0,13255,13.3,7153,7.2,6324,6.3,6986,7.0,4702,4.7,2733,2.7
2014,Bakersfield,368748,32895,8.9,31851,8.6,29160,7.9,29687,8.1,27978,7.6,57892,15.7,46725,12.7,40486,11.0,19677,5.3,18573,5.0,19011,5.2,10137,2.7,4676,1.3
2014,Baldwin Park,77134,5214,6.8,5118,6.6,5099,6.6,5923,7.7,6071,7.9,13109,17.0,9140,11.8,10667,13.8,4956,6.4,3727,4.8,4790,6.2,2592,3.4,728,0.9
2014,Bellflower,78246,5279,6.7,5811,7.4,5825,7.4,5194,6.6,5561,7.1,12428,15.9,9231,11.8,11166,14.3,5390,6.9,3880,5.0,5258,6.7,2043,2.6,1180,1.5
2014,Berkeley,118851,4456,3.7,4059,3.4,4224,3.6,12151,10.2,24314,20.5,19847,16.7,12919,10.9,10192,8.6,4705,4.0,6969,5.9,9282,7.8,3822,3.2,1911,1.6
