Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2016,Long Beach,41056,13.3,23794,7.7,57010,18.5,74972,24.3,19268,6.2,57589,18.7,35055,11.4
2016,Los Angeles,390689,14.3,251049,9.2,536725,19.6,481056,17.6,178086,6.5,588490,21.5,308976,11.3
2016,Lynwood,10822,26.3,8305,20.2,11951,29.0,5623,13.7,1670,4.1,2276,5.5,515,1.3
2016,Manteca,4140,8.5,5224,10.7,16838,34.6,11300,23.2,4372,9.0,5023,10.3,1769,3.6
2016,Menifee,3958,6.6,3665,6.1,15574,26.0,16916,28.3,6507,10.9,8094,13.5,5111,8.5
2016,Merced,7170,15.6,5353,11.7,10309,22.5,11120,24.2,4397,9.6,3805,8.3,3709,8.1
2016,Milpitas,2736,4.9,3195,5.8,10917,19.7,8176,14.7,4090,7.4,15361,27.7,10973,19.8
2016,Mission Viejo,1192,1.7,2731,3.9,9690,13.9,13573,19.4,8006,11.4,23720,33.9,11030,15.8
2016,Modesto,11226,8.2,13757,10.1,38804,28.5,37163,27.3,10386,7.6,17419,12.8,7586,5.6
2016,Moreno Valley,12539,10.6,14791,12.5,32045,27.1,27159,23.0,11301,9.6,13330,11.3,7079,6.0
2016,Mountain View,3809,6.6,1593,2.7,5928,10.2,5625,9.7,2285,3.9,16655,28.6,22243,38.3
2016,Murrieta,3355,4.9,2473,3.6,15765,22.8,20710,30.0,6831,9.9,13504,19.6,6430,9.3
2016,Napa,6445,11.5,3112,5.5,10002,17.8,12337,22.0,4796,8.5,12922,23.0,6554,11.7
2016,Newport Beach,288,0.4,822,1.2,3662,5.6,11189,17.0,4291,6.5,27214,41.3,18464,28.0
2016,Norwalk,11152,16.1,6411,9.3,18872,27.3,15014,21.7,4523,6.5,9799,14.2,3294,4.8
2016,Oakland,33845,11.2,24330,8.0,44817,14.8,55496,18.3,19998,6.6,73005,24.1,51381,17.0
2016,Oceanside,9483,7.9,7136,5.9,23388,19.5,31547,26.3,12299,10.2,26612,22.2,9580,8.0
2016,Ontario,13763,12.5,15703,14.3,32328,29.4,23052,21.0,8539,7.8,12155,11.1,4344,4.0
2016,Orange,5674,6.1,7470,8.0,17646,19.0,20612,22.2,8406,9.1,21551,23.2,11497,12.4
2016,Oxnard,30049,23.6,12212,9.6,28646,22.5,25033,19.6,9858,7.7,15647,12.3,6041,4.7
2016,Palmdale,10145,11.0,13361,14.5,23405,25.3,24058,26.0,6360,6.9,10159,11.0,4953,5.4
2016,Palo Alto,310,0.6,528,1.1,2960,6.0,3501,7.1,1949,3.9,13788,27.9,26322,53.3
2016,Pasadena,9026,8.6,4459,4.2,14724,14.0,17035,16.2,5483,5.2,30374,28.9,24050,22.9
2016,Perris,6421,15.6,6107,14.8,14049,34.1,7599,18.5,2699,6.6,3234,7.9,1063,2.6
2016,Pittsburg,4734,10.6,5300,11.8,11584,25.8,11374,25.4,2635,5.9,6754,15.1,2477,5.5
2016,Pleasanton,1169,2.0,766,1.3,5501,9.6,8113,14.1,3913,6.8,20127,35.0,17864,31.1
2016,Pomona,16547,18.5,12742,14.3,22379,25.1,18194,20.4,5030,5.6,11139,12.5,3178,3.6
2016,Rancho Cordova,2254,4.7,3383,7.0,12043,24.9,12306,25.4,4279,8.8,10293,21.3,3801,7.9
2016,Rancho Cucamonga,3726,3.1,8919,7.5,20900,17.6,29192,24.6,14234,12.0,26409,22.2,15432,13.0
2016,Redding,2297,3.7,2788,4.5,13265,21.2,21539,34.5,6734,10.8,10564,16.9,5305,8.5
2016,Redlands,2019,4.3,2711,5.7,9323,19.7,11464,24.2,4724,10.0,9516,20.1,7580,16.0
2016,Redondo Beach,932,1.8,1169,2.2,6248,11.8,9969,18.9,5287,10.0,17481,33.1,11768,22.3
2016,Redwood City,5874,9.8,3252,5.4,9111,15.2,10580,17.7,2236,3.7,14552,24.3,14246,23.8
2016,Rialto,8458,14.3,9933,16.8,18036,30.5,13189,22.3,3202,5.4,4575,7.7,1722,2.9
2016,Richmond,12387,16.7,5607,7.6,15855,21.4,15643,21.2,5784,7.8,11612,15.7,7069,9.6
2016,Riverside,18933,9.5,20334,10.2,49766,25.0,46682,23.5,14967,7.5,27487,13.8,20735,10.4
2016,Roseville,2620,2.9,2440,2.7,15931,17.5,23962,26.3,10036,11.0,24541,26.9,11640,12.8
2016,Sacramento,29768,8.8,25722,7.6,74892,22.2,74326,22.0,28203,8.4,67446,20.0,37360,11.1
2016,Salinas,31084,33.1,8914,9.5,20046,21.4,13700,14.6,8239,8.8,8340,8.9,3486,3.7
2016,San Bernardino,17968,14.9,22100,18.3,32008,26.5,28638,23.7,9173,7.6,8241,6.8,2738,2.3
2016,San Buenaventura (Ventura),2887,3.7,4082,5.3,12760,16.5,21609,27.9,7512,9.7,15857,20.5,12700,16.4
2016,San Clemente,1239,2.6,954,2.0,5573,11.8,10710,22.6,5490,11.6,14872,31.4,8579,18.1
2016,San Diego,67693,7.1,57413,6.0,143963,15.0,193871,20.2,71746,7.5,254489,26.6,168656,17.6
2016,San Francisco,50757,7.4,32703,4.7,84652,12.3,94619,13.7,32152,4.7,234899,34.1,159914,23.2
2016,San Jose,72434,10.4,45227,6.5,120501,17.3,115511,16.6,47041,6.7,183329,26.3,113598,16.3
2016,San Leandro,6701,10.1,5051,7.6,16062,24.1,15560,23.3,4765,7.1,11894,17.8,6639,10.0
2016,San Marcos,5643,9.8,3454,6.0,10873,18.8,12187,21.1,4967,8.6,13364,23.1,7267,12.6
2016,San Mateo,4817,6.4,2065,2.7,12525,16.6,11924,15.8,4291,5.7,24149,32.0,15723,20.8
2016,San Ramon,649,1.3,617,1.2,3949,7.8,6503,12.8,3519,6.9,19353,38.1,16189,31.9
2016,Santa Ana,53592,26.0,35048,17.0,46803,22.7,33522,16.2,9241,4.5,21498,10.4,6741,3.3
2016,Santa Barbara,4735,7.3,3501,5.4,9740,15.1,11843,18.3,3304,5.1,17736,27.5,13711,21.2
2016,Santa Clara,3872,4.6,3752,4.5,8409,10.0,12183,14.5,4871,5.8,28237,33.6,22833,27.1
2016,Santa Clarita,6943,5.6,6399,5.1,21919,17.6,33265,26.7,11569,9.3,30642,24.6,13751,11.0
2016,Santa Maria,18840,30.5,5934,9.6,11474,18.6,12301,19.9,3987,6.5,6140,9.9,3099,5.0
2016,Santa Monica,2170,2.9,2550,3.4,5792,7.7,8152,10.9,3165,4.2,31412,42.0,21622,28.9
2016,Santa Rosa,8002,6.5,7174,5.9,23708,19.4,30345,24.8,12630,10.3,25275,20.7,15180,12.4
2016,Simi Valley,2868,3.3,3919,4.5,19843,22.6,23242,26.5,9651,11.0,17715,20.2,10520,12.0
2016,South Gate,16567,28.6,8411,14.5,14672,25.4,10442,18.0,3593,6.2,2925,5.1,1247,2.2
2016,South San Francisco,3650,7.3,4198,8.4,9682,19.4,10679,21.3,4600,9.2,13656,27.3,3561,7.1
2016,Stockton,25744,13.6,21440,11.3,49086,26.0,43292,22.9,17895,9.5,20833,11.0,10788,5.7
2016,Sunnyvale,4439,4.1,4478,4.1,13325,12.2,11789,10.8,6667,6.1,34649,31.6,34178,31.2
2016,Temecula,2158,3.1,3123,4.5,14199,20.3,22745,32.6,5832,8.4,14803,21.2,6984,10.0
2016,Thousand Oaks,2975,3.2,2154,2.3,11731,12.7,19225,20.8,7957,8.6,27275,29.5,21126,22.9
2016,Torrance,2773,2.6,3860,3.7,16489,15.7,21323,20.3,8739,8.3,34324,32.7,17471,16.6
2016,Tracy,2833,5.1,3976,7.1,16420,29.4,16623,29.7,5226,9.3,7882,14.1,2964,5.3
2016,Turlock,8019,16.3,4814,9.8,10982,22.3,11258,22.9,3982,8.1,6893,14.0,3240,6.6
2016,Tustin,3650,6.7,2779,5.1,9706,17.8,8122,14.9,5714,10.5,16981,31.1,7703,14.1
2016,Union City,1692,3.2,2167,4.0,13648,25.5,11436,21.4,3003,5.6,15184,28.4,6403,12.0
2016,Upland,2820,5.4,4162,8.0,11677,22.6,11968,23.1,6091,11.8,9238,17.8,5818,11.2
2016,Vacaville,2625,3.9,4383,6.6,14523,21.8,20987,31.5,6094,9.1,11549,17.3,6568,9.8
2016,Vallejo,4613,5.4,7182,8.5,21682,25.6,21143,24.9,9042,10.7,16069,18.9,5080,6.0
2016,Victorville,4818,6.6,11051,15.1,22777,31.2,20274,27.8,5174,7.1,5548,7.6,3358,4.6
2016,Visalia,6008,7.7,10861,14.0,16799,21.6,19626,25.3,6331,8.2,11220,14.5,6800,8.8
2016,Vista,8037,12.7,5816,9.2,16299,25.7,13737,21.7,5549,8.8,9789,15.4,4189,6.6
2016,Walnut Creek,591,1.1,340,0.6,6056,11.3,9211,17.3,4353,8.2,17552,32.9,15291,28.6
2016,West Covina,5545,7.7,5645,7.8,20344,28.3,14400,20.0,5324,7.4,14968,20.8,5711,7.9
2016,Westminster,8206,12.7,6043,9.3,14832,22.9,14714,22.8,4531,7.0,11983,18.5,4349,6.7
2016,Whittier,3328,5.8,3984,7.0,13815,24.2,16273,28.6,4750,8.3,9842,17.3,4995,8.8
2016,Yorba Linda,329,0.7,1757,3.9,5966,13.1,8943,19.7,3179,7.0,15631,34.4,9652,21.2
2016,Yuba City,5904,13.5,4499,10.3,9502,21.8,11681,26.8,4911,11.3,5202,11.9,1941,4.4
2017,Alameda,2979,5.2,4339,7.6,5995,10.5,9908,17.4,3413,6.0,19017,33.4,11341,19.9
2017,Alhambra,7808,11.7,3921,5.9,15763,23.7,10725,16.1,5100,7.7,15713,23.6,7540,11.3
2017,Anaheim,26936,11.8,27176,11.9,51451,22.6,45304,19.9,18254,8.0,42035,18.5,16467,7.2
2017,Antioch,5174,7.1,5630,7.7,19564,26.8,19824,27.2,7083,9.7,11571,15.9,4033,5.5
2017,Apple Valley,1277,2.7,4749,10.1,16138,34.4,11189,23.9,5846,12.5,5010,10.7,2701,5.8
2017,Arden-Arcade,2993,4.5,3677,5.6,15987,24.2,13641,20.6,5743,8.7,15896,24.1,8126,12.3
2017,Bakersfield,26365,11.5,21582,9.4,60090,26.1,54478,23.7,18332,8.0,31562,13.7,17749,7.7
2017,Baldwin Park,10824,21.0,6151,12.0,14623,28.4,10580,20.6,3328,6.5,4824,9.4,1109,2.2
2017,Bellflower,5160,10.1,6038,11.8,14704,28.8,14072,27.6,2790,5.5,5852,11.5,2357,4.6
2017,Berkeley,1184,1.6,1334,1.8,5470,7.3,8862,11.9,4187,5.6,24960,33.5,28485,38.2
2017,Buena Park,3897,7.0,3685,6.7,14717,26.6,9310,16.8,5974,10.8,13576,24.5,4210,7.6
2017,Burbank,1953,2.5,3216,4.2,14917,19.4,17930,23.3,7583,9.9,22066,28.7,9282,12.1
2017,Camarillo,1608,3.4,1454,3.1,7251,15.4,11052,23.4,4671,9.9,12307,26.1,8828,18.7
2017,Carlsbad,1466,1.8,1768,2.1,8633,10.5,13303,16.2,5522,6.7,28012,34.1,23548,28.6
2017,Carmichael,930,2.0,2332,5.0,10430,22.2,11684,24.9,4777,10.2,10192,21.7,6600,14.1
2017,Carson,6981,11.1,5643,9.0,13530,21.5,13567,21.5,6823,10.8,12953,20.6,3464,5.5
2017,Castro Valley,2141,4.6,2203,4.8,7159,15.5,10060,21.8,2938,6.4,12752,27.6,8886,19.3
2017,Chico,708,1.3,1997,3.6,10755,19.3,15964,28.6,5849,10.5,13509,24.2,7045,12.6
2017,Chino,5377,8.5,9401,14.8,14923,23.6,16717,26.4,4050,6.4,9571,15.1,3272,5.2
2017,Chino Hills,2787,5.1,2756,5.0,7730,14.2,11098,20.3,7594,13.9,14497,26.5,8160,14.9
2017,Chula Vista,16712,9.6,16434,9.5,36873,21.2,40192,23.2,14603,8.4,33057,19.0,15676,9.0
2017,Citrus Heights,2941,4.6,3627,5.7,16280,25.7,19385,30.6,6515,10.3,9819,15.5,4849,7.6
2017,Clovis,2777,4.0,3601,5.2,14565,20.9,18853,27.1,7859,11.3,14461,20.8,7424,10.7
2017,Compton,11489,20.0,8842,15.4,19062,33.1,9269,16.1,3793,6.6,3839,6.7,1211,2.1
2017,Concord,6354,6.9,5168,5.6,15280,16.5,23126,25.0,8267,8.9,23663,25.6,10733,11.6
2017,Corona,5326,5.1,8162,7.8,25743,24.6,26316,25.2,11184,10.7,17967,17.2,9881,9.4
2017,Costa Mesa,7468,9.3,5304,6.6,13762,17.2,16657,20.8,4669,5.8,23725,29.7,8320,10.4
2017,Daly City,5835,7.6,5675,7.4,15644,20.3,16611,21.6,6809,8.9,19784,25.7,6542,8.5
2017,Davis,339,1.0,734,2.1,1822,5.3,4214,12.2,2249,6.5,11171,32.3,14072,40.7
2017,Downey,9058,11.9,5013,6.6,17413,22.9,20022,26.3,5449,7.2,13649,17.9,5516,7.2
2017,East Los Angeles,24771,31.9,12534,16.1,18319,23.6,12534,16.1,3053,3.9,4666,6.0,1776,2.3
2017,El Cajon,5376,7.9,3497,5.1,19750,28.9,20416,29.9,5007,7.3,10478,15.3,3851,5.6
2017,Elk Grove,6576,5.8,4965,4.3,19188,16.8,30455,26.6,10974,9.6,27846,24.4,14288,12.5
2017,El Monte,20237,26.5,13674,17.9,19698,25.8,10546,13.8,3248,4.3,7201,9.4,1791,2.3
2017,Escondido,14110,14.1,6983,7.0,25422,25.5,24229,24.3,6563,6.6,14576,14.6,7997,8.0
2017,Fairfield,5715,7.6,4434,5.9,15469,20.6,21994,29.3,6786,9.0,14411,19.2,6383,8.5
2017,Florence-Graham,12133,31.8,8224,21.6,9266,24.3,5607,14.7,1322,3.5,1324,3.5,221,0.6
2017,Folsom,1299,2.4,2671,4.9,6588,12.1,10894,20.0,6206,11.4,16052,29.5,10702,19.7
2017,Fontana,14606,12.1,13676,11.3,35675,29.6,27769,23.0,7097,5.9,16190,13.4,5684,4.7
2017,Fremont,3786,2.3,7343,4.5,28536,17.3,24169,14.7,9355,5.7,47073,28.6,44387,27.0
2017,Fresno,37458,11.6,35567,11.1,70106,21.8,78421,24.4,31663,9.8,46184,14.4,22239,6.9
2017,Fullerton,6120,6.5,6357,6.8,16441,17.5,18635,19.8,8015,8.5,24105,25.6,14479,15.4
2017,Garden Grove,17218,14.2,14255,11.8,29108,24.1,25020,20.7,8060,6.7,19950,16.5,7255,6.0
2017,Glendale,12388,8.1,7020,4.6,36332,23.7,22414,14.6,15959,10.4,39988,26.0,19410,12.6
2017,Hawthorne,6470,11.3,4122,7.2,14762,25.9,13616,23.9,3898,6.8,10505,18.4,3703,6.5
2017,Hayward,7831,7.2,9322,8.6,30655,28.2,23008,21.2,8293,7.6,21615,19.9,7810,7.2
2017,Hemet,3216,5.7,6107,10.8,16724,29.6,18512,32.8,4304,7.6,4562,8.1,3008,5.3
2017,Hesperia,4925,9.0,7009,12.8,18764,34.3,13528,24.7,4694,8.6,3986,7.3,1773,3.2
2017,Huntington Beach,4639,3.1,4748,3.2,24593,16.6,38505,26.0,13978,9.4,39882,26.9,21814,14.7
2017,Indio,9429,13.8,4508,6.6,25202,36.8,15479,22.6,3610,5.3,6850,10.0,3382,4.9
2017,Inglewood,10297,13.8,5928,8.0,17412,23.4,20205,27.1,5395,7.2,10148,13.6,5114,6.9
2017,Irvine,5854,3.3,3260,1.8,14849,8.3,24112,13.5,12504,7.0,67314,37.7,50714,28.4
2017,Jurupa Valley,9245,14.6,6032,9.5,19130,30.2,15038,23.8,4860,7.7,6063,9.6,2904,4.6
2017,Laguna Niguel,499,1.0,2163,4.4,5608,11.3,9747,19.7,4152,8.4,17460,35.3,9817,19.9
2017,Lake Elsinore,3208,8.5,3387,9.0,11685,31.0,10015,26.6,3662,9.7,4262,11.3,1427,3.8
2017,Lake Forest,1234,2.0,2890,4.7,8602,14.1,13812,22.6,5132,8.4,19715,32.2,9833,16.1
2017,Lakewood,2583,4.6,2080,3.7,12417,22.0,17420,30.9,6672,11.8,11321,20.1,3879,6.9
2017,Lancaster,7049,7.1,8537,8.5,27639,27.7,28279,28.3,10464,10.5,12061,12.1,5925,5.9
2017,Livermore,1935,3.0,2220,3.5,11215,17.6,13435,21.1,4922,7.7,19629,30.9,10224,16.1
2017,Lodi,4738,11.6,3789,9.3,9129,22.4,9408,23.1,4829,11.8,6124,15.0,2772,6.8
2017,Long Beach,39303,12.4,24605,7.8,58687,18.5,72103,22.8,23746,7.5,65566,20.7,32819,10.4
2017,Los Angeles,368580,13.3,251682,9.1,531941,19.2,493738,17.8,168707,6.1,631101,22.8,321321,11.6
2017,Lynwood,9657,23.4,7598,18.4,12251,29.7,7041,17.1,1316,3.2,2704,6.5,724,1.8
2017,Madera,9421,26.4,5636,15.8,7658,21.4,7206,20.2,1543,4.3,3382,9.5,859,2.4
2017,Manteca,2610,5.0,4535,8.8,18448,35.6,13289,25.7,4486,8.7,5517,10.7,2866,5.5
2017,Menifee,2481,4.0,5034,8.1,16294,26.2,19545,31.5,6215,10.0,9015,14.5,3560,5.7
2017,Merced,9589,19.9,5657,11.7,10035,20.8,11943,24.8,3390,7.0,4318,9.0,3287,6.8
2017,Milpitas,2355,4.5,2494,4.7,9523,18.0,7308,13.8,4720,8.9,15445,29.2,11061,20.9
2017,Mission Viejo,1888,2.7,1545,2.2,8910,12.8,15521,22.3,6669,9.6,22808,32.8,12285,17.6
2017,Modesto,13475,9.5,12322,8.7,39207,27.6,36936,26.0,13252,9.3,18123,12.8,8784,6.2
2017,Moreno Valley,15812,12.8,15401,12.5,36757,29.8,27651,22.4,9416,7.6,12086,9.8,6413,5.2
2017,Mountain View,2829,4.7,2985,5.0,5078,8.5,6232,10.5,2212,3.7,17097,28.7,23126,38.8
2017,Murrieta,1564,2.3,3730,5.4,15685,22.6,17800,25.7,7749,11.2,16627,24.0,6234,9.0
2017,Napa,5203,9.5,2397,4.4,9539,17.4,12798,23.3,4970,9.0,12932,23.5,7093,12.9
2017,Newport Beach,215,0.3,589,0.9,5639,8.5,10430,15.7,4154,6.3,27165,40.9,18229,27.4
2017,Norwalk,10009,14.1,6360,9.0,19450,27.4,15194,21.4,6150,8.7,9577,13.5,4227,6.0
2017,Oakland,33630,10.9,23779,7.7,50348,16.3,52348,16.9,17985,5.8,75959,24.6,55338,17.9
2017,Oceanside,9948,8.1,6385,5.2,23788,19.3,29990,24.4,9868,8.0,26666,21.7,16374,13.3
2017,Ontario,16516,14.7,11045,9.9,29230,26.1,25652,22.9,10058,9.0,14701,13.1,4804,4.3
2017,Orange,7575,8.0,6203,6.5,19039,20.0,19545,20.6,7987,8.4,24767,26.1,9937,10.5
2017,Oxnard,27595,21.1,9895,7.6,31326,23.9,29871,22.8,8998,6.9,17762,13.6,5575,4.3
2017,Palmdale,12537,13.3,12877,13.7,24590,26.2,25636,27.3,6294,6.7,7815,8.3,4230,4.5
2017,Palo Alto,759,1.6,457,1.0,605,1.3,3224,7.0,1410,3.0,14810,31.9,25103,54.1
2017,Pasadena,7124,6.9,5580,5.4,14272,13.7,15325,14.7,7985,7.7,29554,28.4,24075,23.2
2017,Perris,9778,23.4,5611,13.4,12329,29.5,8170,19.6,2886,6.9,1938,4.6,1073,2.6
2017,Pittsburg,4168,8.5,4900,10.0,13347,27.3,12955,26.5,4647,9.5,6421,13.1,2432,5.0
2017,Pleasanton,130,0.2,797,1.3,6714,11.3,9003,15.1,4238,7.1,20761,34.8,17971,30.1
2017,Pomona,16485,17.2,14015,14.6,22049,23.0,20966,21.8,5858,6.1,12107,12.6,4580,4.8
2017,Rancho Cordova,2599,5.1,3783,7.4,14828,29.1,14058,27.6,4479,8.8,7692,15.1,3429,6.7
2017,Rancho Cucamonga,4904,4.3,5106,4.5,22351,19.5,27342,23.9,12792,11.2,26117,22.8,15976,13.9
2017,Redding,2086,3.3,3759,5.9,16004,25.1,20160,31.6,6054,9.5,10232,16.0,5541,8.7
2017,Redlands,2169,4.3,3995,7.9,8444,16.6,10532,20.8,3574,7.0,13468,26.5,8557,16.9
2017,Redondo Beach,482,0.9,781,1.5,6534,12.8,9210,18.1,3111,6.1,18827,36.9,12018,23.6
2017,Redwood City,4284,6.6,2945,4.5,9417,14.5,10202,15.7,4114,6.3,17435,26.9,16444,25.4
2017,Rialto,9090,14.4,8172,13.0,19724,31.3,14312,22.7,4458,7.1,5014,8.0,2211,3.5
2017,Richmond,10394,14.1,8161,11.1,13409,18.2,13973,19.0,6381,8.7,13914,18.9,7332,10.0
2017,Riverside,17637,8.7,20980,10.3,52697,25.9,48549,23.8,15594,7.7,28466,14.0,19783,9.7
2017,Roseville,2156,2.3,2533,2.7,17315,18.4,23298,24.8,10953,11.7,26685,28.4,11000,11.7
2017,Sacramento,28356,8.3,18859,5.5,73513,21.5,78656,23.0,30868,9.0,69671,20.3,42654,12.5
2017,Salinas,31290,33.1,7256,7.7,22562,23.9,13833,14.6,5598,5.9,9776,10.3,4268,4.5
2017,San Bernardino,14606,11.0,27914,21.0,38859,29.3,27909,21.0,7912,6.0,12403,9.3,3173,2.4
2017,San Buenaventura (Ventura),4514,5.7,3305,4.2,15534,19.6,19921,25.2,9162,11.6,17988,22.7,8694,11.0
2017,San Clemente,2543,5.2,727,1.5,5802,12.0,10683,22.0,4843,10.0,15454,31.9,8451,17.4
2017,San Diego,56978,5.8,53274,5.4,153206,15.6,192825,19.7,76419,7.8,265333,27.1,181324,18.5
2017,San Francisco,51580,7.3,30890,4.4,81138,11.5,98982,14.1,33743,4.8,246711,35.1,159481,22.7
2017,San Jose,63913,8.9,44420,6.2,124205,17.3,122858,17.2,49982,7.0,180066,25.2,130485,18.2
2017,San Leandro,4763,7.0,8024,11.7,15282,22.3,14400,21.0,3693,5.4,15599,22.8,6702,9.8
2017,San Marcos,5173,8.3,3855,6.2,13900,22.2,12777,20.4,4449,7.1,16531,26.4,5846,9.3
2017,San Mateo,5561,7.5,1415,1.9,9926,13.5,11176,15.2,4650,6.3,22729,30.8,18305,24.8
2017,San Ramon,1078,2.2,880,1.8,2887,5.9,5100,10.5,2789,5.7,19317,39.6,16695,34.2
2017,Santa Ana,52967,25.2,34322,16.3,47316,22.5,35103,16.7,10430,5.0,22261,10.6,7843,3.7
2017,Santa Barbara,3791,5.6,4016,5.9,7153,10.5,11475,16.9,4499,6.6,20921,30.9,15954,23.5
2017,Santa Clara,2368,2.7,3920,4.4,13209,15.0,13770,15.6,5125,5.8,25128,28.4,24832,28.1
2017,Santa Clarita,3942,2.8,6437,4.6,24814,17.9,37253,26.8,15532,11.2,34146,24.6,16728,12.0
2017,Santa Cruz,1222,3.1,945,2.4,6217,16.0,7142,18.4,2493,6.4,10889,28.1,9895,25.5
2017,Santa Maria,19925,32.8,5760,9.5,11285,18.6,13309,21.9,3969,6.5,4681,7.7,1820,3.0
2017,Santa Monica,2535,3.6,2619,3.7,5581,7.9,9431,13.3,3869,5.5,27540,38.8,19401,27.3
2017,Santa Rosa,7254,5.9,7503,6.1,21536,17.4,31457,25.4,12524,10.1,26730,21.6,16916,13.7
2017,Simi Valley,3781,4.3,4739,5.4,17782,20.3,22207,25.3,9848,11.2,20652,23.5,8783,10.0
2017,South Gate,13334,22.7,10484,17.9,16646,28.4,9855,16.8,2892,4.9,4354,7.4,1122,1.9
2017,South San Francisco,3194,6.6,1972,4.1,10893,22.4,11726,24.1,3307,6.8,13138,27.1,4329,8.9
2017,Stockton,24120,12.5,16934,8.8,59344,30.8,39122,20.3,17210,8.9,25829,13.4,9816,5.1
2017,Sunnyvale,4693,4.1,5221,4.6,13830,12.2,13158,11.6,6781,6.0,31893,28.0,38147,33.5
2017,Temecula,2086,2.9,2293,3.2,15134,20.8,20235,27.8,8035,11.0,15637,21.5,9365,12.9
2017,Thousand Oaks,1810,2.0,2755,3.1,10986,12.3,18937,21.2,8724,9.8,28641,32.1,17445,19.5
2017,Torrance,3646,3.4,4020,3.7,16639,15.3,19271,17.8,9434,8.7,35703,32.9,19733,18.2
2017,Tracy,3891,6.9,3551,6.3,15266,27.2,16873,30.1,4222,7.5,8910,15.9,3395,6.1
2017,Turlock,3799,8.0,3306,7.0,13512,28.6,11042,23.4,3216,6.8,8110,17.2,4210,8.9
2017,Tustin,3160,5.8,3126,5.7,9658,17.7,10050,18.5,3638,6.7,14496,26.6,10286,18.9
2017,Union City,2204,3.8,3268,5.7,15931,27.8,13437,23.5,3254,5.7,12104,21.1,7070,12.3
2017,Upland,1871,3.6,3195,6.1,9969,19.2,13249,25.5,5608,10.8,11565,22.2,6527,12.6
2017,Vacaville,4195,5.9,5549,7.8,15632,21.9,22339,31.4,7697,10.8,10793,15.2,5015,7.0
2017,Vallejo,5641,6.8,4730,5.7,20618,24.8,21807,26.2,7901,9.5,15659,18.8,6946,8.3
2017,Victorville,7746,10.3,8690,11.5,22011,29.2,21462,28.5,6992,9.3,6519,8.7,1852,2.5
2017,Visalia,5192,6.5,6385,8.0,16732,21.0,23609,29.6,8742,11.0,13303,16.7,5690,7.1
2017,Vista,9534,14.6,5009,7.6,17161,26.2,14235,21.7,5217,8.0,10089,15.4,4272,6.5
2017,Walnut Creek,964,1.8,473,0.9,3395,6.3,7691,14.2,4447,8.2,22788,42.2,14232,26.4
2017,West Covina,5477,7.3,4149,5.5,19589,26.0,14712,19.5,7448,9.9,17527,23.3,6479,8.6
2017,Westminster,7125,10.7,6081,9.1,14909,22.4,13336,20.0,6020,9.0,14109,21.2,4964,7.5
2017,Whittier,2893,5.1,2920,5.1,18041,31.8,14428,25.4,4168,7.3,8895,15.7,5408,9.5
2017,Yorba Linda,475,1.0,1783,3.7,7203,15.1,9337,19.6,3300,6.9,14895,31.2,10718,22.5
2017,Yuba City,5255,11.9,3930,8.9,10655,24.1,10925,24.8,5634,12.8,5710,12.9,2032,4.6
2018,Alameda,1877,3.25,2715,4.7,5544,9.6,10872,18.82,4265,7.38,18830,32.6,13653,23.64
2018,Alhambra,6752,10.61,5196,8.16,11665,18.33,11684,18.35,5442,8.55,16526,25.96,6391,10.04
2018,Anaheim,28827,12.53,20655,8.98,55163,23.99,48042,20.89,16932,7.36,42570,18.51,17787,7.73
2018,Antioch,4720,6.54,4772,6.61,18965,26.27,19796,27.42,7701,10.67,11337,15.7,4913,6.8
2018,Apple Valley,2962,6.18,5049,10.53,13802,28.78,13599,28.35,3812,7.95,5597,11.67,3141,6.55
2018,Arden-Arcade,2403,3.29,3482,4.76,16253,22.24,17693,24.21,7995,10.94,15498,21.21,9757,13.35
2018,Bakersfield,18085,7.75,27542,11.8,59124,25.33,58140,24.91,21384,9.16,31682,13.57,17474,7.49
2018,Baldwin Park,10384,20.63,6650,13.21,15232,30.26,8472,16.83,2802,5.57,5852,11.63,947,1.88
2018,Bellflower,5619,10.96,5331,10.4,12275,23.94,13752,26.82,5195,10.13,6236,12.16,2859,5.58
2018,Berkeley,1693,2.23,1939,2.56,6251,8.24,9388,12.37,2876,3.79,25261,33.3,28456,37.51
2018,Buena Park,3082,5.49,4750,8.46,11836,21.07,14544,25.89,6568,11.69,11243,20.01,4154,7.39
2018,Burbank,2528,3.3,3146,4.11,11519,15.03,18711,24.42,7595,9.91,22992,30.01,10125,13.22
2018,Camarillo,1328,2.84,1267,2.71,6629,14.2,11838,25.35,6498,13.92,12588,26.96,6544,14.02
2018,Carlsbad,1328,1.6,3678,4.42,9965,11.97,14669,17.63,7091,8.52,27055,32.51,19436,23.35
