Year,City,Unemployment Rate,Income
2012,Alameda,8.8,30582
2012,Alhambra,6.2,29217
2012,Anaheim,11.8,98156
2012,Antioch,11.3,33563
2012,Apple Valley,13.7,22603
2012,Arden-Arcade,16.2,39940
2012,Bakersfield,12.9,111053
2012,Baldwin Park,15.0,17397
2012,Bellflower,10.6,23680
2012,Berkeley,8.6,45674
2012,Buena Park,8.3,23548
2012,Burbank,10.1,40484
2012,Camarillo,8.0,24226
2012,Carlsbad,7.2,43309
2012,Carson,15.3,24646
2012,Chico,12.3,33405
2012,Chino,10.4,22287
2012,Chino Hills,9.5,23594
2012,Chula Vista,13.3,75942
2012,Citrus Heights,15.3,33628
2012,Clovis,10.8,33177
2012,Compton,20.0,22834
2012,Concord,9.1,44634
2012,Corona,10.6,44677
2012,Costa Mesa,9.4,41997
2012,Daly City,10.7,29976
2012,Davis,8.0,24361
2012,Downey,9.8,33310
2012,East Los Angeles,14.9,30707
2012,El Cajon,17.3,33891
2012,Elk Grove,10.4,47747
2012,El Monte,16.8,29423
2012,Escondido,7.7,44909
2012,Fairfield,12.3,34238
2012,Florence-Graham,14.5,13733
2012,Folsom,9.2,24967
2012,Fontana,13.8,48641
2012,Fremont,8.2,69398
2012,Fresno,16.8,162149
2012,Fullerton,11.9,44685
2012,Garden Grove,10.9,48514
2012,Glendale,10.2,68952
2012,Hawthorne,10.7,28649
2012,Hayward,13.0,45451
2012,Hemet,19.0,28354
2012,Hesperia,16.6,27082
2012,Huntington Beach,9.4,70689
2012,Indio,16.4,22504
2012,Inglewood,15.1,36292
2012,Irvine,7.6,82613
2012,Jurupa Valley,18.6,23813
2012,Lake Forest,5.4,26688
2012,Lakewood,8.0,27003
2012,Lancaster,12.1,46483
2012,Livermore,6.4,29482
2012,Long Beach,12.3,164220
2012,Los Angeles,12.2,1332587
2012,Lynwood,12.8,14759
2012,Manteca,14.9,23010
2012,Menifee,16.9,27132
2012,Merced,18.1,25497
2012,Milpitas,9.7,19646
2012,Mission Viejo,7.0,33343
2012,Modesto,17.8,69451
2012,Moreno Valley,13.6,53127
2012,Mountain View,5.6,32271
2012,Murrieta,10.9,33478
2012,Napa,9.9,28062
2012,Newport Beach,7.5,36893
2012,Norwalk,12.9,27258
2012,Oakland,13.0,156482
2012,Oceanside,8.6,58115
2012,Ontario,11.7,44699
2012,Orange,9.7,42515
2012,Oxnard,10.6,50282
2012,Palmdale,14.9,40878
2012,Palo Alto,6.2,26610
2012,Pasadena,10.9,55992
2012,Perris,17.1,15834
2012,Pittsburg,12.8,19746
2012,Pleasanton,6.3,26104
2012,Pomona,13.2,38417
2012,Rancho Cordova,14.2,24202
2012,Rancho Cucamonga,11.7,52957
2012,Redding,11.4,35360
2012,Redlands,8.2,25137
2012,Redondo Beach,5.3,28628
2012,Redwood City,5.6,28871
2012,Rialto,16.8,23880
2012,Richmond,8.6,38952
2012,Riverside,14.9,91813
2012,Roseville,9.4,46372
2012,Sacramento,14.9,177325
2012,Salinas,10.0,39429
2012,San Bernardino,17.5,56187
2012,San Buenaventura (Ventura),9.8,40725
2012,San Diego,9.2,473842
2012,San Francisco,7.7,346842
2012,San Jose,9.8,310126
2012,San Leandro,9.7,29828
2012,San Marcos,10.4,30911
2012,San Mateo,8.8,37129
2012,Santa Ana,8.4,71272
2012,Santa Barbara,7.8,34234
2012,Santa Clara,8.0,42493
2012,Santa Clarita,9.1,58774
2012,Santa Maria,10.9,26420
2012,Santa Monica,11.4,43729
2012,Santa Rosa,9.6,62825
2012,Simi Valley,9.7,42642
2012,South Gate,12.0,23460
2012,South San Francisco,11.8,21417
2012,Stockton,17.4,90754
2012,Sunnyvale,8.5,54075
2012,Temecula,9.0,29877
2012,Thousand Oaks,10.9,44979
2012,Torrance,8.1,56709
2012,Tracy,12.7,23332
2012,Turlock,14.3,23922
2012,Tustin,10.2,25315
2012,Union City,9.9,20137
2012,Upland,8.0,26452
2012,Vacaville,10.6,31090
2012,Vallejo,19.3,39666
2012,Victorville,18.2,31479
2012,Visalia,11.2,41717
2012,Vista,7.0,31892
2012,Walnut Creek,7.0,29359
2012,West Covina,14.2,29980
2012,Westminster,12.7,26057
2012,Whittier,9.4,28237
2012,Yorba Linda,9.2,21886
2012,Yuba City,13.1,21338
