year,GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
2018,Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
2018,1600000US0600562,Alameda,63939,42117,42646,42646,42646,30724,77221
2018,1600000US0600884,Alhambra,72616,42933,43887,43887,43887,30556,84081
2018,1600000US0602000,Anaheim,273400,177118,180144,180144,180144,101547,350225
2018,1600000US0602252,Antioch,86434,48634,50684,50684,50684,34518,111167
2018,1600000US0602364,Apple Valley,55183,25809,26432,26432,26432,24302,73193
2018,1600000US0602553,Arden-Arcade,85485,49975,50825,50825,50825,44426,107218
2018,1600000US0603526,Bakersfield,283923,162365,166626,166626,166626,121615,381673
2018,1600000US0603666,Baldwin Park,62045,37044,37753,37753,37753,18224,75460
2018,1600000US0604982,Bellflower,59627,38127,38931,38931,38931,24333,76797
2018,1600000US0606000,Berkeley,109560,60930,63601,63601,63601,43806,121328
2018,1600000US0608786,Buena Park,66782,43715,45911,45911,45911,23171,82198
2018,1600000US0608954,Burbank,87301,51844,52769,52769,52769,43060,103320
2018,1600000US0610046,Camarillo,56066,33877,34041,34041,34041,25137,68242
2018,1600000US0611194,Carlsbad,95000,57201,57491,57491,57491,44950,115030
2018,1600000US0611390,Carmichael,52398,30430,30651,30651,30651,26271,64867
2018,1600000US0611530,Carson,73340,42066,43614,43614,43614,23896,91777
2018,1600000US0611964,Castro Valley,50066,30865,31753,31753,31753,20371,62494
2018,1600000US0613014,Chico,78222,48002,49245,49245,49245,37100,94300
2018,1600000US0613210,Chino,73081,41048,41862,41862,41862,25509,84014
2018,1600000US0613214,Chino Hills,64497,39816,40052,40052,40052,24015,82861
2018,1600000US0613392,Chula Vista,207852,127543,126543,126543,126543,78112,267228
2018,1600000US0613588,Citrus Heights,71704,44225,45400,45400,45400,33390,87656
2018,1600000US0614218,Clovis,83500,50767,51531,51531,51531,38223,111505
2018,1600000US0615044,Compton,69130,34560,35336,35336,35336,24489,96493
2018,1600000US0616000,Concord,109702,72553,73104,73104,73104,49444,128726
2018,1600000US0616350,Corona,125550,78639,79558,79558,79558,43987,168242
2018,1600000US0616532,Costa Mesa,91546,62530,63542,63542,63542,40295,113281
2018,1600000US0617918,Daly City,92848,61407,62176,62176,62176,32792,106582
2018,1600000US0618100,Davis,60379,31936,32777,32777,32777,24796,69175
2018,1600000US0619766,Downey,90412,55372,56930,56930,56930,34820,111811
2018,1600000US0620802,East Los Angeles,92853,51754,53384,53384,53384,30851,117748
2018,1600000US0621712,El Cajon,80015,45459,46067,46067,46067,33153,101359
2018,1600000US0622020,Elk Grove,136557,78108,80183,80183,80183,53620,172481
2018,1600000US0622230,El Monte,90925,51030,52475,52475,52475,30469,114555
2018,1600000US0622804,Escondido,121440,73881,74053,74053,74053,51439,150422
2018,1600000US0623182,Fairfield,90122,57690,57169,57169,57169,38964,114314
2018,1600000US0624477,Florence-Graham,46105,25029,26219,26219,26219,14516,63591
2018,1600000US0624638,Folsom,60326,33669,34264,34264,34264,26845,73850
2018,1600000US0624680,Fontana,162367,102019,102898,102898,102898,54788,213243
2018,1600000US0626000,Fremont,190200,104219,124130,124130,124130,78243,237124
2018,1600000US0627000,Fresno,397408,212683,219244,219244,219244,171209,524272
2018,1600000US0628000,Fullerton,112857,69821,71233,71233,71233,45180,138633
2018,1600000US0629000,Garden Grove,141118,85990,87731,87731,87731,44696,172010
2018,1600000US0630000,Glendale,171105,96121,97641,97641,97641,73675,200091
2018,1600000US0632548,Hawthorne,68063,44954,47780,47780,47780,29174,86614
2018,1600000US0633000,Hayward,126690,57590,78738,78738,78738,48865,158766
2018,1600000US0633182,Hemet,67095,28726,N,29247,29247,28544,84696
2018,1600000US0633434,Hesperia,70663,35859,36602,36602,36602,27703,94938
2018,1600000US0636000,Huntington Beach,166124,102447,105224,105224,105224,76622,200146
2018,1600000US0636448,Indio,79130,42287,43059,43059,43059,40637,90711
2018,1600000US0636546,Inglewood,83748,52129,53851,53851,53851,35518,108993
2018,1600000US0636770,Irvine,226562,134876,136737,136737,136737,100150,282036
2018,1600000US0637692,Jurupa Valley,82985,45458,46817,46817,46817,23872,107699
2018,1600000US0639248,Laguna Niguel,56446,34915,35339,35339,35339,25471,66101
2018,1600000US0639486,Lake Elsinore,49810,28797,29212,29212,29212,17996,68072
2018,1600000US0639496,Lake Forest,68342,46352,46970,46970,46970,30760,85444
2018,1600000US0639892,Lakewood,66926,43086,44655,44655,44655,25993,80126
2018,1600000US0640130,Lancaster,115892,54287,54926,54926,54926,46309,153403
2018,1600000US0641992,Livermore,71675,47205,48342,48342,48342,30587,90051
2018,1600000US0642202,Lodi,50204,28773,29514,29514,29514,23951,66341
2018,1600000US0643000,Long Beach,380653,232103,238174,238174,238174,173432,464574
2018,1600000US0644000,Los Angeles,3274183,2004272,2060137,2060137,2060137,1382293,3961491
2018,1600000US0644574,Lynwood,52688,29041,N,29374,29374,15979,68349
2018,1600000US0645022,Madera,46565,24853,N,N,25987,18028,65515
2018,1600000US0645484,Manteca,64883,35282,35823,35823,35823,27051,81246
2018,1600000US0646842,Menifee,71349,36334,37131,37131,37131,28647,91972
2018,1600000US0646898,Merced,62756,29871,31529,31529,31529,26075,82625
2018,1600000US0647766,Milpitas,63484,38432,39307,39307,39307,23161,77597
2018,1600000US0648256,Mission Viejo,80814,49876,51141,51141,51141,33011,94661
2018,1600000US0648354,Modesto,161763,90531,92257,92257,92257,70756,213718
2018,1600000US0649270,Moreno Valley,157228,89069,91951,91951,91951,47952,208783
2018,1600000US0649670,Mountain View,67263,48189,48775,48775,48775,33400,83243
2018,1600000US0650076,Murrieta,84233,51727,52660,52660,52660,32391,114477
2018,1600000US0650258,Napa,63424,39395,40566,40566,40566,28245,78742
2018,1600000US0651182,Newport Beach,74376,43192,44771,44771,44771,38302,85105
2018,1600000US0652526,Norwalk,82830,46652,47350,47350,47350,26842,103728
2018,1600000US0653000,Oakland,355658,232041,235825,235825,235825,165590,426914
2018,1600000US0653322,Oceanside,143499,88452,89845,89845,89845,60537,174107
2018,1600000US0653896,Ontario,141605,89852,92395,92395,92395,50569,180622
2018,1600000US0653980,Orange,114931,67848,69634,69634,69634,42927,135013
2018,1600000US0654652,Oxnard,160744,103232,104190,104190,104190,51883,208749
2018,1600000US0655156,Palmdale,116513,65523,66401,66401,66401,45320,156446
2018,1600000US0655282,Palo Alto,54883,32534,33449,33449,33449,26518,66194
2018,1600000US0656000,Pasadena,116214,70546,71592,71592,71592,53901,140199
2018,1600000US0656700,Perris,55432,35528,N,35997,35997,17206,78986
2018,1600000US0657456,Pittsburg,55492,35432,36636,36636,36636,20823,72262
2018,1600000US0657792,Pleasanton,63676,41076,41839,41839,41839,27955,82245
2018,1600000US0658072,Pomona,117275,66606,68637,68637,68637,39422,151100
2018,1600000US0659444,Rancho Cordova,58799,33870,34333,34333,34333,27879,74248
2018,1600000US0659451,Rancho Cucamonga,139578,84304,85895,85895,85895,56354,174936
2018,1600000US0659920,Redding,74346,36720,37883,37883,37883,35476,90566
2018,1600000US0659962,Redlands,57994,33955,34787,34787,34787,25917,70970
2018,1600000US0660018,Redondo Beach,53696,36891,37983,37983,37983,26720,67218
2018,1600000US0660102,Redwood City,70519,48374,49459,49459,49459,29498,85341
2018,1600000US0660466,Rialto,78787,43680,44680,44680,44680,25485,103181
2018,1600000US0660620,Richmond,89028,55041,57791,57791,57791,36057,109322
2018,1600000US0662000,Riverside,261471,153890,156254,156254,156254,87341,327280
2018,1600000US0662364,Rocklin,52123,30895,31158,31158,31158,21206,67126
2018,1600000US0662938,Roseville,111184,66087,67678,67678,67678,51727,138579
2018,1600000US0664000,Sacramento,401032,235740,239523,239523,239523,182677,504120
2018,1600000US0664224,Salinas,112404,66700,67750,67750,67750,39881,155166
2018,1600000US0665000,San Bernardino,157976,84660,87251,87251,87251,58972,209043
2018,1600000US0665042,San Buenaventura (Ventura),91708,54400,55971,55971,55971,42744,109786
2018,1600000US0665084,San Clemente,53353,30267,31085,31085,31085,23213,64603
2018,1600000US0666000,San Diego,1169164,731657,715998,715998,715998,513698,1387892
2018,1600000US0667000,San Francisco,776750,524742,536653,536653,536653,362827,879045
2018,1600000US0668000,San Jose,828096,531575,544945,544945,544945,327848,1026474
2018,1600000US0668084,San Leandro,74963,46552,48974,48974,48974,30749,89354
2018,1600000US0668196,San Marcos,75532,48104,48552,48552,48552,30118,96451
2018,1600000US0668252,San Mateo,85185,55629,57250,57250,57250,38951,104646
2018,1600000US0668378,San Ramon,58236,38581,39114,39114,39114,26474,75726
2018,1600000US0669000,Santa Ana,256839,163194,164903,164903,164903,78786,329241
2018,1600000US0669070,Santa Barbara,77171,47188,48216,48216,48216,35647,90881
2018,1600000US0669084,Santa Clara,106403,68076,69561,69561,69561,45173,129155
2018,1600000US0669088,Santa Clarita,161611,101630,104395,104395,104395,67509,209667
2018,1600000US0669112,Santa Cruz,56788,30805,32237,32237,32237,21707,64303
2018,1600000US0669196,Santa Maria,75699,47074,47609,47609,47609,26336,107032
2018,1600000US0670000,Santa Monica,77587,50039,51654,51654,51654,44495,90748
2018,1600000US0670098,Santa Rosa,144293,89235,91478,91478,91478,65587,175765
2018,1600000US0672016,Simi Valley,103214,64830,66316,66316,66316,43069,125625
2018,1600000US0673080,South Gate,69775,41258,42578,42578,42578,23691,94374
2018,1600000US0673262,South San Francisco,57634,35528,37022,37022,37022,20774,67667
2018,1600000US0673430,South Whittier,50755,30698,30839,30839,30839,15783,65432
2018,1600000US0675000,Stockton,233360,125230,128717,128717,128717,95557,309343
2018,1600000US0677000,Sunnyvale,124878,87049,87937,87937,87937,56537,152517
2018,1600000US0678120,Temecula,83671,50080,49506,49506,49506,32859,113314
2018,1600000US0678582,Thousand Oaks,103707,61380,63109,63109,63109,44092,127295
2018,1600000US0680000,Torrance,118686,71269,72765,72765,72765,54991,144379
2018,1600000US0680238,Tracy,70020,44741,47555,47555,47555,25793,91604
2018,1600000US0680812,Turlock,55816,30154,32009,32009,32009,24140,72998
2018,1600000US0680854,Tustin,61759,41391,42447,42447,42447,24407,79575
2018,1600000US0681204,Union City,62520,24061,41356,41356,41356,19990,74432
2018,1600000US0681344,Upland,61238,38196,38690,38690,38690,26244,76534
2018,1600000US0681554,Vacaville,78756,44103,43884,43884,43884,32503,92106
2018,1600000US0681666,Vallejo,100343,58065,60125,60125,60125,41730,121265
2018,1600000US0682590,Victorville,85545,41125,41645,41645,41645,31624,118517
2018,1600000US0682954,Visalia,94625,53189,54744,54744,54744,42729,132621
2018,1600000US0682996,Vista,80155,53066,52888,52888,52888,30581,98808
2018,1600000US0683346,Walnut Creek,61508,32760,33435,33435,33435,31675,68981
2018,1600000US0684200,West Covina,85374,49396,51201,51201,51201,30333,105810
2018,1600000US0684550,Westminster,73177,39273,40373,40373,40373,27019,90763
2018,1600000US0685292,Whittier,70045,43205,44295,44295,44295,27672,85566
2018,1600000US0686832,Yorba Linda,53192,31503,31956,31956,31956,23217,67534
2018,1600000US0686972,Yuba City,51278,26968,27098,27098,27098,22524,65986
