Year,City,Unemployment Rate,Income
2011,Alameda,10.6,30335
2011,Alhambra,8.2,28816
2011,Anaheim,11.5,98586
2011,Antioch,18.7,32200
2011,Apple Valley,16.0,23599
2011,Arden-Arcade,15.8,40255
2011,Bakersfield,13.7,108123
2011,Baldwin Park,18.0,16680
2011,Bellflower,15.6,22358
2011,Berkeley,9.5,45338
2011,Buena Park,5.9,22487
2011,Burbank,8.4,39445
2011,Camarillo,10.8,22101
2011,Carlsbad,9.8,41226
2011,Carson,17.5,24849
2011,Chico,14.2,34688
2011,Chino,10.9,22161
2011,Chino Hills,12.7,22178
2011,Chula Vista,15.3,76231
2011,Citrus Heights,16.2,31170
2011,Clovis,14.6,33627
2011,Compton,19.5,22578
2011,Concord,13.8,44610
2011,Corona,12.4,44239
2011,Costa Mesa,9.4,42866
2011,Daly City,10.3,30184
2011,Davis,8.3,23483
2011,Downey,12.0,33642
2011,East Los Angeles,14.2,31264
2011,El Cajon,16.1,32696
2011,Elk Grove,11.9,47641
2011,El Monte,18.1,29772
2011,Escondido,9.6,44095
2011,Fairfield,9.8,32678
2011,Florence-Graham,9.6,15066
2011,Fontana,21.0,48601
2011,Fremont,7.6,70649
2011,Fresno,18.5,154747
2011,Fullerton,10.7,44570
2011,Garden Grove,12.0,45615
2011,Glendale,12.7,72301
2011,Hawthorne,9.6,28562
2011,Hayward,15.7,46863
2011,Hemet,21.8,32314
2011,Hesperia,21.6,26666
2011,Huntington Beach,10.9,75686
2011,Indio,18.4,23812
2011,Inglewood,12.4,37379
2011,Irvine,7.2,75284
2011,Lake Forest,7.1,26178
2011,Lakewood,11.3,26623
2011,Lancaster,15.0,47278
2011,Livermore,7.0,28674
2011,Long Beach,13.3,160059
2011,Los Angeles,12.8,1304145
2011,Lynwood,17.0,14238
2011,Manteca,22.0,21111
2011,Menifee,19.6,25603
2011,Merced,15.7,24220
2011,Milpitas,8.3,19392
2011,Mission Viejo,10.2,32012
2011,Modesto,16.6,67243
2011,Moreno Valley,17.7,50633
2011,Mountain View,9.9,31943
2011,Murrieta,11.6,32182
2011,Napa,10.0,28905
2011,Newport Beach,9.4,39415
2011,Norwalk,12.1,27266
2011,Oakland,12.3,157374
2011,Oceanside,11.3,56762
2011,Ontario,17.4,46571
2011,Orange,8.6,43462
2011,Oxnard,11.6,49415
2011,Palmdale,16.8,40783
2011,Palo Alto,3.9,26849
2011,Pasadena,8.6,55045
2011,Perris,23.1,16781
2011,Pittsburg,15.2,18953
2011,Pleasanton,9.3,24333
2011,Pomona,13.4,37972
2011,Rancho Cordova,17.7,23146
2011,Rancho Cucamonga,10.4,57158
2011,Redding,12.9,35025
2011,Redlands,9.3,24990
2011,Redondo Beach,8.1,28790
2011,Redwood City,8.6,28320
2011,Rialto,20.2,23852
2011,Richmond,12.0,36373
2011,Riverside,14.6,87476
2011,Roseville,7.7,44687
2011,Sacramento,15.6,170999
2011,Salinas,12.4,41518
2011,San Bernardino,21.8,58433
2011,San Buenaventura (Ventura),11.1,40401
2011,San Diego,10.3,468194
2011,San Francisco,7.4,342706
2011,San Jose,10.6,305460
2011,San Leandro,10.7,30627
2011,San Marcos,6.2,26053
2011,San Mateo,9.3,38380
2011,San Ramon,7.6,25120
2011,Santa Ana,10.6,73026
2011,Santa Barbara,8.4,33626
2011,Santa Clara,10.1,42398
2011,Santa Clarita,11.7,57799
2011,Santa Maria,11.7,27007
2011,Santa Monica,9.2,47181
2011,Santa Rosa,11.5,61489
2011,Simi Valley,8.6,40668
2011,South Gate,17.2,23601
2011,Stockton,19.3,89296
2011,Sunnyvale,10.3,52734
2011,Temecula,12.3,32474
2011,Thousand Oaks,10.2,46369
2011,Torrance,7.8,54670
2011,Tracy,15.4,24494
2011,Turlock,20.3,23505
2011,Tustin,7.4,24478
2011,Union City,8.2,20882
2011,Upland,8.1,26977
2011,Vacaville,14.0,31879
2011,Vallejo,15.6,40152
2011,Victorville,14.0,30374
2011,Visalia,12.7,42048
2011,Vista,8.5,29827
2011,Walnut Creek,6.4,27931
2011,West Covina,16.2,32136
2011,Westminster,11.0,28550
2011,Whittier,8.0,26922
2011,Yorba Linda,7.9,22109
2011,Yuba City,18.3,21943
