year,GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
2017,1600000US0623182,Fairfield,89371,53741,53039,53039,53039,37324,113183
2017,1600000US0624477,Florence-Graham,47753,26564,N,27118,27118,14918,68095
2017,1600000US0624638,Folsom,60835,35173,35901,35901,35901,28094,73942
2017,1600000US0624680,Fontana,156447,96286,96629,96629,96629,52767,211368
2017,1600000US0626000,Fremont,184698,82783,118010,118010,118010,72148,234341
2017,1600000US0627000,Fresno,393230,211863,219163,219163,219163,169409,522300
2017,1600000US0628000,Fullerton,112039,65959,67844,67844,67844,45632,139430
2017,1600000US0629000,Garden Grove,144107,86034,87114,87114,87114,48036,173407
2017,1600000US0630000,Glendale,173218,95339,97287,97287,97287,74613,201543
2017,1600000US0632548,Hawthorne,67204,43000,43736,43736,43736,29450,87432
2017,1600000US0633000,Hayward,129478,63317,86225,86225,86225,46860,159560
2017,1600000US0633182,Hemet,66360,29144,29316,29316,29316,29725,84315
2017,1600000US0633434,Hesperia,68246,32159,32492,32492,32492,25398,94708
2017,1600000US0636000,Huntington Beach,166784,104497,105779,105779,105779,77155,201298
2017,1600000US0636448,Indio,76410,38697,39793,39793,39793,35675,89348
2017,1600000US0636546,Inglewood,85974,50551,52220,52220,52220,35788,110268
2017,1600000US0636770,Irvine,220151,130220,133723,133723,133723,97161,277245
2017,1600000US0637692,Jurupa Valley,78568,44543,46944,46944,46944,23784,105455
2017,1600000US0639248,Laguna Niguel,54473,32120,32745,32745,32745,26133,66309
2017,1600000US0639486,Lake Elsinore,N,26743,27497,27497,27497,16388,66295
2017,1600000US0639496,Lake Forest,69802,45316,45993,45993,45993,29519,84161
2017,1600000US0639892,Lakewood,65052,38515,39291,39291,39291,25186,80821
2017,1600000US0640130,Lancaster,120708,59257,60240,60240,60240,48327,155056
2017,1600000US0641992,Livermore,71781,47157,48435,48435,48435,33085,90079
2017,1600000US0642202,Lodi,48820,26820,27840,27840,27840,22454,65388
2017,1600000US0643000,Long Beach,375636,226001,231225,231225,231225,167447,466896
2017,1600000US0644000,Los Angeles,3271960,1992316,2049713,2049713,2049713,1384851,3974895
2017,1600000US0644574,Lynwood,52269,26582,27104,27104,27104,15263,68591
2017,1600000US0645022,Madera,N,22553,N,N,23752,18079,65289
2017,1600000US0645484,Manteca,61377,32512,33677,33677,33677,24573,78944
2017,1600000US0646842,Menifee,73361,37568,37932,37932,37932,28891,90116
2017,1600000US0646898,Merced,60865,28080,29149,29149,29149,26278,82450
