Year,City,Percent Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - High School Graduate (and equivalent),"Percent Population 25 years and over - Some college, no degree",Percent Population 25 years and over - Associate's degree,Percent Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied
2010,Corona,7.9,9.2,20.6,26.7,10.6,18.2,6.8,153335.0,6.6,7.6,9.5,9.6,6.5,11.6,16.6,14.9,6.1,3.5,5.0,2.0,0.6,199.0,13.4,43598.0,285522.4,8.1,129.7811980304562,65.42960686270013,34.570393137299874
2010,Costa Mesa,6.2,8.9,13.9,25.5,10.5,24.9,10.1,110253.0,6.0,6.8,5.4,7.1,7.0,21.1,15.7,13.3,5.6,3.6,4.0,2.5,1.9,240.0,11.2,39391.0,509202.8,12.8,217.6811515332916,42.93874235231398,57.06125764768601
2010,Daly City,9.4,4.8,20.3,24.8,8.0,26.3,6.4,101361.0,5.8,6.0,5.7,6.4,6.7,16.5,13.9,14.1,7.2,6.0,6.7,3.4,1.6,250.0,9.8,30351.0,463131.7,6.6,246.64318623533708,52.48920958123291,47.51079041876709
2010,Downey,12.5,9.9,28.4,20.4,9.8,12.9,6.1,111922.0,5.4,7.5,8.3,7.6,7.2,14.2,15.6,14.4,5.7,3.9,5.5,2.8,1.9,394.0,13.9,34108.0,381950.9,7.5,352.0308786476296,49.495719479301044,50.504280520698956
2010,El Cajon,12.2,10.4,29.3,26.7,7.3,9.6,4.5,99841.0,8.1,6.1,8.4,8.4,9.3,15.1,12.0,15.0,4.6,3.2,5.2,3.4,1.2,387.0,15.6,29599.0,334617.0,24.7,387.6163099327932,35.95729585458968,64.04270414541033
2010,Elk Grove,5.1,4.2,14.9,27.2,14.4,25.7,8.4,153401.0,6.9,8.4,9.1,8.0,5.9,12.2,14.2,16.0,5.8,4.5,5.6,2.1,1.2,529.0,10.2,49300.0,231942.8,7.8,344.84781715894945,74.15415821501014,25.845841784989858
2010,El Monte,29.6,16.5,25.2,13.4,3.8,8.7,2.9,113614.0,7.0,5.9,7.2,9.3,7.6,14.7,13.5,13.1,5.9,4.6,5.9,3.9,1.6,600.0,12.3,27780.0,321057.4,19.9,528.103930853592,38.43052555795536,61.56947444204464
2010,Escondido,17.7,10.2,21.7,18.7,10.7,14.6,6.4,144402.0,7.6,6.5,7.1,6.3,7.4,16.7,13.2,11.6,4.2,4.2,5.1,5.4,4.6,597.0,10.4,43385.0,320736.8,15.6,413.4291768812066,48.429180592370635,51.570819407629365
2010,Fairfield,7.5,8.2,27.1,27.0,8.7,15.0,6.5,105580.0,7.0,8.6,8.2,6.5,7.3,15.2,13.2,14.9,5.6,3.8,5.8,3.3,0.7,502.0,12.2,34404.0,223137.9,9.5,475.4688387952264,59.87675851645158,40.12324148354842
2010,Fontana,12.6,12.8,27.8,23.6,6.9,11.2,5.1,196778.0,8.0,8.3,8.5,8.9,6.8,15.8,15.1,14.9,4.3,2.9,4.0,1.7,0.7,759.0,17.3,49290.0,210109.8,14.4,385.7138501255222,68.75431121931427,31.245688780685736
2010,Fremont,4.6,5.1,21.6,14.2,6.4,27.1,21.0,214613.0,7.3,7.0,5.9,5.5,5.7,14.4,16.5,16.7,5.8,5.2,5.1,3.4,1.6,488.0,11.0,71078.0,571789.1,4.7,227.38603905634795,64.93289062719829,35.06710937280171
2010,Fresno,14.9,10.6,22.7,23.1,8.7,13.9,6.2,496147.0,8.7,8.5,8.5,8.6,8.8,15.7,12.1,11.3,4.7,4.2,4.8,2.7,1.5,3034.0,16.0,152890.0,150796.0,24.4,611.5123138908428,49.05160572960952,50.94839427039047
2010,Fullerton,8.0,7.7,15.8,25.8,8.4,24.0,10.3,135541.0,6.2,6.6,7.4,7.6,9.1,14.1,14.3,14.0,4.2,4.7,5.9,3.9,2.1,425.0,11.5,42935.0,450221.5,11.1,313.5582591245453,54.02585303365552,45.97414696634448
2010,Garden Grove,13.0,12.0,22.6,23.2,7.5,17.2,4.5,171386.0,6.5,7.3,6.0,7.5,8.6,13.6,16.5,13.1,5.4,4.0,5.6,3.8,2.0,539.0,13.2,45622.0,358289.8,10.9,314.4947662002731,58.74578054447416,41.25421945552584
2010,Glendale,9.3,6.0,18.5,18.7,8.2,26.5,12.8,191954.0,5.2,5.3,6.6,6.5,5.9,13.6,14.3,16.2,7.3,5.4,6.5,5.6,1.5,277.0,12.7,68191.0,490846.5,10.9,144.30540650364148,39.623997301696704,60.376002698303296
2010,Hawthorne,12.5,11.0,26.3,23.7,7.3,13.8,5.4,84382.0,8.2,8.5,7.7,6.7,6.5,18.7,14.6,13.2,4.8,2.6,5.2,2.4,1.0,653.0,9.0,28889.0,362841.5,15.2,773.8617240643739,25.006057669008964,74.99394233099103
2010,Hayward,11.7,10.1,27.9,21.2,7.2,16.8,5.1,144549.0,7.5,7.8,6.6,6.6,8.4,16.2,13.7,14.5,5.3,4.3,4.7,3.2,1.3,652.0,18.1,43335.0,300951.4,11.9,451.05811870023314,52.8879658474674,47.112034152532594
2010,Hemet,5.6,15.4,30.7,29.1,6.1,8.6,4.5,79157.0,9.1,8.5,5.8,8.3,5.1,11.8,10.2,11.5,4.1,4.9,9.2,7.0,4.4,369.0,23.2,29954.0,119898.8,16.8,466.162184014048,61.44755291446885,38.55244708553115
2010,Hesperia,10.0,15.0,32.4,26.4,5.2,6.7,4.3,90486.0,9.5,7.2,7.0,10.9,8.6,10.8,11.7,13.9,5.3,5.1,4.8,3.7,1.4,287.0,21.5,26411.0,119734.5,15.2,317.17613774506555,64.6889553595093,35.3110446404907
2010,Huntington Beach,4.1,4.8,17.2,26.2,9.8,23.6,14.3,190541.0,5.3,4.8,5.8,6.4,6.9,13.0,12.9,16.4,6.7,6.8,8.1,5.0,2.0,449.0,10.9,74874.0,569740.6,5.0,235.64482184936574,59.93001575980982,40.06998424019019
2010,Indio,16.1,12.8,22.5,17.8,10.9,11.4,8.5,76512.0,7.1,9.0,9.5,8.7,5.7,13.2,11.1,12.2,4.2,4.9,8.7,3.9,1.9,453.0,17.5,24519.0,187699.1,23.3,592.0639899623588,67.53130225539378,32.468697744606224
2010,Inglewood,17.4,13.9,20.6,26.8,5.1,10.9,5.3,109799.0,8.8,6.4,6.3,7.5,8.8,15.7,13.6,14.3,5.2,4.1,6.2,2.6,0.6,843.0,14.5,34712.0,245540.2,20.4,767.7665552509586,37.39917031574095,62.60082968425904
2010,Irvine,2.4,1.9,8.2,15.1,6.1,38.7,27.5,212982.0,4.6,6.6,5.8,8.8,10.8,16.2,16.3,12.6,5.6,4.2,5.2,2.3,1.0,120.0,7.8,76172.0,607857.1,6.6,56.3427895315097,50.1010870136008,49.8989129863992
2010,Lake Forest,6.4,3.1,15.4,21.4,9.3,29.2,15.2,77482.0,7.2,7.8,9.1,6.9,4.5,10.9,17.3,17.7,4.6,3.7,5.6,3.0,1.5,92.0,8.0,26602.0,455295.9,6.3,118.73725510441135,69.27298699345914,30.727013006540858
2010,Lakewood,7.5,8.8,21.0,25.8,10.3,16.9,9.7,80154.0,7.4,7.4,5.6,7.1,6.8,14.8,10.4,15.0,8.1,5.3,5.9,4.2,1.8,296.0,11.4,26485.0,389600.0,8.3,369.2891184469895,72.81480083065887,27.185199169341136
2010,Lancaster,8.2,13.8,26.9,26.4,8.2,10.4,6.1,156786.0,7.4,8.6,8.8,9.3,6.9,14.4,12.0,14.3,5.4,3.9,5.0,2.6,1.4,900.0,13.0,47466.0,134834.8,17.3,574.030844590716,60.0261239624152,39.9738760375848
2010,Long Beach,11.2,10.6,19.2,23.3,8.0,18.0,9.7,462793.0,6.8,6.4,6.5,8.5,8.4,16.0,14.9,13.1,5.6,5.1,5.0,2.7,1.2,2720.0,14.4,158386.0,356474.0,15.1,587.7357695557193,39.57546752869572,60.42453247130428
2010,Los Angeles,16.1,10.0,19.1,18.3,5.8,20.4,10.3,3797144.0,6.7,6.3,6.2,7.1,8.4,16.9,14.9,13.3,5.4,4.5,5.6,3.3,1.4,21484.0,13.0,1310259.0,401529.2,17.6,565.7936596557834,37.62828570534528,62.37171429465472
2010,Lynwood,30.5,18.5,28.4,15.4,2.4,3.5,1.1,69863.0,7.7,7.2,7.9,11.6,10.2,15.4,15.4,12.4,3.9,3.0,2.8,2.0,0.5,615.0,16.1,15511.0,213235.1,21.1,880.2942902537824,46.747469537747406,53.25253046225259
2010,Manteca,10.5,6.3,28.5,30.0,8.9,12.0,3.9,67338.0,9.6,6.1,11.6,7.3,5.9,16.5,10.1,14.0,6.4,3.4,5.8,2.1,1.2,241.0,15.0,22451.0,191267.7,7.0,357.8959874068134,57.89497127076745,42.10502872923255
2010,Merced,16.8,11.7,21.2,28.2,8.0,9.7,4.5,79254.0,8.9,9.1,7.9,10.5,7.8,14.9,12.2,10.8,3.9,4.2,5.5,2.4,2.0,549.0,13.3,23350.0,123133.7,19.7,692.709516238928,42.58672376873662,57.41327623126339
2010,Milpitas,7.1,8.6,18.2,16.2,9.4,25.7,14.8,67011.0,5.7,5.5,6.3,5.7,6.0,18.6,16.8,14.8,6.8,5.7,4.8,2.8,0.4,91.0,8.6,19127.0,475092.7,3.4,135.79860022981302,63.09405552360538,36.90594447639462
2010,Mission Viejo,2.1,2.6,15.9,24.2,11.6,27.7,15.9,93585.0,5.0,5.3,6.9,6.3,5.1,11.0,12.4,18.7,7.4,6.8,8.5,4.5,2.2,70.0,8.3,33734.0,481079.8,2.8,74.7983116952503,76.81863994782712,23.18136005217288
2010,Modesto,8.2,10.4,28.1,27.8,7.7,10.9,6.7,201520.0,8.1,7.6,8.0,7.4,6.7,14.0,13.2,11.8,7.0,4.6,5.5,3.9,2.1,1398.0,16.8,69452.0,137571.5,17.1,693.7276697102025,55.10424465818119,44.89575534181881
2010,Moreno Valley,13.7,13.2,26.8,25.4,6.8,10.2,3.9,194592.0,8.6,8.5,10.6,10.4,8.2,13.7,13.9,12.0,4.4,3.5,3.5,2.3,0.4,724.0,16.9,49040.0,154877.9,17.4,372.0605163624404,61.3968189233279,38.60318107667211
2010,Mountain View,4.2,4.1,11.0,16.3,4.6,26.5,33.3,74320.0,6.3,4.9,4.9,5.0,5.4,18.3,22.8,11.7,4.7,4.2,6.9,2.8,2.1,168.0,9.0,32019.0,662831.4,2.1,226.04951560818085,41.57843780255474,58.42156219744526
2010,Murrieta,4.8,5.1,22.3,32.0,7.5,18.0,10.2,104108.0,7.3,10.3,8.4,8.8,6.6,14.6,12.4,13.3,5.0,3.2,4.8,3.8,1.3,99.0,12.3,30651.0,243440.2,8.1,95.09355669112844,69.29627092101398,30.703729078986004
2010,Napa,12.8,7.4,21.7,23.9,9.0,16.3,8.9,77122.0,7.4,6.8,5.6,7.5,5.9,12.5,13.9,14.1,6.3,6.5,5.4,6.0,2.3,245.0,11.6,28681.0,397573.8,12.8,317.6784834418194,58.247620375858574,41.75237962414142
2010,Norwalk,15.4,12.2,25.5,22.1,6.6,12.6,5.6,105686.0,5.9,8.2,8.1,8.2,6.9,13.6,16.0,13.4,4.5,4.9,5.8,3.1,1.3,449.0,12.4,27796.0,275581.0,12.9,424.8434040459474,63.260900849043026,36.739099150956974
2010,Oakland,11.8,8.3,16.9,20.0,5.5,21.5,15.9,391672.0,6.5,6.2,5.4,6.1,6.4,16.7,16.4,13.4,6.0,5.1,6.1,3.5,2.2,6267.0,12.9,151808.0,334125.3,18.0,1600.0633182867298,40.54265914839797,59.45734085160203
2010,Oceanside,11.4,6.9,21.1,26.5,10.1,15.2,8.7,167680.0,6.4,7.2,6.8,7.9,7.2,15.1,13.2,14.2,5.6,4.4,5.6,4.5,2.0,650.0,11.4,55896.0,311560.0,10.4,387.64312977099235,57.496064119078284,42.50393588092171
2010,Ontario,18.2,15.3,24.6,22.9,6.3,8.6,4.2,164517.0,7.0,8.4,7.9,10.2,8.8,13.9,15.3,12.5,5.0,3.9,4.3,2.2,0.6,630.0,16.8,42752.0,215839.6,13.8,382.939149145681,53.248970808383234,46.751029191616766
2010,Orange,7.5,10.7,18.0,20.8,6.4,24.4,12.1,136803.0,6.2,6.0,7.9,9.4,5.9,13.8,14.7,15.3,6.3,4.2,6.2,3.1,1.0,150.0,11.2,41986.0,461099.1,8.0,109.64671827372206,55.77811651502882,44.22188348497118
