Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2012,San Ramon,233,0.5,579,1.2,5808,11.8,7723,15.7,4119,8.4,17176,34.9,13583,27.6
2012,Santa Ana,50207,26.4,36520,19.2,45930,24.1,28060,14.7,8502,4.5,14792,7.8,6499,3.4
2012,Santa Barbara,4670,7.7,4175,6.9,8932,14.7,12521,20.6,5165,8.5,14912,24.5,10400,17.1
2012,Santa Clara,4207,5.2,4079,5.1,11328,14.1,11397,14.2,5924,7.4,25047,31.2,18294,22.8
2012,Santa Clarita,5382,4.6,8083,6.9,22347,19.0,30130,25.7,12879,11.0,26241,22.4,12297,10.5
2012,Santa Maria,18209,31.0,7349,12.5,12074,20.5,10630,18.1,3610,6.1,4964,8.4,1959,3.3
2012,Santa Monica,1640,2.4,1871,2.7,5932,8.5,10858,15.6,3882,5.6,26818,38.6,18527,26.6
2012,Santa Rosa,8857,7.7,8329,7.2,23684,20.5,29087,25.1,10939,9.5,22899,19.8,11901,10.3
2012,Simi Valley,2574,3.1,5081,6.1,16600,20.0,21121,25.5,8702,10.5,20146,24.3,8635,10.4
2012,South Gate,16754,30.0,8879,15.9,14828,26.6,9473,17.0,1929,3.5,3281,5.9,615,1.1
2012,South San Francisco,2668,5.9,4445,9.9,10649,23.7,9389,20.9,3854,8.6,10401,23.1,3551,7.9
2012,Stockton,21339,12.4,20400,11.9,39813,23.2,42995,25.0,16431,9.6,21974,12.8,8702,5.1
2012,Sunnyvale,6486,6.3,5588,5.4,11372,11.1,13450,13.1,5504,5.4,29994,29.2,30266,29.5
2012,Temecula,2861,4.7,3459,5.7,11102,18.4,17852,29.5,5458,9.0,14328,23.7,5375,8.9
2012,Thousand Oaks,4440,5.1,2795,3.2,12830,14.8,17957,20.7,6998,8.1,25410,29.4,16128,18.6
