Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2010,Alameda,2752,5.5,2234,4.5,8546,17.0,10009,19.9,2894,5.8,15544,31.0,8201,16.3
2010,Alhambra,6236,10.1,4575,7.4,13358,21.7,12091,19.6,5497,8.9,13368,21.7,6442,10.5
2010,Anaheim,32561,15.5,22329,10.7,50982,24.3,39407,18.8,14130,6.7,37672,18.0,12560,6.0
2010,Antioch,4874,7.7,4633,7.3,17092,26.9,20113,31.7,5569,8.8,8629,13.6,2617,4.1
2010,Apple Valley,639,1.5,3353,7.7,14524,33.4,11690,26.9,4802,11.0,4582,10.5,3919,9.0
2010,Arden-Arcade,3390,5.6,3924,6.5,10151,16.8,18429,30.5,4482,7.4,11857,19.6,8121,13.5
2010,Bakersfield,19765,10.0,21012,10.6,49021,24.8,52715,26.6,15200,7.7,26401,13.3,13850,7.0
2010,Baldwin Park,11088,24.6,7978,17.7,11175,24.8,7247,16.1,1769,3.9,4832,10.7,1007,2.2
2010,Bellflower,5862,12.1,5233,10.8,14391,29.6,11567,23.8,3107,6.4,7129,14.7,1274,2.6
2010,Berkeley,1739,2.6,2635,3.9,5909,8.7,9209,13.5,2320,3.4,20699,30.5,25460,37.5
2010,Buena Park,3799,7.4,5598,11.0,10768,21.1,13015,25.5,4133,8.1,10904,21.4,2830,5.5
2010,Burbank,5775,7.6,4504,5.9,13482,17.7,17831,23.4,6611,8.7,19599,25.8,8262,10.9
2010,Camarillo,1260,2.7,2623,5.6,8233,17.5,11654,24.8,4946,10.5,11377,24.2,6872,14.6
2010,Carlsbad,1711,2.3,1746,2.4,11423,15.5,12248,16.7,9174,12.5,23131,31.5,14093,19.2
2010,Carson,6362,10.9,5724,9.8,12577,21.5,13604,23.2,5769,9.8,11339,19.3,3257,5.6
2010,Chico,2461,4.9,3013,6.0,8165,16.3,15248,30.4,5470,10.9,9795,19.5,6070,12.1
2010,Chino,5208,10.9,5477,11.5,9829,20.6,12033,25.2,3778,7.9,8059,16.9,3384,7.1
2010,Chino Hills,2239,4.7,2188,4.6,9279,19.4,10440,21.8,4256,8.9,12898,26.9,6596,13.8
2010,Chula Vista,11261,7.5,14356,9.5,30556,20.3,36147,24.0,14324,9.5,29728,19.8,13954,9.3
2010,Citrus Heights,2141,3.8,4506,7.9,15740,27.6,18862,33.1,5491,9.6,8148,14.3,2140,3.8
2010,Clovis,2065,3.5,3488,5.9,11213,19.1,17143,29.2,5522,9.4,12428,21.1,6933,11.8
2010,Compton,12954,24.7,8331,15.9,14689,28.0,10057,19.2,3543,6.8,1930,3.7,953,1.8
2010,Concord,6352,7.5,3141,3.7,19394,23.0,20219,23.9,6619,7.8,19847,23.5,8884,10.5
