Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2011,Alameda,1694,3.2,2061,3.8,8078,15.0,10046,18.7,5758,10.7,17496,32.6,8616,16.0
2011,Alhambra,7768,12.5,5472,8.8,12470,20.1,12144,19.6,4347,7.0,13231,21.3,6657,10.7
2011,Anaheim,27900,13.0,27795,13.0,48998,22.9,44048,20.6,12747,6.0,37083,17.3,15266,7.1
2011,Antioch,3722,5.7,4615,7.1,21048,32.4,18991,29.2,6258,9.6,8239,12.7,2093,3.2
2011,Apple Valley,1236,2.8,4197,9.4,13234,29.6,15239,34.1,3260,7.3,4150,9.3,3368,7.5
2011,Arden-Arcade,3351,5.2,3891,6.1,11217,17.5,18876,29.5,4902,7.7,13291,20.7,8528,13.3
2011,Bakersfield,18496,9.2,23457,11.6,50909,25.2,51339,25.4,17123,8.5,27376,13.6,13301,6.6
2011,Baldwin Park,11350,25.6,8566,19.3,11224,25.3,6865,15.5,1390,3.1,3914,8.8,973,2.2
2011,Bellflower,5504,12.7,6062,13.9,12157,28.0,10880,25.0,2811,6.5,4723,10.9,1348,3.1
2011,Berkeley,1342,1.8,2139,2.9,5698,7.8,9337,12.8,3685,5.1,22635,31.1,27970,38.4
2011,Buena Park,4059,7.7,5348,10.1,12491,23.6,11212,21.2,3585,6.8,12644,23.9,3592,6.8
2011,Burbank,4708,6.2,4018,5.3,14566,19.2,18508,24.4,8335,11.0,19717,26.0,5989,7.9
2011,Camarillo,2474,5.7,1311,3.0,8450,19.4,10560,24.2,5063,11.6,9305,21.3,6466,14.8
2011,Carlsbad,1414,1.9,1429,1.9,8600,11.5,14584,19.6,10062,13.5,22365,30.0,16140,21.6
2011,Carson,6421,10.6,6804,11.2,12857,21.2,12124,20.0,6353,10.5,12210,20.1,3945,6.5
2011,Chico,2049,4.1,2592,5.2,8654,17.4,15022,30.2,4093,8.2,11890,23.9,5433,10.9
2011,Chino,3159,6.0,5065,9.6,15947,30.2,11301,21.4,4720,8.9,9695,18.4,2872,5.4
2011,Chino Hills,1138,2.5,1767,3.8,8078,17.5,12824,27.8,3253,7.1,13022,28.2,6038,13.1
2011,Chula Vista,12039,7.7,15708,10.1,33240,21.3,39189,25.1,15884,10.2,28459,18.2,11768,7.5
2011,Citrus Heights,1789,3.2,3494,6.3,15361,27.8,18122,32.8,5847,10.6,7459,13.5,3225,5.8
2011,Clovis,3457,5.6,5195,8.5,13834,22.6,16152,26.4,5389,8.8,10971,17.9,6204,10.1
2011,Compton,12914,24.0,10664,19.8,12887,23.9,11045,20.5,3199,5.9,2402,4.5,806,1.5
2011,Concord,4308,5.1,6117,7.2,21755,25.6,19527,22.9,7113,8.4,17478,20.5,8799,10.3
2011,Corona,6245,6.6,6678,7.1,23608,25.1,24475,26.0,6980,7.4,17996,19.1,8083,8.6
2011,Costa Mesa,5926,7.8,4808,6.3,11904,15.7,17064,22.5,8034,10.6,18752,24.7,9322,12.3
2011,Daly City,5329,7.3,5145,7.1,16106,22.1,17157,23.5,6784,9.3,18423,25.3,4007,5.5
2011,Davis,489,1.5,1069,3.3,2543,7.9,4084,12.7,1478,4.6,9157,28.5,13331,41.5
2011,Downey,8854,12.3,7997,11.2,20672,28.8,15552,21.7,4934,6.9,10487,14.6,3215,4.5
2011,East Los Angeles,23499,31.3,15814,21.1,18012,24.0,10111,13.5,3240,4.3,3459,4.6,861,1.1
2011,El Cajon,4534,7.2,9225,14.5,18105,28.6,15382,24.3,4238,6.7,8091,12.8,3828,6.0
2011,Elk Grove,4578,4.7,4475,4.6,19312,19.8,24770,25.5,9726,10.0,21248,21.8,13218,13.6
2011,El Monte,18295,25.2,14110,19.4,19790,27.2,9628,13.2,3353,4.6,6249,8.6,1266,1.7
2011,Escondido,16076,17.7,11106,12.2,18477,20.4,15238,16.8,12202,13.5,12299,13.6,5313,5.9
2011,Fairfield,3509,5.4,4357,6.7,15570,23.9,20842,32.0,5980,9.2,11273,17.3,3663,5.6
2011,Florence-Graham,13585,38.0,7605,21.3,8434,23.6,4134,11.6,770,2.2,960,2.7,247,0.7
2011,Folsom,757,1.5,2697,5.5,6437,13.1,10417,21.2,5776,11.8,14618,29.8,8373,17.1
2011,Fontana,21044,18.1,14569,12.5,28434,24.5,26592,22.9,8873,7.6,12814,11.0,3946,3.4
2011,Fremont,6299,4.3,7996,5.4,29798,20.3,18734,12.8,8571,5.8,41065,28.0,34367,23.4
2011,Fresno,42354,14.8,31637,11.0,69875,24.4,68507,23.9,19477,6.8,38663,13.5,16031,5.6
2011,Fullerton,5896,6.6,5611,6.3,17300,19.5,17944,20.2,7844,8.8,21731,24.5,12540,14.1
2011,Garden Grove,16225,14.8,13037,11.9,26463,24.1,24544,22.4,8536,7.8,15955,14.6,4885,4.5
2011,Glendale,14773,10.5,9335,6.6,27029,19.1,27425,19.4,12059,8.5,34838,24.7,15789,11.2
2011,Hawthorne,6925,13.7,6898,13.6,11755,23.2,12610,24.9,4332,8.6,5447,10.8,2616,5.2
2011,Hayward,11810,12.5,8165,8.7,26995,28.6,20107,21.3,5970,6.3,15573,16.5,5643,6.0
2011,Hemet,4549,8.1,6183,11.0,18772,33.5,15709,28.1,3206,5.7,4862,8.7,2697,4.8
2011,Hesperia,4727,8.8,7370,13.8,17618,33.0,15658,29.3,3048,5.7,3520,6.6,1501,2.8
2011,Huntington Beach,3430,2.5,4826,3.5,25380,18.3,34568,24.9,15131,10.9,35923,25.8,19775,14.2
2011,Indio,5108,10.8,7061,14.9,12745,27.0,11693,24.7,3397,7.2,4459,9.4,2792,5.9
2011,Inglewood,12790,18.1,6497,9.2,13510,19.2,19254,27.3,5519,7.8,8653,12.3,4260,6.0
2011,Irvine,2898,2.1,1356,1.0,15358,11.3,22366,16.5,8662,6.4,48966,36.1,36217,26.7
2011,Lake Forest,2472,4.7,1542,2.9,6168,11.7,13014,24.7,5394,10.3,17728,33.7,6298,12.0
