Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2014,Alameda,2688,4.8,2710,4.8,7422,13.2,11957,21.2,3339,5.9,16683,29.6,11532,20.5
2014,Alhambra,7599,12.3,5436,8.8,14238,23.0,11022,17.8,5754,9.3,12019,19.4,5824,9.4
2014,Anaheim,28700,12.8,20520,9.2,51665,23.0,50435,22.5,14840,6.6,41259,18.4,16803,7.5
2014,Antioch,3502,5.0,5453,7.9,20960,30.2,19532,28.2,4502,6.5,10741,15.5,4676,6.7
2014,Apple Valley,791,1.7,4846,10.5,13653,29.5,13631,29.4,5238,11.3,4979,10.7,3207,6.9
2014,Arden-Arcade,2490,3.7,3759,5.6,13670,20.5,15575,23.4,4931,7.4,16978,25.5,9201,13.8
2014,Bakersfield,19565,9.0,19576,9.0,57443,26.4,59265,27.3,15451,7.1,31108,14.3,14769,6.8
2014,Baldwin Park,9157,18.4,5056,10.2,18632,37.5,7019,14.1,3919,7.9,4669,9.4,1257,2.5
2014,Bellflower,7023,13.9,4828,9.5,14336,28.3,12556,24.8,3449,6.8,6590,13.0,1794,3.5
2014,Berkeley,1513,2.2,915,1.3,5699,8.2,7657,11.0,3371,4.8,24045,34.5,26447,38.0
2014,Buena Park,5059,9.2,2969,5.4,13260,24.1,12664,23.0,4755,8.6,13437,24.4,2955,5.4
2014,Burbank,4017,5.3,4674,6.2,13762,18.2,14044,18.5,7775,10.3,22881,30.2,8620,11.4
2014,Camarillo,2332,5.2,1351,3.0,6738,14.9,11552,25.5,4609,10.2,11074,24.5,7599,16.8
2014,Carlsbad,969,1.2,1778,2.2,8150,10.3,13998,17.6,6396,8.1,27704,34.9,20326,25.6
2014,Carmichael,1358,2.8,1711,3.5,10120,20.6,13753,28.0,5366,10.9,10818,22.0,5985,12.2
2014,Carson,6784,11.1,6116,10.0,14150,23.1,15945,26.1,4741,7.7,9455,15.5,3986,6.5
2014,Chico,1322,2.6,1826,3.6,9545,18.7,13129,25.7,5447,10.7,12900,25.3,6860,13.4
2014,Chino,5626,9.7,8753,15.2,14025,24.3,15728,27.2,3672,6.4,6603,11.4,3358,5.8
2014,Chino Hills,1409,2.8,1911,3.8,7608,15.0,12113,23.8,4956,9.7,15442,30.4,7402,14.6
2014,Chula Vista,14594,8.8,17938,10.8,31571,19.0,41368,24.9,14374,8.7,32241,19.4,13805,8.3
2014,Citrus Heights,1768,2.9,3616,6.0,17533,29.0,18710,31.0,6917,11.4,7759,12.8,4131,6.8
2014,Clovis,2739,4.4,4885,7.9,13257,21.3,16852,27.1,6467,10.4,11712,18.8,6276,10.1
2014,Compton,13283,23.7,9399,16.7,14068,25.0,12375,22.0,3517,6.3,2628,4.7,890,1.6
2014,Concord,5861,6.5,6462,7.1,21951,24.2,20317,22.4,7792,8.6,18954,20.9,9183,10.1
2014,Corona,5538,5.2,9926,9.4,27074,25.6,26923,25.5,6895,6.5,18676,17.7,10538,10.0
2014,Costa Mesa,7501,9.9,5108,6.7,13304,17.6,16208,21.4,5896,7.8,20615,27.2,7076,9.3
2014,Daly City,8226,10.9,4209,5.6,16492,21.8,15252,20.2,5314,7.0,20835,27.5,5333,7.0
2014,Davis,928,2.6,373,1.1,3229,9.2,3547,10.1,1667,4.8,8626,24.6,16662,47.6
2014,Downey,10262,13.1,8542,10.9,20009,25.6,15746,20.1,5329,6.8,12328,15.8,5937,7.6
2014,East Los Angeles,26333,35.4,12237,16.5,17355,23.4,11050,14.9,3421,4.6,2947,4.0,946,1.3
2014,El Cajon,8499,12.9,5929,9.0,16821,25.4,17208,26.0,5002,7.6,8900,13.5,3739,5.7
2014,Elk Grove,5039,4.9,4452,4.3,20741,20.0,27256,26.3,11373,11.0,24972,24.1,9860,9.5
2014,El Monte,21483,28.5,12479,16.5,18937,25.1,10496,13.9,4572,6.1,6143,8.1,1390,1.8
2014,Escondido,14195,15.1,8859,9.4,20923,22.3,21078,22.5,6331,6.7,16348,17.4,6121,6.5
2014,Fairfield,7911,10.9,5465,7.5,15351,21.1,21394,29.4,6030,8.3,12585,17.3,4075,5.6
2014,Folsom,1807,3.4,3641,6.8,9053,16.9,9577,17.9,4802,9.0,14443,26.9,10319,19.2
2014,Fontana,17014,13.8,15979,13.0,33717,27.4,27364,22.3,8447,6.9,15149,12.3,5295,4.3
2014,Fremont,5169,3.2,6767,4.3,29505,18.5,22902,14.4,10796,6.8,45281,28.5,38656,24.3
2014,Fresno,40224,13.2,37368,12.2,68392,22.4,70552,23.1,25632,8.4,42850,14.0,20607,6.7
2014,Fullerton,7329,8.6,4862,5.7,15637,18.4,18014,21.2,6787,8.0,20586,24.2,11897,14.0
2014,Garden Grove,17837,15.2,11038,9.4,28348,24.1,28052,23.9,8499,7.2,17300,14.7,6496,5.5
2014,Glendale,14610,9.8,7503,5.0,30103,20.2,29409,19.7,11885,8.0,35994,24.1,19848,13.3
2014,Hawthorne,8923,16.0,4936,8.9,12798,23.0,13787,24.7,4301,7.7,8030,14.4,2976,5.3
2014,Hayward,12294,11.5,8463,7.9,25372,23.7,23852,22.3,8379,7.8,19920,18.6,8571,8.0
2014,Hemet,5080,9.2,6200,11.2,17506,31.8,14530,26.4,4479,8.1,5094,9.2,2248,4.1
2014,Hesperia,4863,9.3,7442,14.2,15479,29.6,15664,30.0,4514,8.6,2829,5.4,1437,2.8
