Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2013,Alameda,3290,5.8,3426,6.0,8018,14.1,11516,20.3,4326,7.6,15554,27.4,10573,18.6
2013,Alhambra,7149,11.9,3975,6.6,12058,20.2,9903,16.6,4952,8.3,15401,25.7,6394,10.7
2013,Anaheim,31185,14.1,20998,9.5,51462,23.2,49081,22.2,13604,6.1,37791,17.1,17406,7.9
2013,Antioch,4128,6.2,5265,7.9,17518,26.3,19877,29.8,6872,10.3,10125,15.2,2817,4.2
2013,Apple Valley,1750,3.7,4122,8.8,14539,31.0,13587,29.0,5413,11.5,3849,8.2,3626,7.7
2013,Arden-Arcade,2015,3.2,3001,4.7,12428,19.6,18323,28.9,6201,9.8,14144,22.3,7269,11.5
2013,Bakersfield,23492,11.1,19431,9.2,52526,24.9,55454,26.3,17061,8.1,29929,14.2,12973,6.2
2013,Baldwin Park,11050,23.1,6093,12.8,17663,37.0,6283,13.2,1741,3.6,3673,7.7,1248,2.6
2013,Bellflower,4937,10.0,4237,8.6,14352,29.2,11613,23.6,5212,10.6,6652,13.5,2153,4.4
2013,Berkeley,2376,3.2,1934,2.6,6083,8.1,10625,14.2,2792,3.7,24674,33.0,26279,35.1
2013,Buena Park,3097,5.9,4021,7.6,14060,26.7,13109,24.9,3202,6.1,10601,20.1,4529,8.6
2013,Burbank,5149,6.6,4642,6.0,13671,17.6,15988,20.5,7220,9.3,22372,28.7,8851,11.4
2013,Camarillo,1281,2.8,2780,6.0,8724,19.0,11725,25.5,4346,9.4,9967,21.7,7192,15.6
2013,Carlsbad,1501,1.9,2158,2.8,10081,12.9,16894,21.7,7786,10.0,23488,30.1,16050,20.6
2013,Carmichael,1372,3.1,2692,6.0,8629,19.3,12366,27.7,3549,8.0,9285,20.8,6715,15.1
2013,Carson,7101,11.5,4636,7.5,13568,21.9,14413,23.3,6525,10.5,10890,17.6,4781,7.7
2013,Chico,1124,2.1,2663,5.1,8016,15.2,15010,28.6,5846,11.1,12522,23.8,7383,14.0
2013,Chino,5603,11.0,7361,14.5,11073,21.8,12710,25.0,3427,6.8,7437,14.7,3150,6.2
2013,Chino Hills,1748,3.6,1468,3.1,8770,18.2,9864,20.5,4449,9.2,15641,32.5,6174,12.8
2013,Chula Vista,17589,11.0,16098,10.1,32302,20.2,37973,23.7,15237,9.5,27826,17.4,13148,8.2
2013,Citrus Heights,2514,4.1,3536,5.8,15723,26.0,20375,33.6,7434,12.3,7707,12.7,3293,5.4
2013,Clovis,2019,3.3,4762,7.7,11668,19.0,15827,25.8,7445,12.1,13186,21.5,6557,10.7
2013,Compton,14866,26.9,8433,15.3,14727,26.6,11678,21.1,2364,4.3,2395,4.3,825,1.5
2013,Concord,5579,6.5,6846,7.9,18817,21.8,21879,25.3,8178,9.5,18074,20.9,7006,8.1
2013,Corona,6244,6.1,9671,9.5,25346,24.9,24625,24.2,8994,8.8,17947,17.7,8802,8.7
2013,Costa Mesa,5040,6.5,3854,5.0,14239,18.5,17409,22.6,6626,8.6,22221,28.9,7632,9.9
2013,Daly City,5876,7.9,5636,7.6,16353,22.0,14721,19.8,6511,8.8,21067,28.3,4156,5.6
2013,Davis,707,2.0,715,2.0,2953,8.3,4254,11.9,1702,4.8,11000,30.8,14334,40.2
2013,Downey,8302,11.9,8831,12.6,15946,22.8,15520,22.2,7405,10.6,9945,14.2,4080,5.8
2013,East Los Angeles,28589,36.0,13691,17.3,19035,24.0,9501,12.0,3725,4.7,3728,4.7,1039,1.3
2013,El Cajon,5655,8.9,6422,10.1,21108,33.2,15830,24.9,4207,6.6,6736,10.6,3658,5.8
2013,Elk Grove,5186,5.3,4893,5.0,20167,20.8,20547,21.2,12006,12.4,24119,24.8,10185,10.5
2013,El Monte,19134,24.8,11112,14.4,23814,30.9,10022,13.0,4009,5.2,7397,9.6,1679,2.2
2013,Escondido,16666,17.8,11452,12.2,19172,20.4,17650,18.8,9713,10.4,13264,14.1,5913,6.3
2013,Fairfield,4758,7.0,4554,6.7,18569,27.3,18511,27.3,5758,8.5,11018,16.2,4728,7.0
2013,Folsom,798,1.6,2141,4.2,10523,20.8,10222,20.2,4301,8.5,13634,26.9,9031,17.8
2013,Fontana,17733,15.2,13546,11.6,29390,25.2,27339,23.4,8148,7.0,14471,12.4,6072,5.2
2013,Fremont,5340,3.5,5108,3.3,26705,17.3,25486,16.5,9225,6.0,44357,28.7,38335,24.8
2013,Fresno,37237,12.5,34518,11.6,65325,21.9,75736,25.4,23917,8.0,40246,13.5,21192,7.1
2013,Fullerton,7394,8.2,4436,4.9,16813,18.5,22257,24.6,6145,6.8,22328,24.6,11283,12.4
2013,Garden Grove,17557,15.5,14828,13.1,28022,24.7,23965,21.2,7663,6.8,16758,14.8,4510,4.0
2013,Glendale,15982,11.1,7434,5.2,25454,17.7,28032,19.4,12022,8.3,36327,25.2,18893,13.1
2013,Hawthorne,8312,15.5,7130,13.3,13297,24.8,10128,18.9,4167,7.8,8406,15.7,2104,3.9
2013,Hayward,13023,12.7,9323,9.1,23485,22.9,24260,23.7,7097,6.9,17920,17.5,7379,7.2
2013,Hemet,3827,7.0,7801,14.3,15888,29.2,16932,31.1,3934,7.2,3628,6.7,2391,4.4
2013,Hesperia,4607,8.6,7908,14.7,17624,32.8,13995,26.1,5167,9.6,2233,4.2,2145,4.0
2013,Huntington Beach,5048,3.6,6207,4.4,20686,14.8,32847,23.5,16298,11.6,39092,27.9,19881,14.2
2013,Indio,6751,13.0,7451,14.3,13716,26.4,10999,21.2,2897,5.6,6447,12.4,3677,7.1
2013,Inglewood,11770,16.4,8532,11.9,16153,22.5,17909,24.9,4993,7.0,8155,11.4,4300,6.0
2013,Irvine,3579,2.3,3677,2.4,15036,9.8,25461,16.6,11691,7.6,52827,34.5,41025,26.8
2013,Jurupa Valley,8715,15.0,8086,13.9,18455,31.8,12241,21.1,3916,6.7,5006,8.6,1700,2.9
2013,Lake Forest,2949,5.4,1686,3.1,10207,18.7,12830,23.5,3740,6.9,15813,29.0,7326,13.4
2013,Lakewood,3572,6.8,3537,6.7,11373,21.5,15131,28.6,4710,8.9,11410,21.6,3156,6.0
2013,Lancaster,8283,8.6,10930,11.3,28358,29.3,26004,26.9,6755,7.0,10907,11.3,5551,5.7
2013,Livermore,2998,5.3,2594,4.6,10452,18.5,12662,22.4,4359,7.7,16212,28.7,7186,12.7
2013,Long Beach,35777,11.8,24750,8.2,56381,18.6,75546,25.0,24863,8.2,52466,17.3,32890,10.9
2013,Los Angeles,398695,15.4,259428,10.0,501446,19.4,462644,17.9,154699,6.0,541698,20.9,271242,10.5
2013,Lynwood,10654,27.6,9046,23.5,8459,21.9,6313,16.4,1568,4.1,1641,4.3,888,2.3
2013,Manteca,3261,7.4,3356,7.6,13249,30.1,12526,28.5,4283,9.7,5141,11.7,2166,4.9
2013,Menifee,3652,6.4,3807,6.7,17781,31.1,17163,30.0,5429,9.5,6339,11.1,3064,5.4
2013,Merced,7252,16.0,5217,11.5,10123,22.3,11187,24.6,3998,8.8,4493,9.9,3124,6.9
2013,Milpitas,4287,8.8,3101,6.3,7088,14.5,8563,17.5,4384,9.0,13351,27.3,8152,16.7
2013,Mission Viejo,1171,1.7,1708,2.5,11217,16.5,14479,21.3,7282,10.7,20778,30.6,11303,16.6
2013,Modesto,9475,7.3,11645,9.0,36229,28.0,36136,27.9,11697,9.0,16010,12.4,8315,6.4
2013,Moreno Valley,15384,13.1,14433,12.3,32610,27.7,31716,27.0,8235,7.0,10408,8.8,4828,4.1
2013,Mountain View,1172,2.1,2077,3.7,6064,10.7,6407,11.3,2323,4.1,16481,29.0,22272,39.2
2013,Murrieta,2321,3.6,2330,3.6,14147,21.7,20340,31.2,6670,10.2,13364,20.5,6086,9.3
2013,Napa,5691,10.8,3191,6.1,11209,21.3,13231,25.2,5215,9.9,9403,17.9,4595,8.7
2013,Newport Beach,652,1.0,1610,2.5,4998,7.8,11079,17.3,5188,8.1,24674,38.5,15848,24.7
2013,Norwalk,10672,16.5,7746,12.0,18204,28.1,13422,20.7,5849,9.0,6305,9.7,2601,4.0
2013,Oakland,32329,11.3,22275,7.8,47216,16.5,56482,19.8,17055,6.0,58644,20.5,51487,18.0
2013,Oceanside,10047,8.5,9639,8.1,26371,22.3,25716,21.7,17422,14.7,19132,16.1,10174,8.6
2013,Ontario,16039,16.4,12711,13.0,26027,26.6,21374,21.9,7579,7.8,10609,10.9,3421,3.5
2013,Orange,9594,10.2,8806,9.4,19759,21.1,22047,23.5,6202,6.6,17966,19.1,9444,10.1
2013,Oxnard,27687,22.7,13933,11.4,28682,23.5,24368,20.0,9294,7.6,13341,10.9,4837,4.0
2013,Palmdale,10965,12.0,11082,12.1,21893,23.9,26627,29.0,5131,5.6,10717,11.7,5341,5.8
2013,Palo Alto,593,1.3,278,0.6,2412,5.1,3831,8.1,1610,3.4,14588,30.8,24125,50.9
2013,Pasadena,8771,8.8,4438,4.4,12042,12.0,16549,16.5,8931,8.9,27724,27.7,21564,21.6
2013,Perris,7856,19.3,6747,16.6,9823,24.1,8070,19.8,3273,8.0,3545,8.7,1408,3.5
2013,Pittsburg,4824,11.1,3986,9.1,12224,28.0,11241,25.8,3867,8.9,5572,12.8,1885,4.3
2013,Pleasanton,790,1.6,1242,2.5,5522,11.2,8355,16.9,3277,6.6,17881,36.2,12393,25.1
2013,Pomona,17865,19.5,11072,12.1,21669,23.7,18635,20.4,5827,6.4,12272,13.4,4072,4.5
2013,Rancho Cordova,1962,4.3,2931,6.5,11393,25.2,12551,27.8,4698,10.4,8109,17.9,3577,7.9
2013,Rancho Cucamonga,3245,2.9,4890,4.4,20137,18.3,29902,27.2,12453,11.3,24548,22.3,14882,13.5
2013,Redding,2025,3.4,4087,6.9,15017,25.2,19061,32.0,7017,11.8,7658,12.8,4773,8.0
2013,Redlands,1612,3.8,2196,5.1,6021,14.1,11525,27.0,3718,8.7,9891,23.2,7718,18.1
2013,Redondo Beach,594,1.2,877,1.7,6411,12.7,10033,19.8,4753,9.4,16723,33.1,11154,22.1
2013,Redwood City,4566,8.0,2609,4.5,10792,18.8,10640,18.5,3302,5.8,14389,25.1,11078,19.3
2013,Rialto,8637,15.5,8495,15.2,15428,27.6,13716,24.5,2936,5.3,4550,8.1,2109,3.8
2013,Richmond,11142,15.4,7644,10.5,14595,20.1,15496,21.4,5013,6.9,12731,17.6,5906,8.1
2013,Riverside,20222,11.1,18727,10.3,44059,24.1,42758,23.4,13558,7.4,25756,14.1,17447,9.6
2013,Roseville,1817,2.2,2573,3.1,17252,20.5,21463,25.5,10638,12.7,19998,23.8,10304,12.3
2013,Sacramento,26953,8.6,23921,7.6,70413,22.5,74128,23.7,25556,8.2,58125,18.6,33950,10.8
2013,Salinas,21265,24.3,7349,8.4,23873,27.3,16395,18.7,7818,8.9,6701,7.7,4058,4.6
2013,San Bernardino,18383,14.8,23211,18.7,33167,26.7,28644,23.0,6702,5.4,10129,8.1,4123,3.3
2013,San Buenaventura (Ventura),2461,3.3,4796,6.3,15401,20.4,20525,27.1,7517,9.9,14924,19.7,10030,13.3
2013,San Clemente,1553,3.4,1575,3.4,5095,11.1,12658,27.6,5105,11.1,13259,28.9,6610,14.4
2013,San Diego,56636,6.3,55025,6.1,150699,16.8,191498,21.4,65651,7.3,221287,24.7,154416,17.2
2013,San Francisco,52697,8.0,34402,5.2,82664,12.6,103645,15.7,35773,5.4,206562,31.4,142644,21.7
2013,San Jose,65638,9.8,52474,7.8,118049,17.7,127612,19.1,50928,7.6,152974,22.9,100852,15.1
2013,San Leandro,5572,8.9,3762,6.0,16189,25.9,13246,21.2,4764,7.6,12573,20.1,6423,10.3
2013,San Marcos,8794,14.4,4408,7.2,12784,20.9,10171,16.6,8831,14.5,12145,19.9,3965,6.5
2013,San Mateo,5876,7.7,2445,3.2,12468,16.4,14363,18.9,6403,8.4,21250,28.0,13124,17.3
2013,San Ramon,546,1.1,941,1.9,4276,8.7,7120,14.5,3752,7.6,20312,41.3,12284,25.0
2013,Santa Ana,54881,28.0,33792,17.3,41224,21.0,33060,16.9,8596,4.4,17877,9.1,6440,3.3
2013,Santa Barbara,6401,10.6,4298,7.1,7330,12.2,11418,19.0,3441,5.7,15805,26.3,11504,19.1
2013,Santa Clara,2821,3.5,2483,3.1,13056,16.1,11796,14.5,5440,6.7,24364,30.0,21311,26.2
2013,Santa Clarita,5661,4.8,7138,6.1,21381,18.3,32068,27.4,10752,9.2,26518,22.7,13543,11.6
2013,Santa Maria,16076,28.6,7966,14.2,9446,16.8,12965,23.1,4748,8.4,3923,7.0,1122,2.0
2013,Santa Monica,1634,2.2,2156,3.0,6387,8.8,10832,14.8,3990,5.5,26243,36.0,21701,29.8
2013,Santa Rosa,8524,7.1,8026,6.7,21962,18.4,33003,27.6,11393,9.5,22433,18.8,14094,11.8
2013,Simi Valley,3393,3.9,4997,5.7,20166,23.2,22872,26.3,9120,10.5,16945,19.5,9574,11.0
2013,South Gate,19560,33.0,10285,17.4,14188,23.9,9478,16.0,1652,2.8,2956,5.0,1145,1.9
2013,South San Francisco,3489,7.7,2016,4.4,11273,24.8,10170,22.3,5639,12.4,9786,21.5,3136,6.9
2013,South Whittier,4713,11.8,6069,15.2,11351,28.4,8612,21.6,3301,8.3,4239,10.6,1627,4.1
2013,Stockton,27393,15.3,19763,11.0,42104,23.5,44412,24.8,16190,9.0,19899,11.1,9135,5.1
2013,Sunnyvale,3335,3.1,5102,4.8,13262,12.4,15714,14.7,5795,5.4,34249,32.0,29503,27.6
2013,Temecula,1688,2.7,3231,5.1,14234,22.4,18716,29.5,7397,11.7,12278,19.3,5942,9.4
2013,Thousand Oaks,3340,3.8,3278,3.7,12687,14.4,17712,20.0,6416,7.3,25146,28.5,19781,22.4
2013,Torrance,2900,2.8,4417,4.2,16929,16.1,23436,22.3,10007,9.5,30830,29.4,16462,15.7
2013,Tracy,4098,8.4,3454,7.1,11574,23.8,14366,29.6,5074,10.4,8176,16.8,1852,3.8
2013,Turlock,4921,11.2,3663,8.3,13334,30.2,10374,23.5,2344,5.3,5836,13.2,3638,8.2
2013,Tustin,3947,7.6,3557,6.9,9571,18.5,11222,21.7,3233,6.2,11908,23.0,8344,16.1
2013,Union City,3181,6.3,2862,5.7,14422,28.6,10080,20.0,2892,5.7,12175,24.2,4756,9.4
2013,Upland,1361,2.7,2842,5.6,12773,25.4,12236,24.3,5364,10.7,10452,20.8,5288,10.5
2013,Vacaville,3235,5.2,4747,7.6,15068,24.0,19987,31.9,4874,7.8,9756,15.6,5036,8.0
2013,Vallejo,5690,6.7,5557,6.5,20675,24.2,25111,29.4,8497,9.9,14181,16.6,5828,6.8
2013,Victorville,5755,8.1,8042,11.3,23693,33.3,20290,28.5,6388,9.0,3579,5.0,3381,4.8
2013,Visalia,8305,10.8,6094,7.9,18802,24.4,19627,25.4,7506,9.7,9168,11.9,7711,10.0
2013,Vista,9738,14.5,5106,7.6,17879,26.6,9938,14.8,12895,19.2,8217,12.2,3491,5.2
2013,Walnut Creek,318,0.6,806,1.6,5706,11.0,9846,19.0,3172,6.1,20131,38.9,11771,22.7
2013,West Covina,5187,7.2,6396,8.9,18031,25.1,16297,22.7,7006,9.8,15283,21.3,3496,4.9
2013,Westminster,8476,13.3,7060,11.1,13903,21.9,14419,22.7,5819,9.2,10397,16.4,3426,5.4
2013,Whittier,3755,6.8,5183,9.4,12894,23.3,13380,24.2,6407,11.6,8975,16.2,4776,8.6
2013,Yorba Linda,907,1.9,1606,3.5,6302,13.5,9686,20.8,4098,8.8,14596,31.4,9323,20.0
2013,Yuba City,3821,9.5,3042,7.5,11449,28.3,10830,26.8,4715,11.7,4776,11.8,1797,4.4
